military_term,civilian_equivalent,context,category,example_military,example_civilian
firm fixed price,set-price contract / non-adjustable cost agreement,logistics,acquisition,,
preventive maintenance,scheduled maintenance / proactive equipment care,engineering,engineering,,
IDIQ,"indefinite delivery, indefinite quantity / flexible-scope contract",logistics,acquisition,,
organizational level maintenance,unit-level routine maintenance,aviation,aviation,,
SIEM,security information and event management / security log analysis platform,cyber,cyber,,
DMZ,demilitarized zone / network buffer zone,cyber,cyber,,
milestone,project checkpoint / achievement marker,logistics,acquisition,,
CMDCM,Senior Enlisted Advisor,navy,leadership,,
CDRL,contract data requirements list / required deliverables schedule,logistics,acquisition,,
ELINT,electronic intelligence / radar and signal analysis,intelligence,intelligence,,
DCO,defensive cyber operations / network defense operations,cyber,cyber,,
DFARS,Defense Federal Acquisition Regulation Supplement,logistics,acquisition,,
watch floor,24/7 operations center / monitoring center,intelligence,intelligence,,
horizontal construction,road and earthwork construction,engineering,engineering,,
ACAS,automated compliance and security scanning tool,cyber,cyber,,
grounding,equipment removed from service / operational suspension,aviation,aviation,,
purple team,integrated security assessment team,cyber,cyber,,
travel claim,expense report / travel reimbursement request,financial,financial,,
stovepipe,siloed / working independently without coordination,general,term,,
CSEL,Senior Enlisted Leader Program,navy,leadership,,
FOD,foreign object debris / workplace debris hazard,aviation,aviation,,
sub-hand receipt,delegated property accountability,logistics,logistics,,
THA,traffic hazard analysis / workplace hazard assessment,safety,safety,,
walk-in,unsolicited source / volunteer informant,intelligence,intelligence,,
target development,subject research and prioritization,intelligence,intelligence,,
line of duty,work-related determination / on-duty status finding,legal,legal,,
expendable,single-use / consumable,logistics,logistics,,
COMINT,communications intelligence / intercepted communications analysis,intelligence,intelligence,,
HAYSTACK,logistics information system / parts identification database,logistics,logistics,,
independent government estimate,internal cost projection,logistics,acquisition,,
threat hunting,proactive threat detection / advanced threat search,cyber,cyber,,
SERE,"survival, evasion, resistance, escape / captivity survival training",general,special operations,,
tradecraft,operational techniques / professional methodology,intelligence,intelligence,,
ASL,authorized stockage list / approved inventory catalog,logistics,logistics,,
intrusion detection,unauthorized access monitoring,cyber,cyber,,
TPOC,technical point of contact / subject matter liaison,logistics,acquisition,,
personnel recovery,search and rescue / missing person recovery,general,special operations,,
fit for duty,medically cleared for work,medical,medical,,
field fortification,defensive structure construction,engineering,engineering,,
SOCOM,Special Operations Command / elite forces headquarters,general,special operations,,
forensics,digital investigation / evidence analysis,cyber,cyber,,
TECHINT,technical intelligence / technology assessment,intelligence,intelligence,,
JTAC,joint terminal attack controller / air strike director,general,special operations,,
information operations,information warfare / influence campaign management,general,special operations,,
shelf life,expiration period / usable lifespan,logistics,logistics,,
medical hold,extended medical observation / medical administrative hold,medical,medical,,
high-speed,high performer / exceptional employee,general,term,,
FID,foreign internal defense / partner nation military advising,general,special operations,,
MARSOC,Marine Forces Special Operations Command,general,special operations,,
power of attorney,legal authorization document,legal,legal,,
bolter,missed approach / failed landing attempt,aviation,aviation,,
tracking,understood / following along,general,term,,
3M,Maintenance Management Program,navy,technical,Managed 3M program for 200+ equipment items,Managed preventive maintenance program for 200+ equipment items valued at $5M
non-expendable,accountable property / tracked assets,logistics,logistics,,
endstate,desired outcome / final objective,general,term,,
JIOC,joint intelligence operations center / combined analysis facility,intelligence,intelligence,,
SOY,Employee of the Year,navy,awards,,
cover down,take responsibility for / fill the gap,general,term,,
surge,temporary increase in effort / rapid scale-up,general,term,,
retrograde,return shipment / reverse logistics,logistics,logistics,,
sand table,tabletop exercise / scenario walkthrough,general,term,,
task order,project-specific work authorization,logistics,acquisition,,
terminal guidance,precision targeting direction,general,special operations,,
statutory board,legally mandated review panel,personnel,personnel,,
SSE,sensitive site exploitation / evidence collection at target site,general,special operations,,
sentencing,penalty determination / punishment assignment,legal,legal,,
award fee,performance incentive payment,logistics,acquisition,,
litter bearer,patient stretcher carrier / patient transport assistant,medical,medical,,
DD254,security classification specification,logistics,acquisition,,
cross-domain solution,secure data transfer between networks,cyber,cyber,,
route clearance,road hazard removal / path clearing operations,engineering,engineering,,
kinetic,direct action / hands-on,general,term,,
work order,maintenance request / service ticket,engineering,engineering,,
chop,transfer of authority / reassignment,general,term,,
NIPRNET,unclassified government network,cyber,cyber,,
APS,army prepositioned stocks / strategic forward inventory,logistics,logistics,,
OCO,offensive cyber operations / proactive cyber engagement,cyber,cyber,,
cybersecurity service provider,managed security services,cyber,cyber,,
DRB,Disciplinary Review Board,navy,administration,,
combat stress,occupational stress / critical incident stress,medical,medical,,
trigger,decision point / activation criteria,general,term,,
IDC,independent duty corpsman / autonomous healthcare provider,medical,medical,,
letter of instruction,written directive / formal guidance memo,personnel,personnel,,
facilities management,building and infrastructure operations,engineering,engineering,,
independent duty,solo practitioner / autonomous medical provider,medical,medical,,
T&M,time and materials / hourly-rate contract,logistics,acquisition,,
turn-in,return to supply / equipment return,logistics,logistics,,
stockage objective,target inventory level,logistics,logistics,,
SEABEE,Naval Construction Battalion / military construction worker,engineering,engineering,,
TSCM,technical surveillance countermeasures / electronic sweep,intelligence,intelligence,,
serviceable,operational / in working condition,logistics,logistics,,
hard deck,absolute deadline / non-negotiable limit,general,term,,
network monitoring,IT infrastructure surveillance,cyber,cyber,,
arrested landing,cable-assisted stop / controlled deceleration landing,aviation,aviation,,
IMINT,imagery intelligence / satellite and aerial image analysis,intelligence,intelligence,,
Raider,Marine special operator,general,special operations,,
yellow deck,limited operations / caution conditions,aviation,aviation,,
target package,mission briefing documents / operation plan,general,special operations,,
delayed,stable but requiring eventual treatment,medical,medical,,
Role 2,advanced trauma care / emergency stabilization,medical,medical,,
immediate,requiring urgent surgical intervention,medical,medical,,
deliverable,required output / contractual product,logistics,acquisition,,
threat assessment,risk evaluation / threat analysis,intelligence,intelligence,,
POM,program objective memorandum / multi-year budget proposal,financial,financial,,
TYCOM,Fleet Regional Command,navy,organization,,
collection management,intelligence requirements coordination / data collection planning,intelligence,intelligence,,
appellate,appeals process / higher court review,legal,legal,,
non-kinetic,indirect / influence-based / diplomatic,general,term,,
minimal,minor injuries / walking wounded,medical,medical,,
RMF,risk management framework / cybersecurity compliance framework,cyber,cyber,,
hip pocket training,informal on-the-spot training,general,term,,
defense counsel,defense attorney / legal representative,legal,legal,,
combat zone tax exclusion,tax-free income for deployed personnel,financial,financial,,
allotment,automatic payroll deduction / directed payment,financial,financial,,
CSG,Carrier Strike Group,navy,organization,,
CI,counterintelligence / insider threat detection,intelligence,intelligence,,
national intelligence,strategic-level analysis,intelligence,intelligence,,
HBSS,host-based security system / endpoint protection platform,cyber,cyber,,
OSINT,open-source intelligence / publicly available information analysis,intelligence,intelligence,,
battle buddy,accountability partner / work partner,general,term,,
tacon,tactical control / field-level authority,general,term,,
budget execution,spending management / fiscal plan implementation,financial,financial,,
SOW,statement of work / project scope document,logistics,acquisition,,
evaluation,performance review / employee appraisal,personnel,personnel,,
movement order,travel directive / relocation order,general,term,,
3MC,Maintenance Management Coordinator,navy,maintenance,,
expectant,beyond immediate medical capability,medical,medical,,
asset,confidential source / information provider,intelligence,intelligence,,
indoctrination,security orientation and access briefing,intelligence,intelligence,,
taxi,ground movement of aircraft,aviation,aviation,,
execute order,go-ahead directive / implementation order,general,term,,
clemency,sentence reduction / penalty mitigation,legal,legal,,
COIN,counterinsurgency / population-centric stability operations,general,special operations,,
organic,internally owned / in-house,general,term,,
spin up,prepare rapidly / get up to speed,general,term,,
consumption rate,usage rate / burn rate,logistics,logistics,,
PMC,partially mission capable / partially operational,aviation,aviation,,
KO,contracting officer / procurement authority,logistics,acquisition,,
war reserve,emergency stockpile / strategic reserve,logistics,logistics,,
military judge,presiding judicial officer,legal,legal,,
privacy act,personal data protection regulation,legal,legal,,
market research,vendor and industry analysis,logistics,acquisition,,
mine clearance,explosive ordnance removal / minefield remediation,engineering,engineering,,
SQ,Employee of the Quarter,navy,awards,,
demand history,usage trend / historical consumption data,logistics,logistics,,
issue,distribute / provide from stock,logistics,logistics,,
source selection,vendor evaluation and selection process,logistics,acquisition,,
technical evaluation,capability assessment,logistics,acquisition,,
DPW,director of public works / facilities management director,engineering,engineering,,
IDES,integrated disability evaluation system / medical disability review process,medical,medical,,
will preparation,estate planning document / legal testament drafting,legal,legal,,
walking wounded,ambulatory injured / self-mobile patient,medical,medical,,
redline,critical threshold / do-not-exceed limit,general,term,,
legal assistance,pro bono legal services / employee legal aid,legal,legal,,
LOR,letter of reprimand / written disciplinary warning,personnel,personnel,,
marshalling,aircraft ground guidance / directing vehicle movement,aviation,aviation,,
TCCC,tactical combat casualty care / battlefield emergency medicine,medical,medical,,
small business set-aside,reserved competition for small businesses,logistics,acquisition,,
cost analysis,pricing review / financial evaluation,logistics,acquisition,,
jury panel,deliberation panel / jury members,legal,legal,,
BASH,bird/wildlife aircraft strike hazard / wildlife collision prevention,aviation,aviation,,
need-to-know,access restricted to relevant personnel,intelligence,intelligence,,
security classification guide,information protection policy document,logistics,acquisition,,
warning order,advance notice / heads-up notification,general,term,,
family separation allowance,deployment family supplement,financial,financial,,
Green Beret,Army Special Forces soldier,general,special operations,,
confinement,imprisonment / incarceration,legal,legal,,
incident response,cybersecurity event management / breach response,cyber,cyber,,
touchpoint,check-in meeting / coordination point,general,term,,
FST,forward surgical team / mobile surgical unit,medical,medical,,
tactical intelligence,operational-level analysis,intelligence,intelligence,,
flight lead,team leader / mission commander,aviation,aviation,,
lane,area of responsibility / designated role,general,term,,
enabler,support resource / capability multiplier,general,term,,
mishap,workplace accident / safety incident,safety,safety,,
FEDLOG,federal logistics data / government supply catalog,logistics,logistics,,
wellness check,employee welfare check / mental health screening,medical,medical,,
corpsman,combat medic / field medical technician,medical,medical,,
slate,assignment recommendations / position matching list,personnel,personnel,,
dry hole,empty target / unsuccessful operation,general,special operations,,
turn time,aircraft servicing interval / turnaround time,aviation,aviation,,
radio check,communications test / signal verification,communications,communications,,
courts martial,military trial / judicial proceeding,legal,legal,,
psychological operations,influence operations / strategic communications,general,special operations,,
contract modification,contract amendment / change order,logistics,acquisition,,
ready for issue,available for distribution / in serviceable condition,logistics,logistics,,
trial counsel,prosecutor / government attorney,legal,legal,,
space management,facility allocation / workspace planning,engineering,engineering,,
environmental compliance,EPA/regulatory adherence,engineering,engineering,,
real property,government-owned buildings and land / physical assets,engineering,engineering,,
receipt,delivery acceptance / receiving confirmation,logistics,logistics,,
redistribution,reallocation / inventory redistribution,logistics,logistics,,
UST,underground storage tank management,engineering,engineering,,
selection board,senior promotion panel / executive review committee,personnel,personnel,,
mass casualty,multiple-victim incident / mass injury event,medical,medical,,
contracting officer,procurement manager / purchasing authority,logistics,acquisition,,
ISR,"intelligence, surveillance, and reconnaissance / monitoring and data collection",intelligence,intelligence,,
NOC,network operations center / IT monitoring facility,cyber,cyber,,
cold start,engine start from powered-down state,aviation,aviation,,
AFSOC,Air Force Special Operations Command,general,special operations,,
IATT,interim authority to test / temporary security authorization,cyber,cyber,,
prepositioned stock,forward-deployed inventory / pre-staged supplies,logistics,logistics,,
burn bag,classified material destruction container,intelligence,intelligence,,
JSOC,Joint Special Operations Command / tier-one operations authority,general,special operations,,
phase inspection,scheduled comprehensive maintenance,aviation,aviation,,
LIMDU,limited duty / restricted work assignment,medical,medical,,
ODB,operational detachment bravo / special forces B-team,general,special operations,,
MDEP,management decision package / budget line item,financial,financial,,
CAS,close air support / tactical air strike coordination,general,special operations,,
unserviceable,non-functional / requiring repair,logistics,logistics,,
general court martial,major judicial proceeding / felony-level military trial,legal,legal,,
MCPO,Master Chief / Senior Executive,navy,rank,,
PED,"processing, exploitation, and dissemination / data processing and distribution",intelligence,intelligence,,
FYDP,future years defense program / long-range spending plan,financial,financial,,
deconflict,resolve scheduling conflicts / coordinate,general,term,,
E&E,escape and evasion / emergency extraction,general,special operations,,
property book,official asset register / inventory of record,logistics,logistics,,
standby,wait / hold / pending further direction,general,term,,
cyber key terrain,critical digital infrastructure,cyber,cyber,,
board of inquiry,review panel / adjudication board,legal,legal,,
depot level maintenance,factory-level overhaul / major repair facility,aviation,aviation,,
Role 3,hospital-level care / definitive medical treatment,medical,medical,,
PHA,periodic health assessment / annual physical examination,medical,medical,,
ATG,Training and Readiness Organization,navy,organization,,
white space,unscheduled time / available capacity,general,term,,
base year,initial contract period,logistics,acquisition,,
safety stand-down,safety awareness pause / mandatory safety training day,safety,safety,,
enclave,isolated network segment,cyber,cyber,,
SAEDA,subversion and espionage directed against the Army / insider threat awareness,intelligence,intelligence,,
green deck,full operations authorized / all-clear status,aviation,aviation,,
penetration testing,authorized security testing / ethical hacking,cyber,cyber,,
net call,network roll call / communications check-in,communications,communications,,
cold iron,all systems shut down / fully powered off,aviation,aviation,,
opcon,operational control / day-to-day authority,general,term,,
crew rest,mandatory rest period / regulated downtime,aviation,aviation,,
COMPTUEX,Multi-Unit Training Exercise,navy,training,,
classification authority,information security decision-maker,intelligence,intelligence,,
administrative board,organizational review panel,personnel,personnel,,
AR 15-6,Army investigation regulation / formal inquiry procedure,legal,legal,,
APT,advanced persistent threat / sophisticated cyber adversary,cyber,cyber,,
CCT,combat controller / special operations air traffic controller,general,special operations,,
JO,Junior Manager,navy,rank,,
incentive fee,bonus for exceeding targets,logistics,acquisition,,
best value,optimal quality-to-cost evaluation,logistics,acquisition,,
MEDINT,medical intelligence / health threat analysis,intelligence,intelligence,,
compound,secure facility / target location,general,special operations,,
OMPF,official military personnel file / employee personnel record,personnel,personnel,,
fusion center,multi-agency coordination center / integrated analysis center,intelligence,intelligence,,
wargame,scenario planning / simulation exercise,general,term,,
medical readiness,workforce health compliance / medical fitness status,medical,medical,,
mission capable,operationally ready / available for tasking,aviation,aviation,,
intermediate level maintenance,regional repair facility maintenance,aviation,aviation,,
hot pit refueling,rapid refueling without engine shutdown,aviation,aviation,,
wingman,trusted partner / backup support person,general,term,,
DIACAP,DoD information assurance certification / legacy security certification,cyber,cyber,,
cockpit resource management,crew coordination / team communication in operations,aviation,aviation,,
trap,arrested landing / successful carrier landing,aviation,aviation,,
postflight,post-operation inspection / post-use assessment,aviation,aviation,,
footprint,organizational presence / resource usage,general,term,,
lead paint,lead-based paint remediation,safety,engineering,,
bigot list,restricted access roster,intelligence,intelligence,,
CLIN,contract line item number / billable item identifier,logistics,acquisition,,
DTS claim,electronic travel voucher / online expense report,financial,financial,,
CSAR,combat search and rescue / hostile area personnel recovery,general,special operations,,
all-source analysis,comprehensive data analysis / multi-source research,intelligence,intelligence,,
CPARS,contractor performance assessment reporting system / vendor rating system,logistics,acquisition,,
unit basic load,minimum required supplies / baseline inventory level,logistics,logistics,,
period of performance,contract duration / project timeline,logistics,acquisition,,
per diem,daily expense allowance / travel reimbursement rate,financial,financial,,
JOs,Junior Managers,navy,rank,,
excess,surplus inventory / overstocked items,logistics,logistics,,
expenditure,actual spending / disbursement,financial,financial,,
durable,reusable / long-lasting equipment,logistics,logistics,,
SIPRNET,classified network / secure government network,cyber,cyber,,
special court martial,intermediate judicial proceeding,legal,legal,,
LOC,letter of counseling / formal verbal warning documentation,personnel,personnel,,
PLL,prescribed load list / required parts inventory,logistics,logistics,,
drawdown,reduction in force / scaling back,general,term,,
CDI,command directed investigation / internal investigation,legal,legal,,
analyst,intelligence analyst / research analyst,intelligence,intelligence,,
aid station,field medical clinic / first-response medical facility,medical,medical,,
obligation,committed funds / encumbered budget,financial,financial,,
command investigation,organizational inquiry / management-directed review,legal,legal,,
economic order quantity,optimal purchase quantity,logistics,logistics,,
red deck,operations suspended due to weather/safety,aviation,aviation,,
sole source,single-vendor procurement / non-competitive award,logistics,acquisition,,
cost plus,cost-reimbursement contract / variable-cost agreement,logistics,acquisition,,
SRM,"sustainment, restoration, and modernization / facility maintenance and upgrade",engineering,engineering,,
green team,support team / training team,general,term,,
GEOINT,geospatial intelligence / geographic data analysis,intelligence,intelligence,,
utilities,"building systems (power, water, HVAC)",engineering,engineering,,
flight surgeon,aviation medical examiner / aerospace physician,medical,medical,,
boundary defense,network perimeter protection,cyber,cyber,,
JWICS,top secret network / highest classification network,cyber,cyber,,
service order,facility support request,engineering,engineering,,
brig,military prison / detention facility,legal,legal,,
immunization,vaccination / preventive medicine,medical,medical,,
pocket litter,supporting documentation for cover identity,intelligence,intelligence,,
direct action,targeted operation / precision strike mission,general,special operations,,
handler,source manager / relationship coordinator,intelligence,intelligence,,
DODIN,Department of Defense information network / enterprise network,cyber,cyber,,
network defense,cybersecurity operations / network protection,cyber,cyber,,
garnishment,court-ordered payroll deduction,financial,financial,,
PKI,public key infrastructure / digital certificate management,cyber,cyber,,
MCA,"military construction, Army / capital construction project",engineering,engineering,,
JISE,joint intelligence support element / integrated analysis team,intelligence,intelligence,,
flight hours,operating hours / airtime logged,aviation,aviation,,
mission assurance,continuity of operations / business continuity,cyber,cyber,,
manning document,staffing table / organizational chart,personnel,personnel,,
tasker,assignment / action item / work request,general,term,,
exploitation,data extraction and analysis,intelligence,intelligence,,
fleet surgeon,senior medical officer / chief medical advisor,medical,medical,,
legal hold,litigation preservation / document retention order,legal,legal,,
counseling chit,counseling documentation / performance feedback form,personnel,personnel,,
triage,patient prioritization / emergency severity assessment,medical,medical,,
backbrief,summary briefing / confirmation briefing,general,term,,
pivot,change direction / shift focus,general,term,,
DLCPO,Division Senior Supervisor,navy,leadership,,
jackpot,successful target capture / mission success,general,special operations,,
corrosion control,preventive surface treatment / anti-corrosion maintenance,aviation,aviation,,
synch,synchronize / coordinate timing,general,term,,
patient administration,medical records management / healthcare administration,medical,medical,,
administrative separation,involuntary termination / employment separation,legal,legal,,
clandestine,covert / secret,intelligence,intelligence,,
proposal evaluation,bid assessment / vendor proposal review,logistics,acquisition,,
MTF,military treatment facility / government healthcare facility,medical,medical,,
special reconnaissance,covert observation / clandestine surveillance,general,special operations,,
stay in your lane,focus on your responsibilities / stay within scope,general,term,,
pretrial,pre-hearing phase / preliminary proceedings,legal,legal,,
BPA,blanket purchase agreement / pre-approved vendor arrangement,logistics,acquisition,,
preflight,pre-departure inspection / equipment readiness check,aviation,aviation,,
PJ,pararescue jumper / combat search and rescue specialist,general,special operations,,
USACE,U.S. Army Corps of Engineers / federal engineering agency,engineering,engineering,,
75th Ranger,Army elite light infantry regiment,general,special operations,,
line shack,maintenance coordination office,aviation,aviation,,
ODA,operational detachment alpha / special forces A-team,general,special operations,,
asbestos abatement,asbestos removal and containment,safety,engineering,,
cyber range,cybersecurity training environment,cyber,cyber,,
flight line,aircraft parking and operations area / active work area,aviation,aviation,,
posture,strategic position / readiness stance,general,term,,
unfunded requirement,budget shortfall / unbudgeted need,financial,financial,,
dissemination,information distribution / report distribution,intelligence,intelligence,,
NATOPS,naval air training and operating procedures / aircraft operating manual,aviation,aviation,,
vertical construction,building construction,engineering,engineering,,
STIGs,security technical implementation guides / security configuration standards,cyber,cyber,,
MAF,maintenance action form / work order,aviation,aviation,,
phase line,project milestone / progress marker,general,term,,
read-in,security briefing and access authorization,intelligence,intelligence,,
hostile fire pay,hazard duty pay / danger zone compensation,financial,financial,,
demolition,controlled structure removal / explosive demolition,engineering,engineering,,
authorized strength,approved headcount / budgeted positions,personnel,personnel,,
LPTA,lowest price technically acceptable / cost-based selection,logistics,acquisition,,
malware analysis,malicious software investigation,cyber,cyber,,
imminent danger pay,threat area compensation,financial,financial,,
IOC,initial operating capability / minimum viable deployment,cyber,cyber,,
field sanitation,environmental health / hygiene management,medical,medical,,
HAZWOPER,hazardous waste operations and emergency response certification,safety,engineering,,
S-1,HR / Personnel Office,unit staff section handling personnel actions and,administration,Worked with S-1 to process awards and PCS paperwork.,Partnered with HR to process personnel actions and documentation.
S-2,Intelligence Office,unit staff section responsible for threat analysis,intelligence,Coordinated with S-2 for daily threat briefs.,Coordinated with intelligence staff for daily threat updates and briefings.
S-3,Operations Office,unit staff section responsible for operations plan,operations,Submitted training plan updates to S-3.,Provided operations team updates to support scheduling and execution tracking.
S-4,Logistics Office,"unit staff section responsible for supply, transpo",logistics,Worked with S-4 to requisition parts.,Coordinated with logistics to requisition parts and track fulfillment.
S-6,IT / Communications Office,"unit staff section responsible for communications,",cyber,Coordinated with S-6 to troubleshoot network outages.,Worked with IT to troubleshoot outages and restore service.
BDE S1,Brigade HR Office,brigade-level hr section handling personnel action,administration,Sent the packet to BDE S1 for processing.,Submitted the packet to the brigade HR office for processing.
BDE S4,Brigade Logistics Office,brigade-level logistics section coordinating susta,logistics,BDE S4 pushed the distribution plan.,Brigade logistics issued the distribution plan for execution.
COMSEC custodian,Communications Security Custodian,role responsible for safeguarding encryption/keyin,cyber,Served as COMSEC custodian for the battalion.,Managed communications security materials and compliance for the organization.
IAO,Cybersecurity Compliance Lead,role responsible for information assurance control,cyber,Acted as the unit IAO during inspections.,Led cybersecurity compliance documentation and audit readiness for inspections.
G-6,Enterprise IT Directorate,senior-level communications/it directorate oversee,cyber,Coordinated with G-6 for network approvals.,Coordinated with enterprise IT leadership for network approvals and governance.
J-6,Joint IT Directorate,joint-level communications/it directorate coordina,cyber,Reported status to J-6 during the exercise.,Provided status updates to joint IT leadership during the exercise.
BDE S2,Brigade-level intelligence office,used for intelligence reporting/briefing support.,intelligence,Submitted reports to BDE S2,Submitted reports to the brigade intelligence office
BDE S3,Brigade-level operations office,"used for training schedules, ops planning, tasking",operations,Synced training calendar with BDE S3,Aligned training schedule with the operations office
BN S6,Battalion communications/IT office,shorthand for unit it/comms section.,cyber,Worked with BN S6 to restore SIPR,Partnered with the unit IT team to restore secure network services
S6 shop,Unit IT/communications team,informal way people refer to the comms/it section.,cyber,Submitted ticket to the S6 shop,Submitted a service request to the IT support team
G6,Senior-level communications/IT office (division/corps),staff section responsible for communications and i,cyber,Coordinated outage response with G6,Coordinated outage response with enterprise IT leadership
J6,Joint communications/IT office,joint staff section responsible for communications,cyber,Coordinated requirements with J6,Coordinated requirements with joint IT leadership
cutter,operational ship / vessel,coast guard term for ships; shows up in bullets.,operations,Supported cutter maintenance availability,Supported vessel maintenance availability
boat crew,small boat operations team,coast guard small boat ops term.,operations,Qualified as boat crew,Qualified as small boat operations team member
boarding team,maritime law enforcement team,common coast guard/me term.,security,Led boarding team brief,Led law enforcement inspection team brief
AtoN,Aids to Navigation,coast guard buoy/marker/navigation support mission,operations,Supported AtoN mission planning,Supported navigation aids mission planning
EOW,Engineering shift supervisor,watchstanding shorthand for supervising technical,operations,Stood EOW during high-tempo operations.,Supervised shift operations ensuring continuity.
EDPO,Maintenance program manager,"indicates ownership of maintenance planning, track",leadership,Managed EDPO for department.,Managed maintenance program planning and readiness reporting.
ER09,Urgent corrective maintenance event,shorthand for engineering casualty/repair event re,maintenance,Responded to ER09 casualty.,Led urgent corrective maintenance to restore availability.
ERUL,Urgent logistics/repair support,shorthand for expedited parts/repair coordination,maintenance,Submitted ERUL for critical part.,Coordinated urgent logistics to restore operations.
S-6 shop,IT/communications office,common shorthand for unit communications/it sectio,cyber,Worked in the S-6 shop.,Supported IT/communications operations restoring network services.
