id,industry,role_type,keywords,weight,created_at
0e798128-10dd-4e81-bc20-ed5b97e6c2c8,Telecommunications,RF Engineer,"[""RF Design"",""Propagation"",""Antenna"",""LTE"",""5G"",""Drive Testing"",""Optimization"",""Coverage"",""Capacity"",""Interference"",""Spectrum"",""Modulation"",""Link Budget"",""Site Survey"",""Network Planning""]",critical,2026-02-18 14:03:12.64537+00
0f035174-d49c-4afd-bac7-423e9fcf784b,Retail/Hospitality,Store Manager,"[""Store Operations"",""Sales Management"",""P&L"",""Inventory Management"",""Visual Merchandising"",""Customer Service""]",critical,2026-02-16 22:56:51.40283+00
0f83e14f-f1ed-46d6-8d3d-f8be3501db39,Retail/Hospitality,Operations Manager (Retail),"[""Operations Management"",""Process Improvement"",""Supply Chain"",""Distribution"",""Warehouse"",""Fulfillment""]",critical,2026-02-16 22:56:51.40283+00
10948f59-2e30-45d7-8e44-e9281e23584a,Technology,Technical Writer,"[""Git"",""Static Site Generators"",""Swagger"",""OpenAPI"",""Developer Portals""]",medium,2026-02-16 22:56:43.218561+00
10ac2642-fe9d-40e8-b403-3307a36fd7e7,Telecommunications,Telecom Project Manager,"[""MS Project"",""Budget Management"",""Vendor Management"",""Permitting"",""Regulatory Compliance""]",high,2026-02-16 22:56:51.40283+00
10c54def-8164-4cfe-9eeb-6fa79c1e3d34,Construction,Estimator,"[""Subcontractor Pricing"",""Vendor Quotes"",""Value Engineering"",""Scope Review""]",medium,2026-02-16 22:56:43.218561+00
11001042-2f11-470c-8e9f-c66b51f471ae,Consulting,IT Consultant,"[""ERP"",""SAP"",""Oracle"",""Salesforce"",""Implementation"",""Requirements Gathering"",""Business Process"",""Data Migration"",""Testing"",""Training"",""Change Management"",""Configuration"",""Integration"",""SDLC"",""Agile""]",critical,2026-02-18 14:03:12.64537+00
112bf99a-f9a6-4166-a0f4-2d4ce5e35f0f,Retail/Hospitality,Operations Manager (Retail),"[""WMS"",""OMS"",""ERP"",""Workforce Management"",""Labor Optimization"",""Scheduling""]",high,2026-02-16 22:56:51.40283+00
113a860a-83b7-458e-bf2d-7eb630362f8d,Marketing/Communications,PR Specialist,"[""Cision"",""Meltwater"",""Muck Rack"",""Event Planning"",""Press Conferences"",""Media Kit""]",high,2026-02-16 22:56:51.40283+00
1143ccb7-864b-441e-8cf2-499b10082687,Manufacturing,Production Manager,"[""Continuous Improvement"",""Root Cause Analysis"",""8D"",""Corrective Action"",""Preventive Action""]",medium,2026-02-16 22:56:43.218561+00
1206ed11-2d72-4f06-ac3f-44e925cbab26,Healthcare,Health IT,"[""HIPAA Security"",""Meaningful Use"",""MIPS"",""Cybersecurity"",""Disaster Recovery""]",medium,2026-02-16 22:56:43.218561+00
124eb791-8c75-4d11-bac2-9f933a039b65,Defense/Aerospace,Logistics Analyst,"[""Depot Maintenance"",""Field Support"",""Spare Parts"",""Warranty Management""]",low,2026-02-16 22:56:43.218561+00
125b6805-3795-4c2b-8448-e3adae337a5d,Technology,Product Manager,"[""Agile"",""Scrum"",""Product Strategy"",""Roadmap"",""User Research"",""A/B Testing"",""Data Analytics"",""Stakeholder Management"",""Go-to-Market"",""PRD"",""JIRA"",""Prioritization"",""KPIs"",""User Stories"",""Cross-functional""]",critical,2026-02-18 14:03:12.64537+00
12b5badb-3a8a-4e5f-affa-6242e9587491,Technology,Product Manager,"[""SQL"",""Data Analysis"",""Wireframing"",""Prototyping"",""User Research"",""Usability Testing""]",medium,2026-02-16 22:56:43.218561+00
12e18b95-950c-4f7f-812a-a6cdfae68640,Government/Federal,Policy Analyst,"[""Cost-Benefit Analysis"",""Impact Assessment"",""Stakeholder Analysis"",""White Papers"",""Briefing Memos""]",high,2026-02-16 22:56:43.218561+00
13527bc1-0690-4bc9-a2b9-3c96676e02a6,Technology,Systems Administrator,"[""Windows Server"",""Linux"",""Active Directory"",""VMware"",""PowerShell"",""Bash"",""Backup"",""Monitoring"",""Patching"",""DNS"",""DHCP"",""Group Policy"",""Storage"",""Virtualization"",""Automation""]",critical,2026-02-18 14:03:12.64537+00
13571426-2fdd-4193-bf79-6925c57fab93,Consulting,HR Consultant,"[""HR Strategy"",""Organizational Design"",""Talent Management"",""Compensation"",""Benefits"",""HR Compliance""]",critical,2026-02-16 22:56:43.218561+00
13f7e4eb-261d-41bf-9049-43c29908e192,Marketing/Communications,PR Specialist,"[""Thought Leadership"",""Ghostwriting"",""Internal Communications"",""Social Media""]",medium,2026-02-16 22:56:51.40283+00
140c7de4-a3db-4ce8-befa-ec70bf4c8b14,Government/Federal,Policy Analyst,"[""Congressional Affairs"",""Public Comment"",""Interagency Coordination"",""FOIA""]",medium,2026-02-16 22:56:43.218561+00
141d9f07-5f74-4f9d-b6fa-ed0a92cb1351,Construction,Heavy Equipment Operator,"[""Excavator"",""Bulldozer"",""Loader"",""Grader"",""Crane"",""Backhoe"",""Forklift""]",critical,2026-02-16 22:56:43.218561+00
15c41d7d-aa82-4713-a475-e02d2b03ec8c,Technology,Systems Administrator,"[""Capacity Planning"",""Vendor Management"",""Budget Planning"",""Documentation""]",low,2026-02-16 22:56:43.218561+00
15c6ed2f-6f09-495d-938e-8b0ef041c031,Human Resources,Compensation Analyst,"[""Compensation"",""Benchmarking"",""Market Data"",""Salary Survey"",""Job Evaluation"",""Pay Structure"",""Equity Analysis"",""FLSA"",""Total Rewards"",""Incentive Plans"",""Excel"",""HRIS"",""Budget"",""Compliance"",""Pay Bands""]",critical,2026-02-18 14:03:12.64537+00
162b8fee-5630-4ce7-906d-9b05075c2834,Cybersecurity,AppSec Engineer,"[""Application Security"",""SAST"",""DAST"",""OWASP"",""Code Review"",""Vulnerability Management"",""DevSecOps"",""CI/CD"",""Threat Modeling"",""Secure Coding"",""Penetration Testing"",""Bug Bounty"",""Remediation"",""Training"",""Compliance""]",important,2026-02-18 14:03:12.64537+00
16973205-716d-45ea-aae4-75ea71a19b95,Marketing/Communications,Social Media Manager,"[""Social Media Strategy"",""Content Creation"",""Community Management"",""Social Media Analytics"",""Paid Social""]",critical,2026-02-16 22:56:43.218561+00
16c7431e-22e8-4f46-a3bc-3545c5e5a6be,Logistics/Supply Chain,Logistics Manager,"[""Logistics Management"",""Supply Chain"",""Distribution"",""Warehousing"",""Transportation"",""Inventory Management"",""3PL""]",critical,2026-02-16 22:56:43.218561+00
171819db-20ea-4122-bd19-b3757ba6eab8,Government,Emergency Manager,"[""Emergency Management"",""FEMA"",""ICS"",""NIMS"",""Disaster Recovery"",""Business Continuity"",""COOP"",""Exercise Planning"",""HSEEP"",""Hazard Mitigation"",""EOC"",""Public Warning"",""Evacuation"",""Shelter"",""After Action Report""]",critical,2026-02-18 14:03:12.64537+00
176d79d2-97eb-49ff-a541-4d57a1aebf01,Logistics/Supply Chain,Customs Broker,"[""Customs Brokerage"",""Import/Export"",""HTS Classification"",""Customs Compliance"",""CBP"",""Trade Compliance""]",critical,2026-02-16 22:56:51.40283+00
1781920d-e62e-4ef9-beb9-4016fc06e369,Technology,Data Engineer,"[""Python"",""SQL"",""Spark"",""Airflow"",""Kafka"",""ETL"",""Data Pipeline"",""Snowflake"",""Databricks"",""Data Warehouse"",""Data Lake"",""dbt"",""Redshift"",""BigQuery"",""Schema Design""]",critical,2026-02-18 14:03:12.64537+00
1864c192-524d-4a06-9b6f-2c06f45c3ebe,Non-Profit,Volunteer Coordinator,"[""Event Planning"",""Community Outreach"",""Social Media"",""Partnerships""]",medium,2026-02-16 22:56:51.40283+00
18c9d47e-88fd-42dd-a6eb-137ac8dd448b,Telecommunications,NOC Analyst,"[""Network Operations"",""Monitoring"",""Incident Management"",""Ticketing"",""Escalation"",""SNMP"",""Syslog""]",critical,2026-02-16 22:56:51.40283+00
1909b405-26a4-4683-8194-912dea294445,Finance/Banking,Financial Planner,"[""Financial Planning"",""Retirement Planning"",""Investment Management"",""Tax Planning"",""Estate Planning"",""CFP""]",critical,2026-02-16 22:56:43.218561+00
19897b73-66b7-42d4-8996-89a0551db565,Marketing/Communications,Social Media Manager,"[""Facebook"",""Instagram"",""LinkedIn"",""Twitter/X"",""TikTok"",""YouTube"",""Hootsuite"",""Sprout Social""]",high,2026-02-16 22:56:43.218561+00
19e70a0b-61e3-4bae-83b2-1aec79c45bc8,Logistics,Inventory Analyst,"[""Inventory Management"",""Cycle Counting"",""ABC Analysis"",""Safety Stock"",""Reorder Point"",""ERP"",""SAP"",""WMS"",""Forecasting"",""Shrink"",""Obsolescence"",""Variance Analysis"",""SKU Rationalization"",""Fill Rate"",""Days on Hand""]",critical,2026-02-18 14:03:12.64537+00
1a8d39c6-f402-40b6-8379-008ac793bb55,Finance/Banking,Financial Analyst,"[""Bloomberg"",""Capital IQ"",""FactSet"",""PowerPoint"",""Presentation Skills"",""Data Visualization""]",high,2026-02-16 22:56:43.218561+00
1c40d15a-0653-4637-8010-4822992b995a,Government/Federal,Project Manager (Federal),"[""Project Management"",""PMP"",""Earned Value Management"",""Schedule Management"",""Risk Management"",""Federal IT""]",critical,2026-02-16 22:56:43.218561+00
1d0a9569-ad08-4942-8dda-5ffa9bfdb9ec,Telecommunications,RF Engineer,"[""ATOLL"",""Planet"",""MapInfo"",""Actix"",""TEMS"",""Cell Planning"",""Coverage Analysis""]",high,2026-02-16 22:56:51.40283+00
1d1c04fc-b530-441e-9e23-4b21d0834769,Manufacturing,Plant Manager,"[""ERP"",""Budget Management"",""Capital Expenditure"",""Workforce Planning"",""Union Relations""]",high,2026-02-16 22:56:43.218561+00
1dab648c-75af-4ca4-a08e-650eab0f71d7,Healthcare,Pharmacist,"[""Pharmacy Information Systems"",""Inventory Management"",""Quality Assurance"",""Medication Safety""]",medium,2026-02-16 22:56:43.218561+00
1e98773a-70ec-438b-b491-7f78b9ca5f95,Government/Federal,Policy Analyst,"[""Policy Analysis"",""Research"",""Regulatory Analysis"",""Legislation"",""Federal Register"",""Rulemaking""]",critical,2026-02-16 22:56:43.218561+00
1ead01ff-fbb8-463f-b6f2-534f3c635271,Manufacturing,Lean Manufacturing Specialist,"[""Lean"",""Kaizen"",""5S"",""Value Stream Mapping"",""Kanban"",""Standard Work"",""TPM"",""Waste Reduction""]",critical,2026-02-16 22:56:43.218561+00
1f9e6aae-dbdd-4a1a-8090-7690172abfac,Consulting,Management Consultant,"[""Strategy"",""Business Analysis"",""Change Management"",""Stakeholder Management"",""Process Improvement""]",critical,2026-02-16 22:56:43.218561+00
1fa55cf4-da1c-4ea9-9c44-e1ff5b8dc49f,Logistics/Supply Chain,Transportation Manager,"[""Sustainability"",""Carbon Footprint"",""Last-Mile Delivery"",""Reverse Logistics""]",low,2026-02-16 22:56:43.218561+00
22031df2-b631-4482-a7b1-808f998bee95,Healthcare,Health Information Manager,"[""Medical Coding"",""ICD-10"",""CPT"",""HIPAA"",""EHR"",""Epic"",""Health Information Exchange"",""Data Analytics"",""Compliance"",""Revenue Cycle"",""Clinical Documentation"",""Privacy"",""Audit"",""Healthcare Analytics"",""Interoperability""]",critical,2026-02-18 14:03:12.64537+00
226c7b3d-1c6d-4001-b6db-7d6cc5bd339e,Hospitality,Hotel Manager,"[""Hotel Operations"",""Revenue Management"",""Guest Satisfaction"",""Front Office"",""Housekeeping"",""Food and Beverage"",""PMS"",""Opera"",""Budgeting"",""Staff Management"",""AAA"",""Quality Assurance"",""Group Sales"",""OTA"",""Loyalty""]",critical,2026-02-18 14:03:12.64537+00
2383b562-9d6a-4278-b5c3-b61af4ef1eed,Retail/Hospitality,Restaurant Manager,"[""POS Systems"",""Food Safety"",""ServSafe"",""Menu Development"",""Vendor Management""]",high,2026-02-16 22:56:51.40283+00
23c533ab-3212-4205-a4dc-3677bf9eac0f,Logistics/Supply Chain,Procurement Specialist,"[""SAP Ariba"",""Coupa"",""Oracle Procurement"",""Category Management"",""Supplier Development""]",high,2026-02-16 22:56:43.218561+00
2401f852-32c7-45e8-be88-40723fbb8760,Consulting,Operations Consultant,"[""Value Stream Mapping"",""Kaizen"",""Process Mining"",""Data Analytics"",""KPI Development""]",high,2026-02-16 22:56:43.218561+00
245fce59-7b60-4ee4-82cd-5b7574a69203,Finance/Banking,Bank Manager,"[""Market Analysis"",""Budgeting"",""Facility Management"",""Vendor Relations""]",low,2026-02-16 22:56:43.218561+00
258d1f30-b36c-4057-91b6-2fe1f574eedc,Manufacturing,Production Manager,"[""Budget Management"",""Capital Projects"",""Union Relations"",""Change Management""]",low,2026-02-16 22:56:43.218561+00
25d274c7-c587-46f4-8a4e-7e3d3de11ddc,Technology,Technical Writer,"[""Information Architecture"",""Content Strategy"",""User-Centered Writing"",""Localization""]",high,2026-02-16 22:56:43.218561+00
260d7887-eed0-4cf9-bcdd-807a17ee7a38,Government/Federal,Security Specialist,"[""Physical Security"",""Personnel Security"",""Industrial Security"",""SCIF Management"",""Access Control""]",high,2026-02-16 22:56:43.218561+00
2655ddb7-d474-4aae-b909-4f75b45f88ca,Technology,Site Reliability Engineer,"[""Documentation"",""Runbooks"",""On-call Rotation"",""Blameless Culture""]",low,2026-02-16 22:56:51.40283+00
268c041e-fbc2-4e16-90dc-569644cd16a0,Finance/Banking,Investment Banker,"[""Pitch Books"",""Deal Structuring"",""Leveraged Finance"",""Syndication"",""Bloomberg"",""Capital IQ""]",high,2026-02-16 22:56:43.218561+00
26aa6e38-544b-4495-a86f-b9b189b1bcd9,Defense/Aerospace,Logistics Analyst,"[""Logistics Support Analysis"",""ILS"",""Reliability"",""Maintainability"",""Supportability"",""Supply Chain""]",critical,2026-02-16 22:56:43.218561+00
26b80a6f-e08f-427c-8ed8-50daa973aca2,Retail/Hospitality,Merchandiser,"[""Space Planning"",""Category Management"",""Vendor Relations"",""Promotional Displays"",""Seasonal Planning""]",high,2026-02-16 22:56:51.40283+00
26ff57b8-7b4c-45a5-a08d-e3939d0f6dfe,Environmental,Safety Specialist,"[""EHS"",""OSHA"",""Safety Program"",""Risk Assessment"",""Incident Investigation"",""Training"",""PPE"",""Industrial Hygiene"",""Emergency Response"",""Compliance"",""Audit"",""Behavior-Based Safety"",""Workers Compensation"",""Ergonomics"",""JSA""]",critical,2026-02-18 14:03:12.64537+00
2769410c-cba3-44a2-befb-f1a8e27a2dc9,Education,Curriculum Developer,"[""Professional Development"",""Teacher Training"",""Research"",""Data Analysis""]",low,2026-02-16 22:56:43.218561+00
277d3b6d-6ffc-4c50-8f4b-0a6932ac232a,Education,School Administrator,"[""Grant Writing"",""Fundraising"",""Facility Management"",""Crisis Management""]",low,2026-02-16 22:56:43.218561+00
27c51a91-3a1a-43ed-8a93-8bd6707ddcfd,Technology,UI/UX Designer,"[""Figma"",""Sketch"",""Adobe XD"",""Wireframing"",""Prototyping"",""User Research"",""Usability Testing"",""Design Systems"",""Accessibility""]",medium,2026-02-16 22:56:43.218561+00
2815067f-a368-444f-8510-928b93da8263,Construction,Safety Manager,"[""OSHA"",""Safety Program"",""Incident Investigation"",""Safety Training"",""PPE"",""HAZCOM"",""Fall Protection"",""Confined Space"",""Lockout/Tagout"",""Safety Audit"",""Workers Compensation"",""Risk Assessment"",""Safety Culture"",""Compliance"",""Emergency Response""]",critical,2026-02-18 14:03:12.64537+00
2825cef0-9d82-4bc6-b1b3-cb1ae0569ced,Construction,HVAC Technician,"[""HVAC"",""Refrigeration"",""Air Conditioning"",""Heating"",""Ventilation"",""EPA 608"",""System Commissioning""]",critical,2026-02-16 22:56:43.218561+00
2856fadf-6539-48db-81bb-adb592bb8ae8,Defense/Aerospace,Satellite Operations,"[""Anomaly Resolution"",""Contingency Planning"",""On-Orbit Testing"",""Maneuver Planning""]",medium,2026-02-16 22:56:51.40283+00
2920d89b-9f25-487a-a6f4-f28cd44001fa,Finance/Banking,Insurance Underwriter,"[""Risk Assessment"",""Underwriting Guidelines"",""Policy Analysis"",""Loss Ratio"",""Premium Calculation"",""Actuarial Data""]",critical,2026-02-16 22:56:43.218561+00
294a4e7e-6264-4894-8c7b-796ea8e0f9b4,Marketing/Communications,Content Creator,"[""Project Management"",""Freelancer Management"",""Editorial Guidelines"",""Style Guides""]",low,2026-02-16 22:56:43.218561+00
29a91ae4-b062-4a5e-9155-7c87189eb4f5,Consulting,Management Consultant,"[""PowerPoint"",""Excel"",""Data Analysis"",""Market Research"",""Financial Analysis"",""Benchmarking""]",high,2026-02-16 22:56:43.218561+00
2a14b7bc-c7b4-4c65-b00a-ca8d197f8609,Healthcare,Clinical Research,"[""Clinical Trials"",""CRF"",""EDC Systems"",""Regulatory Submissions"",""FDA"",""Study Coordination""]",high,2026-02-16 22:56:43.218561+00
2a39f6b5-7a74-4603-bc09-471c6b3e36df,Energy,Power Plant Operator,"[""Power Generation"",""Turbines"",""Boilers"",""Control Room"",""NERC"",""Safety"",""Environmental Compliance"",""Preventive Maintenance"",""DCS"",""SCADA"",""Heat Rate"",""Efficiency"",""Emergency Procedures"",""Water Treatment"",""Electrical Systems""]",critical,2026-02-18 14:03:12.64537+00
2a7be02b-1ddc-4ac9-85a2-dcef67473730,Government/Federal,IT Specialist (GS),"[""NIST"",""FISMA"",""FedRAMP"",""RMF"",""ATO"",""Security Controls"",""System Administration""]",critical,2026-02-16 22:56:43.218561+00
2b54e099-9717-4c6f-b177-201f8fcde0f8,Transportation,CDL Driver,"[""CDL"",""Pre-Trip"",""DOT"",""HOS"",""ELD"",""Hazmat"",""Tanker"",""Doubles/Triples"",""Defensive Driving"",""Load Securement"",""Bill of Lading"",""Customer Service"",""Navigation"",""Safety"",""Maintenance""]",critical,2026-02-18 14:03:12.64537+00
2b5b634f-4369-40ff-96ce-227d25187db7,Real Estate,Building Engineer,"[""Building Systems"",""HVAC"",""Electrical"",""Plumbing"",""Fire Protection"",""BAS"",""Energy Management"",""Preventive Maintenance"",""Work Orders"",""Vendor Management"",""Compliance"",""Inspections"",""Emergency Response"",""Budget"",""Safety""]",critical,2026-02-18 14:03:12.64537+00
2bcd7af0-ee9d-474a-a5bc-3a58f95d594c,Government/Federal,Grants Management Specialist,"[""Grants Management"",""Federal Grants"",""OMB Uniform Guidance"",""Single Audit"",""Grants.gov"",""Compliance""]",critical,2026-02-16 22:56:51.40283+00
2c8d3483-cc80-439f-9016-171424f151fb,Energy/Utilities,Safety Manager (Energy),"[""Auditing"",""Training"",""PPE Programs"",""Contractor Safety"",""DOT Compliance""]",medium,2026-02-16 22:56:43.218561+00
2ce1f4cb-4e89-4333-b3c2-99ffadb2fb4a,Defense/Aerospace,Intelligence Officer,"[""Briefing"",""Report Writing"",""Critical Thinking"",""Foreign Language""]",low,2026-02-16 22:56:43.218561+00
2da82e8a-0a84-4426-bfe0-6620b33f3801,Finance/Banking,Compliance Officer,"[""Board Reporting"",""Vendor Due Diligence"",""Ethics Program"",""Whistleblower""]",low,2026-02-16 22:56:43.218561+00
2e00db39-c82a-4ca8-9221-5b0a987430f1,Technology,Business Analyst,"[""Requirements Gathering"",""Use Cases"",""User Stories"",""Process Mapping"",""Wireframes"",""UAT"",""JIRA"",""Confluence"",""SQL"",""Data Analysis"",""Stakeholder Management"",""Gap Analysis"",""BRD"",""Visio"",""Agile""]",important,2026-02-18 14:03:12.64537+00
2e66a898-9754-4a8d-a4a4-4e23da0dd4a7,Government/Federal,Contract Specialist,"[""FPDS"",""SAM.gov"",""CPARS"",""Contract Types"",""IDIQ"",""BPA"",""Task Orders"",""Modifications""]",high,2026-02-16 22:56:43.218561+00
2e889953-b634-4c18-ac43-aff704a57da4,Retail/Hospitality,Restaurant Manager,"[""Customer Satisfaction"",""Upselling"",""Labor Cost"",""Training"",""Catering""]",medium,2026-02-16 22:56:51.40283+00
2fa22560-1c4e-44f5-a49f-0a4162aee2fe,Logistics,Transportation Manager,"[""Fleet Management"",""DOT Compliance"",""Route Optimization"",""Freight"",""TMS"",""Carrier Management"",""Cost per Mile"",""Last Mile Delivery"",""Cross-Docking"",""Load Planning"",""CDL"",""HOS"",""Dispatch"",""Fuel Management"",""Vehicle Maintenance""]",critical,2026-02-18 14:03:12.64537+00
2fbef2f4-c2ac-4f02-8166-0c2c78ca7722,Technology,Product Manager,"[""OKRs"",""Executive Communication"",""Cross-functional Leadership"",""Prioritization Frameworks""]",low,2026-02-16 22:56:43.218561+00
30843b70-a499-4a92-81f3-472890cfe6e6,Finance/Banking,Insurance Underwriter,"[""Broker Relations"",""Portfolio Management"",""Market Analysis"",""Training""]",low,2026-02-16 22:56:43.218561+00
30c7fa84-44a4-40b7-9a08-e3b5f6d7b1bc,Non-Profit,Case Manager,"[""Database Management"",""Outcome Tracking"",""Progress Notes"",""Referrals"",""Follow-Up""]",medium,2026-02-16 22:56:51.40283+00
