id,military_phrase,civilian_phrase,branch,category,context_notes,created_at
21092e33-38e1-4abc-bdc2-29bd14a84639,administered PQS,administered professional qualification program,navy,training,,2026-02-15 17:47:32.616746+00
21523b83-2b9c-43a1-9e1a-ae261892ac23,owned the battlespace,managed all operations within the assigned area,general,Leadership,,2026-02-18 14:03:12.64537+00
217b2825-aa4a-4834-9784-5ac7fe5ab952,OCONUS,outside the continental United States,general,Operations,,2026-02-18 14:03:12.64537+00
21a2fc2e-b177-4f55-9223-140180442838,records management,document management / records retention,general,admin,,2026-02-18 01:13:54.18454+00
226de5c8-e521-4190-878d-2f51a68b727f,served as SAPR VA,served as sexual assault prevention and response victim advocate,navy,admin,,2026-02-15 17:48:35.249974+00
22981ffe-4d23-4030-a513-d61aa20af2f1,voting assistance officer,employee civic engagement coordinator,general,Admin,,2026-02-18 14:03:12.64537+00
230ffb5e-a8c6-4c8a-8db5-5c947cc7a272,can-do attitude,"positive, results-oriented approach",general,Performance,,2026-02-18 14:03:12.64537+00
2369746e-6dc8-4f1a-9364-65787642f8a5,empowered junior leaders,empowered emerging leaders through delegation,general,Leadership,,2026-02-18 14:03:12.64537+00
2370234c-cf6d-4f71-8f7e-026ca6e48173,improved readiness,improved operational availability,general,performance,,2026-02-15 17:47:32.616746+00
23d88015-2e9b-4c1f-a87b-9653fa82fe92,class A mishap,severity level 1 incident with major loss,general,Safety,,2026-02-18 14:03:12.64537+00
240b021c-edf5-4b15-82a7-8321b76a8fe1,performs at the next higher paygrade,performs at the next organizational level,general,performance,,2026-02-15 17:48:35.249974+00
24200510-faa7-4528-aeed-e27e6b4f79bd,shipmate of the quarter,employee of the quarter,navy,Leadership,,2026-02-18 14:03:12.64537+00
2485310e-8ad6-45bf-af7a-9699364d6854,inspired warfighters,motivated team members to achieve objectives,general,Leadership,,2026-02-18 14:03:12.64537+00
250ca11e-de9b-4319-8b20-1f4818167f8d,exceeded the standard,surpassed performance benchmarks,general,Performance,,2026-02-18 14:03:12.64537+00
255d5543-0a5a-49a7-865b-8fc17ef0776c,quad chart,four-quadrant visual summary,general,Communication,,2026-02-18 14:03:12.64537+00
25cd2456-4ab5-4dfc-8344-13a855cbb693,theater of operations,regional area of business operations,general,Operations,,2026-02-18 14:03:12.64537+00
25ea0db5-4866-4a77-81a2-71a0e02e81b9,open purchase,commercial off-the-shelf procurement,general,Equipment,,2026-02-18 14:03:12.64537+00
25eac435-bf83-4d40-851d-c67df1e71e79,SPOTREP,spot report or incident notification,general,Communication,,2026-02-18 14:03:12.64537+00
25ee6d01-2022-41b9-ab33-3c111409e93a,war college graduate,completed executive leadership program,general,Training,,2026-02-18 14:03:12.64537+00
26014f27-31f7-48bf-9b9e-bf3361911f1f,unlimited potential,demonstrates exceptional growth potential,general,performance,,2026-02-15 17:48:35.249974+00
26538a2d-a50b-47ea-92bd-a9281fa3b09c,force beddown,temporary facility setup / rapid site establishment,general,engineering,,2026-02-18 01:13:54.18454+00
265bb849-3cef-4fdf-9790-2aa44baad441,served as team leader,served as front-line team supervisor,army,leadership,,2026-02-15 17:48:35.249974+00
26d23369-80e7-476e-b551-a250e6686171,operation and maintenance funds,operating budget / O&M budget,general,financial,,2026-02-18 01:13:54.18454+00
271c42b1-9f77-40f7-b1f6-11f5df5fa840,equal opportunity advisor,equal employment opportunity specialist,general,Admin,,2026-02-18 14:03:12.64537+00
273d70f5-a2d7-439b-8d87-905556c511df,battle tested,proven in high-pressure environments,general,Performance,,2026-02-18 14:03:12.64537+00
279474ca-5968-4d88-aac8-2fcbfb6e78b0,zone inspection,facility/area compliance inspection,navy,compliance,,2026-02-15 17:47:32.616746+00
27a96a4b-30c5-4757-bd7b-989a4256faed,forward deployed,stationed in operational area,general,Operations,,2026-02-18 14:03:12.64537+00
27eaf5cb-ac20-4b15-9841-35140e26cc2d,24/7 operations,around-the-clock operations / continuous coverage,general,operations,,2026-02-18 01:13:54.18454+00
282f2be5-346b-43f9-8991-3b383cf28b59,top of the class,ranked first among peers,general,Performance,,2026-02-18 14:03:12.64537+00
28453e38-4344-4a43-83a9-96db2786fe08,training cycle,professional development schedule / learning cycle,general,training,,2026-02-18 01:13:54.18454+00
28592ead-c88b-467a-a0c8-2e98625ca9b8,zero loss rate,achieved zero inventory loss,general,Performance,,2026-02-18 14:03:12.64537+00
28c5e3d2-92ad-4a2c-944a-0c179337a657,page 13 counseling,documented performance counseling session,navy,admin,,2026-02-15 17:47:32.616746+00
291c3f54-dc94-47fb-9aeb-83718a78448c,operational readiness rate,equipment availability rate / uptime percentage,general,performance,,2026-02-18 01:13:54.18454+00
29576cbe-ad64-4b3a-949b-56bbc6bb8f9a,negative,no or not confirmed,general,Communication,,2026-02-18 14:03:12.64537+00
2a2d1548-22c4-4eb5-bb16-55c2331be525,took the helm,assumed leadership of / took charge of,general,leadership,,2026-02-18 01:13:54.18454+00
2a8376fa-1be1-4cf1-b627-eddc0ca68f34,PMS,planned maintenance system,navy,Equipment,,2026-02-18 14:03:12.64537+00
2aa5a31e-8cc5-4d45-bcaa-74f0140e0b04,demobilized from,returned from deployment/activation,general,operations,,2026-02-15 17:48:35.249974+00
2aba8cc6-6977-4035-bfe6-7e8b14782247,plugman,structural damage containment specialist,navy,operations,,2026-02-15 17:48:35.249974+00
2b173820-8979-46d0-8454-82526d5fe98a,master fitness trainer,certified physical fitness program leader,army,Medical,,2026-02-18 14:03:12.64537+00
2b7983c2-993c-4f82-870d-cc000ca9a1d3,barrier plan,perimeter security design / access control plan,general,engineering,,2026-02-18 01:13:54.18454+00
2bad8252-796d-455d-b319-d0758bffbd59,met every milestone,achieved all project milestones on schedule,general,Performance,,2026-02-18 14:03:12.64537+00
2bb16b73-1f6c-4917-b6e0-da65ca112956,ACFT,army combat fitness test,army,Medical,,2026-02-18 14:03:12.64537+00
2bbaf2ec-72c7-450b-a8fa-d4f62a580986,sick call,walk-in medical appointment,general,Medical,,2026-02-18 14:03:12.64537+00
2bf78c12-c6fc-4c0a-a6a4-6ee9aff20e77,selection board,promotion review panel / selection committee,general,training,,2026-02-18 01:13:54.18454+00
2bfbb424-b3d3-46af-9be0-9a4f7d763b9c,combat training center rotation,intensive field training exercise / major training event,general,training,,2026-02-18 01:13:54.18454+00
2c3c871c-db67-4002-b6d1-0d42c097719e,sponsor,onboarding coordinator for incoming employees,general,Admin,,2026-02-18 14:03:12.64537+00
2c5dd709-7e2e-45b1-92b8-88b0104e19c1,answered the call,responded to critical organizational need,general,Leadership,,2026-02-18 14:03:12.64537+00
2c7f1972-978a-4ffc-bae4-1946afdaa4ce,achieved mission success,successfully completed all objectives,general,performance,,2026-02-18 01:13:54.18454+00
2c834074-cae1-4b4e-9d67-fe2da73c0622,earned 7-level,achieved craftsman-level technical certification,usaf,training,,2026-02-15 17:48:35.249974+00
2c85943e-4335-44e0-a0fd-a79e3511e719,remedial training,corrective performance coaching,general,training,,2026-02-15 17:47:32.616746+00
2ca9ae3c-8ed9-4c62-8ae7-65a69235b478,served in hostile fire zone,served in hazardous duty environment,general,operations,,2026-02-15 17:48:35.249974+00
2cf27662-02df-40c6-b4ea-3b52ff9dea24,nailed the inspection,achieved outstanding inspection results,general,Performance,,2026-02-18 14:03:12.64537+00
2d0a5f69-4e31-47dc-b666-932a40501466,received Bronze Star Medal,received senior-level achievement/service award,general,admin,,2026-02-15 17:48:35.249974+00
2d270768-fe78-41e1-9871-67de8e8486ec,area of responsibility,assigned territory / managed region,general,operations,,2026-02-18 01:13:54.18454+00
2e03cd85-3e9d-4352-8679-1caec5d166a6,in-rate training,specialty-specific professional development,navy,Training,,2026-02-18 14:03:12.64537+00
2e25a596-9201-4794-831e-370e6bb4db01,aviation safety program,flight safety management system,general,aviation,,2026-02-18 01:13:54.18454+00
2e382d3d-61e5-4048-89df-db56ba471190,mission capable rate,operational availability rate,general,compliance,,2026-02-15 17:47:32.616746+00
2ec03130-b580-4fa8-b83c-dce08f41e813,open door policy,accessible leadership communication policy,general,Communication,,2026-02-18 14:03:12.64537+00
2ece60ac-2cbe-4e3b-b15b-3c426fc7687f,geospatial intelligence,geographic information systems analysis / location-based analytics,general,intel,,2026-02-18 01:13:54.18454+00
2ee5eba1-3828-4c79-9d8c-74490002c275,top block evaluation,highest possible performance rating,general,performance,,2026-02-18 01:13:54.18454+00
2f093484-7ee8-4d0a-88b4-bcebc9ac2a88,managed departmental 3M program,managed department-level preventive maintenance program,navy,technical,,2026-02-15 17:48:35.249974+00
2f20e31f-bb74-4405-8844-af708dd81bed,TAP/TAPS,transition assistance program,general,Admin,,2026-02-18 14:03:12.64537+00
2f816c14-0ba8-46e4-b509-fb3d71d8124a,combat leadership,leadership under high-pressure conditions,general,leadership,,2026-02-18 01:13:54.18454+00
2f817cc6-0870-450c-bf7c-736adba69b11,assumed the watch,took over shift operations,navy,operations,,2026-02-15 17:47:32.616746+00
2fdcd508-a15c-4a53-99de-efa9ca318f49,served as EKMS manager,served as electronic key/encryption material manager,navy,security,,2026-02-15 17:48:35.249974+00
302da116-a113-48a2-b1b4-568d53e325d2,ahead of schedule,completed before the deadline,general,Performance,,2026-02-18 14:03:12.64537+00
30b0a840-b413-4c94-9451-8c3cfeb06199,area denial operations,restricted access zone management,general,operations,,2026-02-18 01:13:54.18454+00
315ccbbd-4835-43c0-b082-7f8bb1c3e1b4,achieved first class PFT,achieved top-tier physical fitness rating,usmc,performance,,2026-02-15 17:48:35.249974+00
3239c7de-2a18-44be-ac37-fc99b56e9580,force multiplier,high-impact contributor / productivity amplifier,general,performance,,2026-02-18 01:13:54.18454+00
