id,gap_keyword,gap_category,recommendation_type,recommendation,related_certs,related_skills,free_resource_url,resource_name,estimated_time,estimated_cost,veteran_discount,veteran_discount_notes,created_at
,Excel Advanced,tool,training,"Advanced Excel (pivot tables, VLOOKUP, macros). Free training on Microsoft Learn. Your military reporting experience is a strong foundation.",,"[""Data Analysis"",""Reporting"",""Spreadsheets""]",https://learn.microsoft.com,Microsoft Learn,10-20 hours,Free,False,,
,Kubernetes,tool,training,Container orchestration platform. Free training at kubernetes.io. Growing requirement for cloud and DevOps roles.,"[""AWS"",""Azure"",""CKA""]","[""Container Orchestration"",""Cloud"",""DevOps""]",https://kubernetes.io/training/,Kubernetes Training,20-40 hours,Free,False,,
,Nessus,tool,training,Vulnerability scanner. Free Nessus Essentials version available. Your STIG/vulnerability scanning experience is equivalent.,"[""Security+"",""CySA+"",""PenTest+""]","[""Vulnerability Assessment"",""Scanning"",""Compliance""]",https://www.tenable.com/products/nessus/nessus-essentials,Tenable Nessus Essentials,4-8 hours,Free (Essentials),False,,
,DoD Acquisition,skill,add_skill,"If you participated in equipment procurement, program reviews, or milestone decisions, you have DoD acquisition experience. Familiarize yourself with the 5000 series if targeting acquisition roles.","[""PMP"",""DAWIA""]","[""Program Management"",""Procurement"",""Contracts""]",https://aaf.dau.edu,Defense Acquisition University (free),10-40 hours,Free,True,DAU courses are free for military and government civilians,
,Confluence,tool,training,"Atlassian wiki/documentation tool. If you wrote SOPs, instructions, or maintained any documentation system, Confluence is similar.",,"[""Documentation"",""Knowledge Management"",""Technical Writing""]",https://university.atlassian.com,Atlassian University,2-4 hours,Free,False,,
,Docker,tool,training,Container platform. Free to use. Free training available. Foundational for modern DevOps and cloud roles.,,"[""Containers"",""DevOps"",""Microservices""]",https://docs.docker.com/get-started/,Docker Docs,10-20 hours,Free,False,,
,BLS,certification,quick_win,Basic Life Support is a 1-day course. Most military medical personnel already have this or equivalent training.,"[""ACLS"",""PALS"",""TCCC""]","[""CPR"",""First Aid"",""Emergency Response""]",https://cpr.heart.org/en/cpr-courses-and-kits/healthcare-professional/basic-life-support-bls,AHA BLS,1 day,$65-80,False,,
,Git/GitHub,tool,training,Version control system used by every software team. Free. Essential for any technical role.,,"[""Version Control"",""Collaboration"",""Software Development""]",https://docs.github.com/en/get-started,GitHub Docs,4-8 hours,Free,False,,
,DevOps,methodology,training,"DevOps combines development and operations. Your military ops tempo and systems management experience is a foundation. Focus on learning the specific tools (Docker, Jenkins, Git).","[""AWS"",""Azure"",""CompTIA Linux+""]","[""CI/CD"",""Automation"",""Infrastructure as Code"",""Monitoring""]",https://www.freecodecamp.org/news/devops-engineering-course-for-beginners/,freeCodeCamp,40-60 hours,Free,False,,
,Power BI,tool,training,"Microsoft data visualization tool. Free desktop version. Integrates with Excel, which you likely already know.",,"[""Data Visualization"",""Business Intelligence"",""Excel""]",https://learn.microsoft.com/en-us/power-bi/,Microsoft Learn,10-20 hours,Free (Desktop),False,,
,Waterfall,methodology,add_skill,"Traditional sequential project management. Military planning processes (MDMP, naval planning process) follow waterfall methodology. Add this to your skills.","[""PMP""]","[""Sequential Planning"",""Phase Gates"",""Requirements Documentation""]",,,,,False,,
,Elastic/ELK Stack,tool,training,"Open source SIEM alternative. Free training available. If you have Splunk experience, ELK concepts are similar.","[""Security+"",""CySA+""]","[""SIEM"",""Log Management"",""Data Analytics""]",https://www.elastic.co/training/free,Elastic Training,10-20 hours,Free,False,,
,Salesforce,tool,training,CRM platform. Free Trailhead training is excellent. Salesforce Admin cert is achievable in 2-3 months and highly marketable.,,"[""CRM"",""Sales Operations"",""Reporting""]",https://trailhead.salesforce.com,Salesforce Trailhead,40-80 hours,Free (Trailhead) / $200 exam,True,Salesforce has dedicated veteran hiring programs (VetForce),
,Oracle,tool,training,Enterprise database and ERP platform. Free Oracle Academy training available. Your data management experience is relevant.,,"[""Database"",""ERP"",""Supply Chain""]",https://academy.oracle.com,Oracle Academy,20-40 hours,Free,False,,
,Stakeholder Management,skill,add_skill,"If you briefed senior leadership, coordinated with external agencies, or managed competing priorities from multiple departments, you managed stakeholders. Add this skill.","[""PMP""]","[""Communication"",""Relationship Management"",""Negotiation""]",,,,,False,,
,Jenkins,tool,training,CI/CD automation server. Free and open source. Your process automation experience is a foundation.,,"[""CI/CD"",""DevOps"",""Automation""]",https://www.jenkins.io/doc/tutorials/,Jenkins Tutorials,10-20 hours,Free,False,,
,Earned Value Management,skill,add_skill,"Your PMP certification covers EVM fundamentals. If you tracked project budgets, schedules, and performance metrics, you used EVM concepts. Add ""Earned Value Management"" to your skills.","[""PMP"",""CAPM""]","[""Project Management"",""Budget Tracking"",""Schedule Management""]",,,,,False,,
,Asana,tool,training,"Free version available. Similar to Jira but simpler. If you know any task management tool, Asana takes 1-2 hours to learn.",,"[""Task Management"",""Project Tracking""]",https://academy.asana.com,Asana Academy,2-4 hours,Free,False,,
,Azure certifications,certification,training,Start with AZ-900 (fundamentals) then AZ-104 (administrator). Free training on Microsoft Learn. Your military IT experience maps directly.,"[""CompTIA Cloud+"",""AWS certifications""]","[""Cloud Computing"",""System Administration"",""Active Directory""]",https://learn.microsoft.com/en-us/certifications/,Microsoft Learn,AZ-900: 2-4 weeks / AZ-104: 2-3 months,AZ-900: $99 / AZ-104: $165,True,Microsoft offers free certification exams for eligible veterans through MSFT Software & Systems Academy,
,Python,tool,training,"Most in-demand programming language. Free courses everywhere. Useful for automation, data analysis, and cybersecurity scripting.",,"[""Programming"",""Automation"",""Data Analysis"",""Scripting""]",https://www.freecodecamp.org/learn/,freeCodeCamp,40-80 hours,Free,False,,
,Customer service,soft_skill,add_skill,"Your experience serving fellow service members, working with external agencies, and supporting mission requirements IS customer service in a different context. Frame it that way.",,"[""Client Relations"",""Support"",""Service Delivery""]",,,,,False,,
,ACAS,tool,equivalent,"ACAS is the military/DoD vulnerability scanning platform. Civilian equivalent is Nessus/Tenable.sc. Your ACAS experience directly translates — just say ""Tenable/Nessus"" on your resume.","[""Security+"",""CySA+""]","[""Vulnerability Scanning"",""Compliance Scanning"",""STIG""]",,,,,False,,
,Lean Six Sigma,certification,quick_win,"Your military process improvement experience maps directly to Lean Six Sigma. Yellow Belt is free online, Green Belt is a strong resume addition.","[""PMP""]","[""Process Improvement"",""Data Analysis"",""Quality Management""]",https://www.sixsigmaonline.org/,Six Sigma Online,Yellow: 1-2 weeks / Green: 2-3 months,Yellow: Free / Green: $200-400,False,,
,Burp Suite,tool,training,Web application security testing tool. Free Community Edition available. Your pen testing experience is relevant foundation.,"[""PenTest+"",""CEH"",""OSCP""]","[""Web App Security"",""Penetration Testing""]",https://portswigger.net/web-security,PortSwigger Web Security Academy,20-40 hours,Free,False,,
,Master's degree,education,long_term,"If you have a bachelor's, GI Bill covers master's programs. Many universities offer accelerated programs for veterans. Online programs from reputable schools (WGU, SNHU, ASU Online) are veteran-friendly.",,,https://www.va.gov/education/about-gi-bill-benefits/,VA GI Bill,18-24 months,GI Bill covers full tuition,True,GI Bill and Yellow Ribbon programs cover most master's programs,
,NREMT,certification,equivalent,"If you were a combat medic (68W) or Corpsman (HM), your training likely exceeds civilian EMT standards. Check your state for military-to-EMT bridge programs.","[""TCCC"",""ACLS""]","[""Emergency Medicine"",""Patient Care"",""Trauma""]",https://www.nremt.org/rwd/public/document/military,NREMT Military,1-2 months (bridge),$80 exam,True,NREMT has specific military pathway with reduced requirements,
,Ansible,tool,training,Automation and configuration management tool. Free and open source. Your maintenance and system management experience translates.,,"[""Automation"",""Configuration Management"",""DevOps""]",https://www.redhat.com/en/topics/automation/learning-ansible-tutorial,Red Hat Ansible,10-20 hours,Free,False,,
,Terraform,tool,training,Infrastructure as Code tool. Free training from HashiCorp. Your infrastructure management experience is relevant foundation.,"[""AWS"",""Azure""]","[""Infrastructure as Code"",""Cloud"",""Automation""]",https://learn.hashicorp.com/terraform,HashiCorp Learn,10-20 hours,Free,False,,
,Scrum,methodology,add_skill,"Scrum is a specific Agile framework with sprints, standups, and retrospectives. If you ran daily briefs, weekly planning cycles, and AARs — that is essentially Scrum.","[""CSM"",""PSM""]","[""Sprint Planning"",""Daily Standups"",""Retrospectives""]",https://www.scrum.org/resources/what-scrum-module,Scrum.org,2-4 hours to learn / 2 days for CSM,"Free overview / $1,200 CSM",False,,
,Technical Writing,skill,add_skill,"If you wrote SOPs, maintenance procedures, technical manuals, naval messages, or operations orders, you have technical writing experience. Add it to your skills.",,"[""Documentation"",""SOPs"",""Procedures"",""Report Writing""]",,,,,False,,
,Palo Alto,tool,training,Next-gen firewall platform. Free Beacon training available. Your military firewall/network security experience is directly relevant.,"[""Security+"",""CCNA"",""PCNSA""]","[""Firewall Management"",""Network Security""]",https://beacon.paloaltonetworks.com,Palo Alto Beacon,20-40 hours,Free,False,,
,Business Continuity,skill,equivalent,Military COOP (Continuity of Operations) planning is business continuity. Your disaster preparedness and emergency planning experience translates directly.,,"[""COOP"",""Disaster Recovery"",""Emergency Planning""]",,,,,False,,
,CCNA,certification,training,"Your military network experience maps to CCNA concepts. If you managed shipboard or tactical networks, you likely already know 70% of the material.","[""CompTIA Network+""]","[""Routing"",""Switching"",""Network Administration"",""TCP/IP""]",https://www.cisco.com/site/us/en/learn/training-certifications/certifications/associate/ccna/index.html,Cisco CCNA,2-4 months study,$330 exam,True,Cisco offers military/veteran training through NetAcad,
,Metasploit,tool,training,"Penetration testing framework. Free Community Edition. If you have PenTest+ or military red team experience, Metasploit is the standard tool.","[""PenTest+"",""CEH"",""OSCP""]","[""Penetration Testing"",""Exploitation"",""Vulnerability Assessment""]",https://www.metasploit.com/,Rapid7 Metasploit,10-20 hours,Free (Community),False,,
,Secret clearance,clearance,add_skill,"If you held a Secret clearance during military service, it may still be active or in the system. Check your JPAS/DISS record. An active clearance is extremely valuable — always list it on your resume.",,"[""Security Clearance"",""Background Investigation""]",,,,,False,,
,CMMI,methodology,training,Capability Maturity Model Integration. Used in defense contracting for process maturity. Your QA and process improvement experience is relevant.,"[""PMP""]","[""Process Improvement"",""Quality Assurance"",""Maturity Assessment""]",https://cmmiinstitute.com,CMMI Institute,10-20 hours,Varies,False,,
,CEH,certification,equivalent,Your PenTest+ covers similar offensive security concepts. Mention PenTest+ and any vulnerability assessment experience as equivalent.,"[""PenTest+"",""OSCP"",""GPEN""]","[""Penetration Testing"",""Vulnerability Assessment"",""Ethical Hacking""]",https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/,EC-Council CEH,2-3 months study,"$1,199 exam",True,EC-Council offers military discount through GI Bill and VET TEC,
,PMP,certification,quick_win,"With your military leadership experience, you likely already qualify for PMP. Military project management experience counts toward the 36-month requirement.",,"[""Project Management"",""Leadership"",""Budgeting"",""Scheduling""]",https://www.pmi.org/certifications/project-management-pmp,PMI PMP,2-3 months study,$405 exam (PMI member),True,PMI offers $100 military discount. VET TEC covers training costs.,
,R,tool,training,Statistical programming language. Free courses available. Used heavily in data science and analytics roles.,,"[""Statistics"",""Data Science"",""Analytics""]",https://www.freecodecamp.org/learn/,freeCodeCamp,40-60 hours,Free,False,,
,OSCP,certification,long_term,OSCP is hands-on pentesting certification. Your PenTest+ and military cyber experience are relevant but OSCP requires dedicated lab time.,"[""PenTest+"",""CEH"",""GPEN""]","[""Penetration Testing"",""Linux"",""Python"",""Exploit Development""]",https://www.offsec.com/courses/pen-200/,OffSec PEN-200,3-6 months,"$1,649+ (includes lab)",True,OffSec offers military/veteran pricing,
,CISM,certification,equivalent,Your Security+ and management experience map to CISM domains. Your military leadership in security programs is directly relevant.,"[""Security+"",""CISSP"",""CASP+""]","[""Security Management"",""Risk Management"",""Incident Response""]",https://www.isaca.org/credentialing/cism,ISACA CISM,3-6 months study,$575 exam,False,,
,ITAR,methodology,add_skill,"International Traffic in Arms Regulations. If you handled classified defense material or worked with defense systems, you operated under ITAR restrictions. Add to your resume.",,"[""Export Control"",""Compliance"",""Defense""]",,,,,False,,
,TS/SCI,clearance,add_skill,"TS/SCI access is the most valuable clearance level. If you had it, verify through your SSO or security manager. Even if expired, noting ""TS/SCI (inactive, eligible for reinstatement)"" has value.",,"[""Security Clearance"",""SCI"",""Background Investigation""]",,,,,False,,
,CrowdStrike,tool,training,Endpoint detection and response platform. Free CrowdStrike University training. Your security monitoring experience translates.,"[""Security+"",""CySA+""]","[""EDR"",""Endpoint Security"",""Threat Detection""]",https://www.crowdstrike.com/university/,CrowdStrike University,10-20 hours,Free,False,,
,Top Secret,clearance,add_skill,"If you held TS during service, verify current status. TS clearances can remain active for up to 6 years. An active TS is worth $5-15K in additional salary. Always list on resume.",,"[""Security Clearance"",""Background Investigation""]",,,,,False,,
