military_phrase,civilian_phrase,branch,category,context_notes
interagency operations,multi-agency government operations,general,operations,
set the example,served as a role model / established best practices,general,performance,
all hands,organization-wide or all-personnel,navy,communication,
reduction in rate,demotion,general,admin,
commanded a detachment,managed an independent work group,general,leadership,
on order,ordered and pending delivery,general,equipment,
patient administration,patient records management / healthcare administration,general,medical,
deployed in support of,assigned to support,general,operations,
special staff officer,specialized advisor / subject matter expert,general,leadership,
shift work,rotating shift schedule management,general,operations,
led from the front,led by example in high-pressure situations,general,leadership,
received NJP,received formal disciplinary action,general,admin,
administrative law,regulatory compliance / administrative policy,general,legal,
nozzleman,primary fire suppression operator,navy,operations,
reported aboard,joined the organization,navy,admin,
served as khaki mentor,served as leadership mentor for management candidates,navy,leadership,
awarded restriction,received workplace restriction as discipline,general,admin,
completed SWOS training,completed surface warfare officer training,navy,training,
enlisted record brief,employee profile / personnel summary,general,admin,
served as departmental 3M assistant,served as department maintenance manager,navy,technical,
consistently exceeded expectations,routinely surpassed performance goals,general,performance,
NEC holder,holds specialized professional credential,navy,training,
completed shore tour,completed headquarters/support assignment,navy,operations,
under budget,completed under budget,general,performance,
completed ACSC,completed intermediate-level officer professional school,usaf,training,
respiratory protection program,respiratory safety and equipment program,general,safety,
JHA,job hazard analysis,general,safety,
battle E award,organizational excellence award,navy,performance,
served as squad leader,supervised 13-person operational team,usmc,leadership,
processed evals,completed employee performance evaluations,navy,admin,
welcome aboard package,new hire onboarding materials,navy,admin,
earned Pathfinder qualification,completed advanced navigation and air traffic certification,army,training,
air assault qualified,completed air assault operations training,army,training,
warfare qualified,specialty operations certified,general,training,
man overboard drill,personnel recovery exercise,navy,training,
hand-picked for,selected from competitive pool for,general,leadership,
completed Sergeants Course,completed team leader development course,usmc,training,
increased efficiency,improved operational efficiency,general,performance,
C school graduate,completed advanced technical training,navy,training,
held the line,maintained standards under pressure,general,leadership,
fleet-up,promoted into next-level role / advanced within the team,general,training,
earned Distinguished Graduate,graduated at top of class,usaf,performance,
vertical construction,building construction / structural construction,general,engineering,
under instruction,in training,general,training,
separation date,employment end date,general,admin,
served as battle captain,served as operations shift lead,general,leadership,
selected for Chief Petty Officer,selected for senior management promotion,navy,performance,
cannibalize,sourced parts from another unit or system,general,equipment,
medical surveillance,occupational health monitoring / health screening,general,medical,
passed ATG assessment,passed external readiness assessment,navy,compliance,
served as LCPO,served as department supervisor,navy,leadership,
EPR,enlisted performance report,usaf,admin,
commanders intent,leadership vision and desired end state,general,communication,
shelf life item,item with expiration-based inventory management,general,equipment,
served as DCPO,served as safety/damage control petty officer,navy,leadership,
lessons learned,post-project improvement findings,general,operations,
relief in place,personnel replacement and handover,general,operations,
knows no boundaries,demonstrates exceptional initiative,general,leadership,
APFT,physical fitness test,army,medical,
NEC qualified,earned additional specialty certification code,navy,training,
liaison with,coordinated with,general,communication,
qualified as EOOW,certified as engineering operations shift supervisor,navy,operations,
train the trainer certified,certified as instructor of instructors,general,training,
AOR,assigned area of responsibility,general,operations,
passed with zero findings,achieved full compliance with no deficiencies,general,performance,
for your SA,for your situational awareness,general,communication,
secured space,restricted access facility,general,security,
received Joint Service Commendation Medal,received joint organization superior performance award,general,admin,
force protection,personnel and facility security,general,operations,
integrated operations,multi-organization coordinated operations,general,operations,
earned Safety S,earned safety excellence recognition,navy,safety,
watch rotation,shift rotation schedule,navy,operations,
earned Surface Warfare designation,earned surface operations warfare qualification,navy,training,
completed ESWS board,passed comprehensive oral qualification board,navy,training,
stepped up,assumed additional responsibilities,general,leadership,
administrative action,formal administrative disciplinary process,general,admin,
purchase request,procurement authorization form,general,equipment,
LIMDU,limited duty status due to medical condition,navy,medical,
MRC,maintenance requirement card or procedure,navy,equipment,
shattered records,exceeded all historical performance records,general,performance,
draw,issued equipment from supply,general,equipment,
ORM assessment,operational risk management assessment,general,safety,
awarded Navy Achievement Medal,received organizational achievement award,navy,admin,
dual qualified,dual certified in two specialties,general,training,
zero defects,zero-error performance,general,performance,
rallied the team,motivated and aligned the team,general,leadership,
order of battle analysis,competitive landscape analysis / organizational assessment,general,intel,
conducted counseling,provided performance feedback and coaching,general,admin,
maintained hand receipts,maintained property accountability documentation,army,admin,
safety climate survey,workplace safety culture assessment,general,safety,
conducted pre-deployment training,delivered pre-project mobilization training,general,training,
installed and maintained communication systems,deployed and maintained telecommunications infrastructure,general,comms,
led the charge,spearheaded the initiative,general,leadership,
closed the gap,eliminated the performance deficit,general,performance,
top performer in the division,highest-rated employee in the department,general,leadership,
ready now for increased responsibility,immediately qualified for advancement,general,performance,
served as damage control petty officer,served as division safety coordinator,navy,safety,
port operations,maritime terminal operations,navy,operations,
Class II supplies,clothing and individual equipment,general,equipment,
PMC,partially mission capable or limited capability,general,equipment,
completed sea tour,completed operational/field assignment,navy,operations,
command investigation,internal investigation / workplace inquiry,general,legal,
IPAC,personnel administration center,usmc,admin,
water walker,exceptionally high performer,navy,performance,
information assurance,information security / data protection compliance,general,cyber,
frequency management,spectrum management / radio frequency coordination,general,comms,
conducted UCI preparation,prepared organization for compliance inspection,usaf,compliance,
CGSC graduate,completed intermediate leadership education,army,training,
served as first sergeant,served as senior enlisted advisor and personnel manager,usaf,leadership,
peak performance,optimal operational output,general,performance,
inventory reconciliation,physical count verification against records,general,equipment,
maintained operational tempo,sustained high-volume workflow / kept pace of operations,general,performance,
attended SGM Academy,completed executive-level leadership course,army,training,
retrograde of equipment,equipment return and redistribution,general,logistics,
field maintenance operations,on-site equipment maintenance / mobile repair operations,general,logistics,
attended WLC/BLC,completed first-line supervisor leadership course,army,training,
NIIN,national item identification number,general,equipment,
hearing conservation program,occupational hearing protection program,general,safety,
crushed it,delivered exceptional results,general,performance,
captain's mast,administrative disciplinary hearing,navy,admin,
combat engineering,construction and demolition engineering / field engineering,general,engineering,
action item,assigned task requiring completion,general,communication,
completed Army readiness training,completed organizational readiness certification,army,training,
received CSMC score of,received maintenance readiness score of,navy,compliance,
risk mitigation plan,risk reduction strategy,general,safety,
increased retention,improved employee retention,general,performance,
#1 of all E-6s,ranked #1 among all mid-level supervisors,navy,performance,
joint operations,multi-department collaborative operations,general,operations,
ready for tasking,prepared and available for any assignment,general,performance,
dialed in,precision-focused,general,performance,
issue and receipt,distribution and receiving operations,general,logistics,
battle update brief,operational status meeting,general,operations,
family readiness group,employee family support organization,army,admin,
maintained 100% accountability,maintained full inventory accuracy,general,performance,
quarterdeck watch officer,front desk operations supervisor,navy,leadership,
communications interoperability,cross-platform communications compatibility,general,comms,
hot standby,standby/ready state,navy,technical,
served as UTM,served as unit training manager,usaf,training,
gapped billet,unfilled position,navy,admin,
op-tempo,operational pace,general,operations,
fast-tracked through qualifications,completed certifications on an accelerated timeline,general,training,
claims processing,insurance claims processing / liability management,general,legal,
mission brief,project kickoff meeting,general,operations,
rapid deployment,rapid mobilization / quick-response deployment,general,operations,
conducted inventory management,performed inventory control and tracking,general,logistics,
drug interdiction,counter-narcotics law enforcement operations,general,operations,
maintenance float,spare equipment pool / backup inventory,general,logistics,
promote now,highest recommendation for immediate advancement,general,performance,
met all deadlines,achieved 100% on-time delivery,general,performance,
TLV,threshold limit value for chemical exposure,general,safety,
legal assistance operations,legal advisory services / employee legal support,general,legal,
completed PQS,completed professional qualification requirements,navy,training,
combat qualified,certified for combat/field operations,general,training,
detached from,departed/transferred from,navy,admin,
pathfinder qualified,completed advanced navigation and coordination training,army,training,
achieved Battle E,achieved top operational excellence award,navy,performance,
ergonomic assessment,workplace ergonomic evaluation,general,safety,
temporary additional duty,temporary assignment / short-term project assignment,general,admin,
morning brief,daily standup meeting,general,communication,
hand-carried the issue,personally escalated and resolved the issue,general,leadership,
served as company commander,served as operations director,army,leadership,
CSMP,current ship maintenance backlog,navy,safety,
served as squad leader,served as team supervisor,general,leadership,
officer of the deck,shift supervisor with full operational authority,navy,leadership,
#1 of all E-5s,ranked #1 among all front-line supervisors,navy,performance,
early promote,recommended for accelerated promotion,general,performance,
maintained common operating picture,maintained real-time operational dashboard / situational awareness,general,operations,
flight operations,aviation operations management,general,operations,
base camp construction,temporary facility construction / field site development,general,engineering,
outperformed the competition,outpaced comparable organizations,general,performance,
a proven warrior,a proven performer in high-stress environments,general,performance,
command climate survey,employee engagement and culture survey,general,communication,
supply chain management,end-to-end supply chain management,general,logistics,
NSN,national stock number for cataloged items,general,equipment,
delivered under fire,performed effectively under extreme pressure,general,performance,
took charge of,assumed leadership of,general,leadership,
saved the day,resolved critical issue under time pressure,general,performance,
AFSC trained,completed specialty career field training,usaf,training,
principal staff officer,senior department head / chief advisor,general,leadership,
bridged the gap between officers and enlisted,facilitated communication between leadership and staff,general,leadership,
MDMP,structured decision-making process,army,operations,
hot work,welding and cutting permit-required work,general,safety,
near miss,near-miss incident report,general,safety,
jump qualified,earned airborne operations certification,army,training,
minefield operations,hazardous area management / restricted zone operations,general,engineering,
obligation authority,spending authorization / budget commitment authority,general,financial,
cyber threat intelligence,cybersecurity threat analysis / threat intelligence,general,cyber,
basic training graduate,completed foundational workforce training,general,training,
submitted requisitions,submitted procurement/purchase requests,general,logistics,
IG complaint,formal grievance through oversight channel,general,communication,
ensured mission accomplishment,ensured all objectives were met,general,leadership,
BLUF,executive summary placed first,general,communication,
the embodiment of Navy core values,exemplifies organizational core values,navy,performance,
kept the momentum,sustained progress toward objectives,general,performance,
GPC,government purchase card or corporate procurement card,general,equipment,
exceeded unit standards,surpassed departmental benchmarks,general,performance,
collection management,data collection strategy and oversight,general,intel,
request mast,formal request to meet with senior leadership,usmc,communication,
awarded Air Force Achievement Medal,received organizational achievement award,usaf,admin,
EAWS qualified,earned enlisted aviation warfare specialist certification,navy,training,
stood down,decommissioned or closed,general,operations,
made the cut,met competitive selection criteria,general,performance,
combat ready,fully operational and certified,general,compliance,
signal plan,communications plan / network architecture,general,comms,
took ownership,accepted full accountability,general,leadership,
strengthened the chain of command,improved organizational communication and accountability,general,leadership,
change of command,leadership transition,general,operations,
transfer of authority,transfer of responsibility / handover of authority,general,admin,
served as acting commander,served as interim director,general,leadership,
a true deckplate leader,a hands-on leader who leads from the front,navy,leadership,
liberty,personal time off,navy,admin,
established a forward operating base,established a satellite office / remote operations center,general,operations,
extra duty,additional assigned duties as corrective action,general,admin,
SDS,safety data sheet,general,safety,
CIAL,component identification and authorization list,navy,equipment,
end item,final assembled product or system,general,equipment,
combat casualty care,emergency trauma care / field emergency medicine,general,medical,
warning order,advance notice of upcoming tasking,general,operations,
zero discrepancies,achieved 100% compliance,general,performance,
active shooter drill,active threat response training exercise,general,safety,
civil-military operations,public-private partnership operations,general,operations,
maintained arms room,managed secure property storage facility,army,technical,
post-deployment stand-down,post-assignment recovery period,general,operations,
JPME complete,completed joint professional military education,general,training,
depot-level maintenance,major overhaul at specialized repair facility,general,equipment,
SARP,substance abuse rehabilitation program,general,medical,
keeper of the keys,custodian of critical resources,general,leadership,
filled the gap,addressed critical staffing shortage,general,leadership,
utilities infrastructure,facility utilities management / building systems,general,engineering,
theater security cooperation,international partnership operations,general,operations,
ground safety officer,workplace safety officer,usaf,safety,
qualified personnel in,certified personnel in,general,training,
expert marksman,achieved expert-level proficiency certification,general,training,
warfare qualified,earned professional certification,navy,training,
base operations,facility operations management,general,operations,
mission essential,business-critical,general,performance,
broke the mold,introduced innovative approaches that redefined standards,general,performance,
intermediate-level maintenance,repair performed at regional maintenance center,general,equipment,
chop chain,review and approval routing,general,communication,
med down,unavailable for duty due to medical reason,general,medical,
restriction,limited privileges as disciplinary measure,general,admin,
field sanitation,environmental health and sanitation,general,medical,
put it on the radar,brought it to leadership awareness,general,communication,
battle buddy,accountability partner,army,leadership,
reenlistment eligible,eligible for contract renewal,general,admin,
among the best,recognized as a top performer,general,performance,
assigned to,assigned to,general,admin,
subject matter expert in,recognized authority in / deep expertise in,general,performance,
awarded Meritorious Service Medal,received executive-level achievement award,general,admin,
fill rate,staffing level percentage,general,admin,
formal counseling,formal performance documentation session,general,admin,
leave chit,time-off request form,navy,admin,
served as CFL,served as physical fitness program coordinator,navy,admin,
CENTCOM AOR,Middle East operational region,general,operations,
material condition,equipment and asset condition,navy,safety,
fire drill,fire emergency response drill,general,safety,
ETS,end of term of service date,army,admin,
fitness report,annual performance evaluation,usmc,admin,
medical readiness,health compliance and clearance status,general,medical,
airman of the quarter,employee of the quarter,usaf,leadership,
clean bill of health,passed all compliance reviews,general,performance,
CDB complete,completed career development board review,navy,training,
officer call,leadership-only meeting,general,communication,
port and starboard,alternating two-shift rotation,navy,operations,
downrange,in the operational area,general,operations,
executed change of command,completed leadership transition,general,leadership,
served as ADPE custodian,served as IT equipment custodian,usaf,technical,
CCC,command career counselor,navy,admin,
flight line operations,aircraft ramp operations / apron management,general,aviation,
best in fleet,top-performing unit in the organization,navy,performance,
equipment casualty,equipment failure/malfunction,navy,technical,
no findings,received zero audit findings,general,performance,
days underway,days of deployed operations,navy,operations,
completed NCOA,completed mid-level leadership development course,usaf,training,
reenlistment,contract renewal,general,admin,
reporting aboard,checking in at new assignment,navy,admin,
sustained exceptional performance,consistently delivered outstanding results,general,performance,
board certified,passed oral examination board,general,training,
outstanding rating,achieved the highest performance rating,general,performance,
in country,deployed to the region,general,operations,
above and beyond,exceeded all performance expectations,general,performance,
highest state of readiness,peak operational performance,general,performance,
joint and combined operations,multi-organizational and international operations,general,operations,
received Letter of Commendation,received formal written recognition from senior leadership,general,admin,
RFI,ready for issue or fully serviceable,general,equipment,
unfunded requirements list,unfunded budget request / supplemental funding request,general,financial,
earned 9-level,achieved superintendent-level certification,usaf,training,
guided junior personnel,mentored entry-level employees,general,leadership,
pre-deployment workup,pre-assignment preparation and training,general,operations,
supervised the training of,oversaw professional development for,general,leadership,
supported ATG assessment,supported external readiness assessment team,navy,compliance,
combined operations,multi-organization collaborative operations,general,operations,
submitted awards,submitted employee recognition nominations,army,admin,
passed INSURV,passed major regulatory compliance inspection,navy,compliance,
NSTM,Naval Ships Technical Manual / technical reference,navy,technical,
program objective memorandum,multi-year budget proposal / strategic financial plan,general,financial,
ORM,operational risk management assessment,navy,safety,
movement to contact,proactive engagement / outreach operations,general,operations,
surge,increased operational capacity,general,operations,
cost-benefit analysis,cost-benefit analysis / return on investment analysis,general,financial,
sustained operations,continuous operations / around-the-clock activities,general,operations,
medical readiness classification,employee health clearance status,general,medical,
earned information warfare designation,earned information operations warfare qualification,navy,training,
groomed for command,developed for senior leadership,general,leadership,
heads up,advance notification of upcoming issue,general,communication,
received Purple Heart,received combat injury recognition,general,admin,
OER,officer performance evaluation,army,admin,
sustainment operations,ongoing support and resupply operations,general,logistics,
school trained not yet qualified,completed coursework pending on-the-job certification,general,training,
served as OIC,served as officer-in-charge / program director,army,leadership,
FYI traffic,information-only distribution,general,communication,
completed deployment,completed extended field assignment,general,operations,
DD-214,certificate of release from employment,general,admin,
syllabus complete,completed required curriculum,general,training,
detaching,separating from current assignment,navy,admin,
safety violation,safety noncompliance finding,general,safety,
participated in COMPTUEX,participated in comprehensive operational training exercise,navy,training,
intelligence cycle,research and analysis lifecycle,general,intel,
survey,formal process for writing off damaged or lost equipment,general,equipment,
operational readiness,organizational preparedness,general,performance,
completed Warrior Leader Course,completed initial leadership development course,army,training,
weapons qualification,proficiency certification / skills verification,general,training,
dwell time,time between operational rotations,general,operations,
instilled discipline,established accountability and work standards,general,leadership,
tasker,assigned project or action item from leadership,general,communication,
PT standards,physical fitness standards,general,medical,
Halon system,fixed gas fire suppression system,navy,technical,
frocked to Chief,given acting senior management authority,navy,admin,
key leader engagement,executive stakeholder relationship management,general,leadership,
locked on,fully committed and focused,general,performance,
A school graduate,completed initial technical training,navy,training,
served as first sergeant,served as senior enlisted manager for 100-200 personnel,army,leadership,
set the example for others to follow,modeled professional behavior and performance,general,leadership,
class C mishap,severity level 3 incident with moderate impact,general,safety,
sortie generation,flight operations throughput / aircraft mission launch rate,general,aviation,
fragmentary order,amendment to existing plan,general,operations,
mission command,empowered leadership / decentralized decision-making,general,leadership,
battle staff,executive operations team / crisis management team,general,leadership,
pre-expend,pre-staged supplies for immediate use,general,equipment,
resource management officer,budget manager / financial controller,general,financial,
contracting officer representative,contract manager / vendor relationship manager,general,financial,
ensured training readiness,verified all staff met training requirements,general,training,
combat proven,validated through operational experience,general,performance,
cross-deck,transferred equipment between units,navy,equipment,
served as company gunnery sergeant,served as senior operations manager,usmc,leadership,
