id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at,job_family
,hand receipt,property accountability document,logistics,Logistics,,,,logistics
,Lt Col (Lieutenant Colonel),Senior Director,usaf,Rank,,,,operations
,squadron,operational unit of 100-300 employees,general,Unit Type,,,,operations
,TBS,The Basic School / officer training,general,Acronym,,,,operations
,SA (Seaman Apprentice),Junior Staff Member,uscg,Rank,,,,operations
,voucher,payment authorization / reimbursement document,financial,Financial,,,,finance
,PPBE,"planning, programming, budgeting, and execution / budget lifecycle process",financial,Financial,,,,finance
,overseas,international / foreign location,general,Term,,,,operations
,DANTES,Defense Activity for Non-Traditional Education Support,general,Acronym,,,,operations
,division,department / team / work group,general,Term,,,,operations
,SDO,Staff Duty Officer / on-call manager,general,Acronym,,,,operations
,PACE plan,primary alternate contingency emergency communication plan,general,planning,,,,operations
,counseled,provided performance guidance to,general,leadership,,,,leadership
,ETS,Expiration Term of Service / end of contract,general,Acronym,,,,operations
,recall,emergency callback / urgent summons,general,Term,,,,operations
,PWS,performance work statement / deliverables specification,logistics,Acquisition,,,,operations
,NCOIC,Non-Commissioned Officer in Charge / shift supervisor,general,Acronym,,,,operations
,PMO,Provost Marshal Office / military police HQ,general,Acronym,,,,operations
,UIC,Unit Identification Code,general,Acronym,,,,operations
,discharge review,employment separation appeal,legal,Legal,,,,legal
,1LT (First Lieutenant),Manager,army,Rank,,,,operations
,NMC,not mission capable / non-operational / down for maintenance,aviation,Aviation,,,,operations
,LCDR (Lieutenant Commander),Director / Senior Department Head,navy,Rank,,,,operations
,LPO,team lead,navy,leadership,Served as LPO for 15 personnel,Served as team lead for 15 personnel,,leadership
,EP,Top Performer / Early Promote,navy,evaluation,,,,operations
,dental readiness,dental fitness status / oral health compliance,medical,Medical,,,,medical
,in the fleet,in field operations / working,general,Term,,,,operations
,A school,initial technical training,navy,training,,,,leadership
,orders,assignment notification / transfer paperwork,general,Term,,,,operations
,NKO,Navy Knowledge Online / e-learning platform,general,Acronym,,,,operations
,page 2,emergency contact and dependency record,personnel,Personnel,,,,operations
,combat medic,emergency medical technician / field paramedic,medical,Medical,,,,medical
,FOC,full operating capability / fully operational status,cyber,Cyber,,,,cyber
,administrative remarks,official personnel notes / employee file entries,personnel,Personnel,,,,operations
,kit,equipment / tools / supplies,general,Term,,,,operations
,stand down,pause operations / rest period,general,Term,,,,operations
,VA,Veterans Affairs / veterans services,general,Acronym,,,,operations
,USERRA,Uniformed Services Employment and Reemployment Rights Act,general,Acronym,,,,operations
,SN (Seaman),Staff Member,uscg,Rank,,,,operations
,2d Lt (Second Lieutenant),Junior Manager,usaf,Rank,,,,operations
,assigned strength,current headcount / actual staffing,personnel,Personnel,,,,operations
,combat ready,fully operational,general,operations,,,,operations
,MISO,military information support operations / strategic messaging,general,Special Operations,,,,operations
,deployment health,occupational health screening / fitness-for-duty assessment,medical,Medical,,,,medical
,detailing,assignment management / personnel placement,personnel,Personnel,,,,operations
,CINC,Commander in Chief,general,Acronym,,,,operations
,ship,vessel / facility / organization,general,Term,,,,operations
,promotion,advancement / career progression,general,Term,,,,operations
,detail,temporary assignment / special project,general,Term,,,,operations
,IRR,Individual Ready Reserve,general,Acronym,,,,operations
,CONUS,domestic operations,general,operations,,,,operations
,RDC,Recruit Division Commander / drill instructor,general,Acronym,,,,operations
,FRG,Family Readiness Group,general,Acronym,,,,operations
,UW,unconventional warfare / irregular warfare,general,Special Operations,,,,operations
,forward deployed,on-site at client location / field office,general,Term,,,,operations
,galley,dining facility / cafeteria,navy,general,,,,operations
,BAH,Basic Allowance for Housing / housing stipend,general,Acronym,,,,operations
,COR,Contracting Officer Representative,general,Acronym,,,,operations
,dead drop,concealed exchange point,intelligence,Intelligence,,,,intelligence
,CMR,Consolidated Memorandum Receipt / inventory document,general,Acronym,,,,operations
,open source,publicly available information,intelligence,Intelligence,,,,intelligence
,command climate,organizational culture / work environment,general,Term,,,,operations
,hot wash,immediate after-action discussion / quick debrief,general,Term,,,,operations
,secure,finish / complete / lock up,general,Term,,,,operations
,S1,Personnel/Admin section / HR department,general,Acronym,,,,operations
,FORSCOM,Forces Command,general,Acronym,,,,operations
,MSgt (Master Sergeant),Manager,usaf,Rank,,,,operations
,Role 1,first responder care / point-of-injury treatment,medical,Medical,,,,medical
,JPAS,Joint Personnel Adjudication System,general,Acronym,,,,operations
,AIT,Advanced Individual Training / technical certification program,general,Acronym,,,,operations
,SECDEF,Secretary of Defense,general,Acronym,,,,operations
,MAJ (Major),Director,army,Rank,,,,operations
,NATO,North Atlantic Treaty Organization,general,Acronym,,,,operations
,DTS,travel management system,general,logistics,,,,logistics
,inspector general,internal auditor / compliance officer,general,Term,,,,operations
,shipmate,colleague / coworker,navy,general,,,,operations
,overhead,ceiling,navy,general,,,,operations
,vulnerability assessment,security testing / penetration testing,cyber,Cyber,,,,cyber
,SNCO,Staff Non-Commissioned Officer / senior supervisor,general,Acronym,,,,operations
,relieved,removed from position / terminated,general,Term,,,,operations
,advancement,promotion,general,Term,,,,operations
,rating,job specialty / technical field,general,Term,,,,operations
,TDY,Temporary Duty / business travel,general,Acronym,,,,operations
,smoking lamp,break time / authorized break,general,Term,,,,operations
,GSA,General Services Administration,general,Acronym,,,,operations
,HF/UHF/VHF radio,radio communications systems,general,Equipment,,,,operations
,cadre,training staff / leadership team,general,Term,,,,operations
,fund cite,budget account number / appropriation reference,financial,Financial,,,,finance
,staff,support personnel / administrative team,general,Term,,,,operations
,SECNAV,Secretary of the Navy,general,Acronym,,,,operations
,medic,emergency medical technician / field healthcare provider,medical,Medical,,,,medical
,SgtMaj (Sergeant Major),Senior Director,usmc,Rank,,,,operations
,obstacle construction,barrier installation,engineering,Engineering,,,,operations
,station,assigned location / work position,general,Term,,,,operations
,cost center,budget unit / organizational spending account,financial,Financial,,,,finance
,S2,Intelligence section / analysis department,general,Acronym,,,,operations
,veteran,former military employee,general,Term,,,,operations
,CSM (Command Sergeant Major),Senior Director,army,Rank,,,,operations
,platoon,team of 30-50 / large work group,general,Term,,,,operations
,POA&M,Plan of Action and Milestones / project timeline,general,Acronym,,,,operations
,sweepers,routine cleaning,navy,operations,,,,operations
,DRMO,surplus property disposal,general,technical,,,,operations
,sortie,mission,general,operations,,,,operations
,FTX,field training exercise / hands-on training event,general,Acronym,,,,operations
,NAVFAC,Naval Facilities Engineering Systems Command / Navy construction agency,engineering,Engineering,,,,operations
,POC,point of contact,general,Acronym,,,,operations
,headquarters,corporate office / main office,general,Term,,,,operations
,LZ,landing zone,general,Acronym,,,,operations
,FOIA,Freedom of Information Act request / public records request,legal,Legal,,,,legal
,bandwidth,capacity / available resources,general,Term,,,,operations
,compartmented,restricted access / segmented information,intelligence,Intelligence,,,,intelligence
,AOR,area of responsibility / managed territory,general,Acronym,,,,operations
,mission essential,critical function / required capability,general,Term,,,,operations
,TEMPEST,emissions security / electronic emanations protection,intelligence,Intelligence,,,,intelligence
,lifer,career employee / long-term staff,general,Term,,,,operations
,standing watch,on-call duty / shift coverage,general,Term,,,,operations
,case officer,operations manager / field coordinator,intelligence,Intelligence,,,,intelligence
,claims,damage or injury compensation requests,legal,Legal,,,,legal
,GySgt (Gunnery Sergeant),Manager,usmc,Rank,,,,operations
,NCO,Non-Commissioned Officer / supervisor,general,Acronym,,,,operations
,NVG,night vision equipment / low-light optics,general,Equipment,,,,operations
,at sea,deployed / offshore operations,general,Term,,,,operations
,battle rhythm,recurring meeting schedule / operational cadence,general,operations,,,,operations
,NEC,specialty qualification,navy,admin,,,,admin
,BAS,Basic Allowance for Subsistence / meal allowance,general,Acronym,,,,operations
,good to go,ready / approved / cleared to proceed,general,Term,,,,operations
,surplus,excess property / items beyond requirements,logistics,Logistics,,,,logistics
,ATO,authority to operate / security certification to deploy,cyber,Cyber,,,,cyber
,TACP,tactical air control party / close air support coordinator,general,Special Operations,,,,operations
,theater hospital,forward surgical hospital / field hospital,medical,Medical,,,,medical
,hot refuel,refueling with engines running,aviation,Aviation,,,,operations
,AFSC,Air Force Specialty Code / job classification,general,Acronym,,,,operations
,QUAL,qualification / certification,general,Acronym,,,,operations
,ISIC,Immediate Superior in Command,general,Acronym,,,,operations
,hazmat,hazardous materials / dangerous goods,safety,Engineering,,,,operations
,HVAC,"heating, ventilation, and air conditioning",engineering,Engineering,,,,operations
,bench stock,consumable supplies / expendable items on hand,logistics,Logistics,,,,logistics
,hangar queen,chronically non-operational equipment,aviation,Aviation,,,,operations
,non-rate,entry-level / undesignated,general,Term,,,,operations
,hump,march / endurance exercise,general,Term,,,,operations
,HQ,headquarters / corporate office,general,Acronym,,,,operations
,IPR,in-progress review / status update meeting,general,Acronym,,,,operations
,APFT,Army Physical Fitness Test / physical readiness assessment,general,Acronym,,,,operations
,ADCON,administrative control,general,Acronym,,,,operations
,duty station,work location / assigned office,general,Term,,,,operations
,SAP,special access program / restricted-access initiative,intelligence,Intelligence,,,,intelligence
,C school,advanced technical training,navy,training,,,,leadership
,NSW,Naval Special Warfare / Navy special operations,general,Special Operations,,,,operations
,plan of the day,daily schedule / agenda,general,Term,,,,operations
,reserve,part-time / on-call,general,Term,,,,operations
,MOU,Memorandum of Understanding / formal agreement,general,Acronym,,,,operations
,patrol,monitoring / surveillance / rounds,general,Term,,,,operations
,SRB,Selective Reenlistment Bonus,general,Acronym,,,,operations
,CASREP,critical equipment failure report,navy,technical,,,,operations
,Col (Colonel),Executive Director / VP,usmc,Rank,,,,operations
,field grade,senior management,general,Term,,,,operations
,summary court martial,minor judicial proceeding / abbreviated military trial,legal,Legal,,,,legal
,pier,dock / facility entrance,general,Term,,,,operations
,detailer,career counselor / HR placement specialist,general,Term,,,,operations
,NMCI,Navy Marine Corps Intranet,general,Acronym,,,,operations
,TAD,Temporary Additional Duty / temporary assignment,general,Acronym,,,,operations
,line,operational / revenue-generating,general,Term,,,,operations
,Cpl (Corporal),Team Leader,usmc,Rank,,,,operations
,reenlistment,contract renewal / retention,general,Term,,,,operations
,SARC,Sexual Assault Response Coordinator,general,Acronym,,,,operations
,COMSEC,communications security,general,technical,,,,operations
,source handling,confidential informant management,intelligence,Intelligence,,,,intelligence
,FAP,Family Advocacy Program,general,Acronym,,,,operations
,CAPT (Captain),Executive Director / VP,navy,Rank,,,,operations
,in port,at home office / not traveling,general,Term,,,,operations
,collateral duty,additional responsibility / secondary assignment,general,Term,,,,operations
,AO,area of operations / assigned region,general,Acronym,,,,operations
,messing,dining,navy,general,,,,operations
,scuttlebutt,informal information / water cooler talk,navy,general,,,,operations
,LTJG (Lieutenant Junior Grade),Manager / Project Lead,navy,Rank,,,,operations
,unit,team / department / organizational element,general,Term,,,,operations
,blue jacket,junior enlisted / entry-level employee,general,Term,,,,operations
,QC,Quality Control,general,Acronym,,,,operations
,fleet,enterprise operations unit,general,Unit Type,,,,operations
,BOS,base operating support / facility operations,engineering,Engineering,,,,operations
,POV,privately owned vehicle,general,Acronym,,,,operations
,CDC,Career Development Course / professional development program,general,Acronym,,,,operations
,cat shot,catapult launch / assisted takeoff,aviation,Aviation,,,,operations
,CMC,Senior Enlisted Advisor,navy,leadership,,,,leadership
,CPO,Chief Petty Officer,general,Acronym,,,,operations
,arms room,secure storage facility,army,technical,,,,operations
,COTR,contracting officer technical representative / contract monitor,logistics,Acquisition,,,,operations
,ESR,enlisted service record / employment history file,personnel,Personnel,,,,operations
,squad leader,team supervisor,general,leadership,,,,leadership
,rear detachment,home office support / HQ staff,general,Term,,,,operations
,custody,possession and accountability,logistics,Logistics,,,,logistics
,UCMJ,Uniform Code of Military Justice / military legal code,legal,Legal,,,,legal
,end strength,headcount / staffing level,general,Term,,,,operations
,left seat/right seat,job shadowing / transition ride-along,general,Term,,,,operations
,PT,physical training / fitness program,general,Acronym,,,,operations
,effective date,start date,general,Term,,,,operations
,dependents,family members,general,Term,,,,operations
,TMO,Traffic Management Office / shipping coordinator,general,Acronym,,,,operations
,ORM,operational risk management,general,technical,,,,operations
,chow,meals / cafeteria,general,Term,,,,operations
,fill rate,staffing percentage / position occupancy rate,personnel,Personnel,,,,operations
,CASEVAC,casualty evacuation / emergency patient transport,medical,Medical,,,,medical
,ENS (Ensign),Junior Manager / Associate,navy,Rank,,,,operations
,OCONUS,outside continental United States / overseas,general,Acronym,,,,operations
,qualification,certification / credential,general,Term,,,,operations
,on station,at assigned location / on post,general,Term,,,,operations
,latrine,restroom,general,Term,,,,operations
,naval message,official communication / formal memo,general,Term,,,,operations
,rated,qualified / certified,general,training,,,,leadership
,CAGE code,commercial and government entity code / vendor identification number,logistics,Logistics,,,,logistics
,CSMP,maintenance backlog tracking,navy,technical,,,,operations
,OPSEC,operational security / information security,general,Acronym,,,,operations
,IG,Inspector General / compliance auditor,general,Acronym,,,,operations
,watchstander,shift worker / on-call personnel,general,Term,,,,operations
,pay grade,compensation level / salary band,general,Term,,,,operations
,A1C (Airman First Class),Staff Member,usaf,Rank,,,,operations
,MOS qualified,professionally certified in specialty,army,training,,,,leadership
,2LT (Second Lieutenant),Junior Manager,army,Rank,,,,operations
,regiment,"business unit of 1,000-3,000 employees",general,Unit Type,,,,operations
,SSG (Staff Sergeant),Senior Supervisor,army,Rank,,,,operations
,primary duties,core responsibilities,general,Term,,,,operations
,cross-deck,inter-departmental transfer / rotation,general,Term,,,,operations
,field radio,portable communications equipment,general,Equipment,,,,operations
,FAR,Federal Acquisition Regulation / government procurement rules,logistics,Acquisition,,,,operations
,onboard strength,current staffing level,general,admin,,,,admin
,inter-service,cross-functional / inter-departmental,general,Term,,,,operations
,civil affairs,community engagement / civil-military liaison,general,Special Operations,,,,operations
,precept,board guidance letter / selection criteria directive,personnel,Personnel,,,,operations
,INFOSEC,information security,general,technical,,,,operations
,bridging,cross-training / transitional training,general,Term,,,,operations
,near miss,close call / near-accident incident,safety,Safety,,,,operations
,ladder,stairs / career progression path,general,Term,,,,operations
,barracks,company housing / dormitory,general,Term,,,,operations
,SOC,security operations center / cybersecurity monitoring center,cyber,Cyber,,,,cyber
,page 4,service history and qualifications record,personnel,Personnel,,,,operations
,EOD,Explosive Ordnance Disposal / bomb disposal,general,Acronym,,,,operations
,blue team,defensive security team,cyber,Cyber,,,,cyber
,LT (Lieutenant),Senior Manager / Department Head,navy,Rank,,,,operations
,head,restroom,general,Term,,,,operations
,firm fixed price,set-price contract / non-adjustable cost agreement,logistics,Acquisition,,,,operations
,homeport,home office / primary work location,general,Term,,,,operations
,preventive maintenance,scheduled maintenance / proactive equipment care,engineering,Engineering,,,,operations
,deploy,travel for work / field assignment,general,Term,,,,operations
,garrison,permanent facility / home office,general,Term,,,,operations
,uniform,dress code / professional attire,general,Term,,,,operations
,SGT (Sergeant),Team Lead / Supervisor,army,Rank,,,,operations
,superior,supervisor / manager,general,Term,,,,operations
,IDIQ,"indefinite delivery, indefinite quantity / flexible-scope contract",logistics,Acquisition,,,,operations
,maintenance,equipment upkeep / preventive care,general,Term,,,,operations
,organizational level maintenance,unit-level routine maintenance,aviation,Aviation,,,,operations
,service record,personnel file / employee record,general,Term,,,,operations
,SIEM,security information and event management / security log analysis platform,cyber,Cyber,,,,cyber
,DMZ,demilitarized zone / network buffer zone,cyber,Cyber,,,,cyber
,milestone,project checkpoint / achievement marker,logistics,Acquisition,,,,operations
,retention,employee retention / reenlistment,general,Term,,,,operations
,HM,Hospital Corpsman / medical technician,general,Acronym,,,,operations
,CMDCM,Senior Enlisted Advisor,navy,leadership,,,,leadership
,CDRL,contract data requirements list / required deliverables schedule,logistics,Acquisition,,,,operations
,ELINT,electronic intelligence / radar and signal analysis,intelligence,Intelligence,,,,intelligence
,manning,staffing / headcount,general,Term,,,,operations
,formation,coordinated group movement,aviation,Aviation,,,,operations
,1stLt (First Lieutenant),Manager,usmc,Rank,,,,operations
,say again,please repeat,general,communication,,,,operations
,ROE,Rules of Engagement / operational guidelines,general,Acronym,,,,operations
,GCPC,government purchase card,general,logistics,,,,logistics
,junior enlisted,entry-level staff,general,Term,,,,operations
,1stSgt (First Sergeant),Operations Manager,usmc,Rank,,,,operations
,DCO,defensive cyber operations / network defense operations,cyber,Cyber,,,,cyber
,NSN,National Stock Number / part number,general,Acronym,,,,operations
,seniority,time in position / tenure,general,Term,,,,operations
,DFARS,Defense Federal Acquisition Regulation Supplement,logistics,Acquisition,,,,operations
,NCOES,NCO professional development education,army,training,,,,leadership
,order,directive / instruction / policy,general,Term,,,,operations
,MOS,job specialty code,army,admin,,,,admin
,watch floor,24/7 operations center / monitoring center,intelligence,Intelligence,,,,intelligence
,horizontal construction,road and earthwork construction,engineering,Engineering,,,,operations
,deployment,extended business travel / overseas assignment,general,Term,,,,operations
,ACAS,automated compliance and security scanning tool,cyber,Cyber,,,,cyber
,PO3 (Petty Officer Third Class),Team Member / Technician,navy,Rank,,,,operations
,grounding,equipment removed from service / operational suspension,aviation,Aviation,,,,operations
,billets authorized,headcount / FTE positions,general,admin,,,,admin
,flag officer,executive / C-suite,general,Term,,,,operations
,DLA,Defense Logistics Agency,general,Acronym,,,,operations
,purple team,integrated security assessment team,cyber,Cyber,,,,cyber
,HUMINT,human intelligence / interpersonal information gathering,intelligence,Intelligence,,,,intelligence
,high speed,high performer / top talent,general,Term,,,,operations
,SMSgt,senior master sergeant / director,usaf,leadership,,,,leadership
,travel claim,expense report / travel reimbursement request,financial,Financial,,,,finance
,COB,close of business,general,Acronym,,,,operations
,trained,developed and instructed,general,leadership,,,,leadership
,EW systems,electronic warfare / signals systems,general,Equipment,,,,operations
,PO2 (Petty Officer Second Class),Senior Technician / Team Lead,navy,Rank,,,,operations
,separation,termination / end of employment,general,Term,,,,operations
,JTR,Joint Travel Regulations,general,Acronym,,,,operations
,boots on ground,on-site personnel / field staff,general,Term,,,,operations
,Amn (Airman),Junior Staff Member,usaf,Rank,,,,operations
,stovepipe,siloed / working independently without coordination,general,Term,,,,operations
,PFT,Physical Fitness Test,general,Acronym,,,,operations
,CSEL,Senior Enlisted Leader Program,navy,leadership,,,,leadership
,SOP,standard operating procedure,general,admin,,,,admin
,FOD,foreign object debris / workplace debris hazard,aviation,Aviation,,,,operations
,broadening assignment,rotational assignment / developmental role,general,Term,,,,operations
,DUSTWUN,duty status whereabouts unknown,general,Acronym,,,,operations
,INSURV,Board of Inspection and Survey,general,Acronym,,,,operations
,sub-hand receipt,delegated property accountability,logistics,Logistics,,,,logistics
,THA,traffic hazard analysis / workplace hazard assessment,safety,Safety,,,,operations
,walk-in,unsolicited source / volunteer informant,intelligence,Intelligence,,,,intelligence
,corps,"enterprise division of 20,000-45,000 employees",general,Unit Type,,,,operations
,damage control equipment,emergency response equipment / fire suppression systems,general,Equipment,,,,operations
,NAVADMIN,organizational directive,navy,admin,,,,admin
,target development,subject research and prioritization,intelligence,Intelligence,,,,intelligence
,GMT,mandatory compliance training,navy,training,,,,leadership
,space,room / area / workspace,general,Term,,,,operations
,line of duty,work-related determination / on-duty status finding,legal,Legal,,,,legal
,expendable,single-use / consumable,logistics,Logistics,,,,logistics
,CAC,Common Access Card / security credential,general,Acronym,,,,operations
,JAG,Judge Advocate General / legal department,general,Acronym,,,,operations
,DCA,damage control assistant / safety manager,navy,leadership,,,,leadership
,permanent party,permanent staff,general,admin,,,,admin
,Pvt (Private),Entry-Level Staff,usmc,Rank,,,,operations
,SCIF,Sensitive Compartmented Information Facility / secure facility,general,Acronym,,,,operations
,hatch,door,navy,general,,,,operations
,component,division / branch / department,general,Term,,,,operations
,WIA,wounded in action,general,Acronym,,,,operations
,WO,Warrant Officer / technical expert,general,Acronym,,,,operations
,COMINT,communications intelligence / intercepted communications analysis,intelligence,Intelligence,,,,intelligence
,HAYSTACK,logistics information system / parts identification database,logistics,Logistics,,,,logistics
,rack,bed / bunk,general,Term,,,,operations
,independent government estimate,internal cost projection,logistics,Acquisition,,,,operations
,TS/SCI,Top Secret/SCI security clearance,general,technical,,,,operations
,threat hunting,proactive threat detection / advanced threat search,cyber,Cyber,,,,cyber
,SERE,"survival, evasion, resistance, escape / captivity survival training",general,Special Operations,,,,operations
,BRAC,Base Realignment and Closure,general,Acronym,,,,operations
,pre-brief,pre-event planning meeting,general,communication,,,,operations
,quarters,housing / living space,general,Term,,,,operations
,muster report,attendance report,navy,admin,,,,admin
,ROTC,Reserve Officers' Training Corps,general,Acronym,,,,operations
,SSgt (Staff Sergeant),Senior Supervisor,usmc,Rank,,,,operations
,red team,offensive security testing team,cyber,Cyber,,,,cyber
,CBRN equipment,hazardous materials handling equipment,general,Equipment,,,,operations
,gear adrift,unsecured/disorganized equipment,navy,operations,,,,operations
,tradecraft,operational techniques / professional methodology,intelligence,Intelligence,,,,intelligence
,COP,combat outpost / remote site,army,operations,,,,operations
,SEAL,"Sea, Air, and Land operator / Navy special operator",general,Special Operations,,,,operations
,ASL,authorized stockage list / approved inventory catalog,logistics,Logistics,,,,logistics
,PV2 (Private Second Class),Junior Staff Member,army,Rank,,,,operations
,S6,Communications section / IT department,general,Acronym,,,,operations
,intrusion detection,unauthorized access monitoring,cyber,Cyber,,,,cyber
,TPOC,technical point of contact / subject matter liaison,logistics,Acquisition,,,,operations
,personnel recovery,search and rescue / missing person recovery,general,Special Operations,,,,operations
,proficiency,skill level / competency,general,Term,,,,operations
,fit for duty,medically cleared for work,medical,Medical,,,,medical
,field fortification,defensive structure construction,engineering,Engineering,,,,operations
,SFC (Sergeant First Class),Manager / Operations Supervisor,army,Rank,,,,operations
,SOCOM,Special Operations Command / elite forces headquarters,general,Special Operations,,,,operations
,flight chief,section manager,usaf,leadership,,,,leadership
,duty,shift / on-call responsibility,general,Term,,,,operations
,forensics,digital investigation / evidence analysis,cyber,Cyber,,,,cyber
,TECHINT,technical intelligence / technology assessment,intelligence,Intelligence,,,,intelligence
,JTAC,joint terminal attack controller / air strike director,general,Special Operations,,,,operations
,information operations,information warfare / influence campaign management,general,Special Operations,,,,operations
,theater,region / operational area,general,Term,,,,operations
,JQR,Job Qualification Requirements,general,Acronym,,,,operations
,shelf life,expiration period / usable lifespan,logistics,Logistics,,,,logistics
,PCS,organizational transfer,general,operations,,,,operations
,MIA,missing in action,general,Acronym,,,,operations
,XO,Executive Officer / deputy director / second-in-command,general,Acronym,,,,operations
,LCPO,Lead Chief Petty Officer / department supervisor,general,Acronym,,,,operations
,medical hold,extended medical observation / medical administrative hold,medical,Medical,,,,medical
,SCPO (Senior Chief Petty Officer),Senior Manager,uscg,Rank,,,,operations
,FITREP,fitness report / officer performance review,general,Acronym,,,,operations
,high-speed,high performer / exceptional employee,general,Term,,,,operations
,FID,foreign internal defense / partner nation military advising,general,Special Operations,,,,operations
,tech school,technical training school,usaf,training,,,,leadership
,shore duty,office-based assignment / non-deployable role,general,Term,,,,operations
,AT,annual training,general,Acronym,,,,operations
,MARSOC,Marine Forces Special Operations Command,general,Special Operations,,,,operations
,MCO,Marine Corps Order / policy directive,general,Acronym,,,,operations
,starboard,right side,navy,general,,,,operations
,inport,at home location,navy,operations,,,,operations
,power of attorney,legal authorization document,legal,Legal,,,,legal
,AFI,policy instruction,usaf,admin,,,,admin
,bolter,missed approach / failed landing attempt,aviation,Aviation,,,,operations
,force protection,facility security / workplace safety,general,Term,,,,operations
,branch manager,career assignment officer,army,admin,,,,admin
,tracking,understood / following along,general,Term,,,,operations
,material condition,equipment status / asset readiness,general,Term,,,,operations
,CMEO,equal opportunity program manager,navy,admin,,,,admin
,3M,Maintenance Management Program,navy,technical,Managed 3M program for 200+ equipment items,Managed preventive maintenance program for 200+ equipment items valued at $5M,,operations
,strike group,combined operations task force,general,Unit Type,,,,operations
,PQS,Personnel Qualification Standards / certification requirements,general,Acronym,,,,operations
,workup,preparation / training cycle,general,Term,,,,operations
,TTPs,tactics techniques and procedures / best practices,general,operations,,,,operations
,non-expendable,accountable property / tracked assets,logistics,Logistics,,,,logistics
,NAF,Non-Appropriated Fund,general,Acronym,,,,operations
,ashore,land-based / office environment,general,Term,,,,operations
,endstate,desired outcome / final objective,general,Term,,,,operations
,taps,end of day / lights out,general,Term,,,,operations
,moored,docked / stationary,navy,operations,,,,operations
,GCSS,Global Combat Support System,general,Acronym,,,,operations
,post,position / station / assignment,general,Term,,,,operations
,SIQ,Sick in Quarters / medical leave,general,Acronym,,,,operations
,rifle range,training facility / shooting range,general,Term,,,,operations
,JIOC,joint intelligence operations center / combined analysis facility,intelligence,Intelligence,,,,intelligence
,SOY,Employee of the Year,navy,awards,,,,operations
,port call,scheduled stop / client visit,general,Term,,,,operations
,debrief,post-event review / lessons learned,general,communication,,,,operations
,cover down,take responsibility for / fill the gap,general,Term,,,,operations
,MCPO (Master Chief Petty Officer),Director / Senior Director,navy,Rank,,,,operations
,surge,temporary increase in effort / rapid scale-up,general,Term,,,,operations
,retrograde,return shipment / reverse logistics,logistics,Logistics,,,,logistics
,DCAS,Defense Contract Audit Services,general,Acronym,,,,operations
,SME,subject matter expert,general,Acronym,,,,operations
,NCOER,NCO Evaluation Report / performance review,general,Acronym,,,,operations
,gapped billet,vacant position,general,admin,,,,admin
,sand table,tabletop exercise / scenario walkthrough,general,Term,,,,operations
,task order,project-specific work authorization,logistics,Acquisition,,,,operations
,terminal guidance,precision targeting direction,general,Special Operations,,,,operations
,EVAL,performance evaluation / annual review,general,Acronym,,,,operations
,statutory board,legally mandated review panel,personnel,Personnel,,,,operations
,SSE,sensitive site exploitation / evidence collection at target site,general,Special Operations,,,,operations
,sentencing,penalty determination / punishment assignment,legal,Legal,,,,legal
,2ndLt (Second Lieutenant),Junior Manager,usmc,Rank,,,,operations
,award fee,performance incentive payment,logistics,Acquisition,,,,operations
