id,military_phrase,civilian_phrase,branch,category,context_notes,created_at,job_family
,shift work,rotating shift schedule management,general,Operations,,,operations
,led from the front,led by example in high-pressure situations,general,leadership,,,leadership
,received NJP,received formal disciplinary action,general,admin,,,admin
,administrative law,regulatory compliance / administrative policy,general,legal,,,legal
,nozzleman,primary fire suppression operator,navy,operations,,,operations
,reported aboard,joined the organization,navy,admin,,,admin
,served as khaki mentor,served as leadership mentor for management candidates,navy,leadership,,,leadership
,awarded restriction,received workplace restriction as discipline,general,admin,,,admin
,completed SWOS training,completed surface warfare officer training,navy,training,,,leadership
,enlisted record brief,employee profile / personnel summary,general,admin,,,admin
,served as departmental 3M assistant,served as department maintenance manager,navy,technical,,,operations
,consistently exceeded expectations,routinely surpassed performance goals,general,Performance,,,operations
,NEC holder,holds specialized professional credential,navy,Training,,,leadership
,completed shore tour,completed headquarters/support assignment,navy,operations,,,operations
,under budget,completed under budget,general,performance,,,operations
,completed ACSC,completed intermediate-level officer professional school,usaf,training,,,leadership
,respiratory protection program,respiratory safety and equipment program,general,Safety,,,operations
,JHA,job hazard analysis,general,Safety,,,operations
,battle E award,organizational excellence award,navy,Performance,,,operations
,served as squad leader,supervised 13-person operational team,usmc,leadership,,,leadership
,processed evals,completed employee performance evaluations,navy,admin,,,admin
,welcome aboard package,new hire onboarding materials,navy,Admin,,,admin
,earned Pathfinder qualification,completed advanced navigation and air traffic certification,army,training,,,leadership
,air assault qualified,completed air assault operations training,army,Training,,,leadership
,warfare qualified,specialty operations certified,general,training,,,leadership
,man overboard drill,personnel recovery exercise,navy,training,,,leadership
,hand-picked for,selected from competitive pool for,general,leadership,,,leadership
,completed Sergeants Course,completed team leader development course,usmc,training,,,leadership
,increased efficiency,improved operational efficiency,general,performance,,,operations
,C school graduate,completed advanced technical training,navy,Training,,,leadership
,held the line,maintained standards under pressure,general,Leadership,,,leadership
,fleet-up,promoted into next-level role / advanced within the team,general,training,,,leadership
,earned Distinguished Graduate,graduated at top of class,usaf,performance,,,operations
,vertical construction,building construction / structural construction,general,engineering,,,operations
,under instruction,in training,general,Training,,,leadership
,separation date,employment end date,general,Admin,,,admin
,served as battle captain,served as operations shift lead,general,leadership,,,leadership
,selected for Chief Petty Officer,selected for senior management promotion,navy,performance,,,operations
,cannibalize,sourced parts from another unit or system,general,Equipment,,,operations
,medical surveillance,occupational health monitoring / health screening,general,medical,,,medical
,passed ATG assessment,passed external readiness assessment,navy,compliance,,,admin
,served as LCPO,served as department supervisor,navy,leadership,,,leadership
,EPR,enlisted performance report,usaf,Admin,,,admin
,commanders intent,leadership vision and desired end state,general,Communication,,,operations
,shelf life item,item with expiration-based inventory management,general,Equipment,,,operations
,served as DCPO,served as safety/damage control petty officer,navy,leadership,,,leadership
,lessons learned,post-project improvement findings,general,Operations,,,operations
,relief in place,personnel replacement and handover,general,Operations,,,operations
,knows no boundaries,demonstrates exceptional initiative,general,Leadership,,,leadership
,APFT,physical fitness test,army,Medical,,,medical
,NEC qualified,earned additional specialty certification code,navy,training,,,leadership
,liaison with,coordinated with,general,communication,,,operations
,qualified as EOOW,certified as engineering operations shift supervisor,navy,operations,,,operations
,train the trainer certified,certified as instructor of instructors,general,Training,,,leadership
,AOR,assigned area of responsibility,general,Operations,,,operations
,passed with zero findings,achieved full compliance with no deficiencies,general,performance,,,operations
,for your SA,for your situational awareness,general,Communication,,,operations
,secured space,restricted access facility,general,security,,,operations
,received Joint Service Commendation Medal,received joint organization superior performance award,general,admin,,,admin
,force protection,personnel and facility security,general,Operations,,,operations
,integrated operations,multi-organization coordinated operations,general,operations,,,operations
,earned Safety S,earned safety excellence recognition,navy,safety,,,operations
,watch rotation,shift rotation schedule,navy,Operations,,,operations
,earned Surface Warfare designation,earned surface operations warfare qualification,navy,training,,,leadership
,completed ESWS board,passed comprehensive oral qualification board,navy,training,,,leadership
,stepped up,assumed additional responsibilities,general,Leadership,,,leadership
,administrative action,formal administrative disciplinary process,general,admin,,,admin
,purchase request,procurement authorization form,general,Equipment,,,operations
,LIMDU,limited duty status due to medical condition,navy,Medical,,,medical
,MRC,maintenance requirement card or procedure,navy,Equipment,,,operations
,shattered records,exceeded all historical performance records,general,Performance,,,operations
,draw,issued equipment from supply,general,Equipment,,,operations
,ORM assessment,operational risk management assessment,general,safety,,,operations
,awarded Navy Achievement Medal,received organizational achievement award,navy,admin,,,admin
,dual qualified,dual certified in two specialties,general,training,,,leadership
,zero defects,zero-error performance,general,Performance,,,operations
,rallied the team,motivated and aligned the team,general,Leadership,,,leadership
,order of battle analysis,competitive landscape analysis / organizational assessment,general,intel,,,operations
,conducted counseling,provided performance feedback and coaching,general,admin,,,admin
,maintained hand receipts,maintained property accountability documentation,army,admin,,,admin
,safety climate survey,workplace safety culture assessment,general,Safety,,,operations
,conducted pre-deployment training,delivered pre-project mobilization training,general,training,,,leadership
,installed and maintained communication systems,deployed and maintained telecommunications infrastructure,general,comms,,,operations
,led the charge,spearheaded the initiative,general,Leadership,,,leadership
,closed the gap,eliminated the performance deficit,general,Performance,,,operations
,top performer in the division,highest-rated employee in the department,general,Leadership,,,leadership
,ready now for increased responsibility,immediately qualified for advancement,general,performance,,,operations
,served as damage control petty officer,served as division safety coordinator,navy,safety,,,operations
,port operations,maritime terminal operations,navy,Operations,,,operations
,Class II supplies,clothing and individual equipment,general,Equipment,,,operations
,PMC,partially mission capable or limited capability,general,Equipment,,,operations
,completed sea tour,completed operational/field assignment,navy,operations,,,operations
,command investigation,internal investigation / workplace inquiry,general,legal,,,legal
,IPAC,personnel administration center,usmc,Admin,,,admin
,water walker,exceptionally high performer,navy,Performance,,,operations
,information assurance,information security / data protection compliance,general,cyber,,,cyber
,frequency management,spectrum management / radio frequency coordination,general,comms,,,operations
,conducted UCI preparation,prepared organization for compliance inspection,usaf,compliance,,,admin
,CGSC graduate,completed intermediate leadership education,army,Training,,,leadership
,served as first sergeant,served as senior enlisted advisor and personnel manager,usaf,leadership,,,leadership
,peak performance,optimal operational output,general,Performance,,,operations
,inventory reconciliation,physical count verification against records,general,Equipment,,,operations
,maintained operational tempo,sustained high-volume workflow / kept pace of operations,general,performance,,,operations
,attended SGM Academy,completed executive-level leadership course,army,training,,,leadership
,retrograde of equipment,equipment return and redistribution,general,logistics,,,logistics
,field maintenance operations,on-site equipment maintenance / mobile repair operations,general,logistics,,,logistics
,attended WLC/BLC,completed first-line supervisor leadership course,army,training,,,leadership
,NIIN,national item identification number,general,Equipment,,,operations
,hearing conservation program,occupational hearing protection program,general,Safety,,,operations
,crushed it,delivered exceptional results,general,Performance,,,operations
,captain's mast,administrative disciplinary hearing,navy,Admin,,,admin
,combat engineering,construction and demolition engineering / field engineering,general,engineering,,,operations
,action item,assigned task requiring completion,general,Communication,,,operations
,completed Army readiness training,completed organizational readiness certification,army,training,,,leadership
,received CSMC score of,received maintenance readiness score of,navy,compliance,,,admin
,risk mitigation plan,risk reduction strategy,general,Safety,,,operations
,increased retention,improved employee retention,general,performance,,,operations
,#1 of all E-6s,ranked #1 among all mid-level supervisors,navy,performance,,,operations
,joint operations,multi-department collaborative operations,general,Operations,,,operations
,ready for tasking,prepared and available for any assignment,general,Performance,,,operations
,dialed in,precision-focused,general,Performance,,,operations
,issue and receipt,distribution and receiving operations,general,logistics,,,logistics
,battle update brief,operational status meeting,general,Operations,,,operations
,family readiness group,employee family support organization,army,Admin,,,admin
,maintained 100% accountability,maintained full inventory accuracy,general,Performance,,,operations
,quarterdeck watch officer,front desk operations supervisor,navy,Leadership,,,leadership
,communications interoperability,cross-platform communications compatibility,general,comms,,,operations
,hot standby,standby/ready state,navy,technical,,,operations
,served as UTM,served as unit training manager,usaf,training,,,leadership
,gapped billet,unfilled position,navy,Admin,,,admin
,op-tempo,operational pace,general,Operations,,,operations
,fast-tracked through qualifications,completed certifications on an accelerated timeline,general,Training,,,leadership
,claims processing,insurance claims processing / liability management,general,legal,,,legal
,mission brief,project kickoff meeting,general,Operations,,,operations
,rapid deployment,rapid mobilization / quick-response deployment,general,operations,,,operations
,conducted inventory management,performed inventory control and tracking,general,logistics,,,logistics
,drug interdiction,counter-narcotics law enforcement operations,general,operations,,,operations
,maintenance float,spare equipment pool / backup inventory,general,logistics,,,logistics
,promote now,highest recommendation for immediate advancement,general,Performance,,,operations
,met all deadlines,achieved 100% on-time delivery,general,performance,,,operations
,TLV,threshold limit value for chemical exposure,general,Safety,,,operations
,legal assistance operations,legal advisory services / employee legal support,general,legal,,,legal
,completed PQS,completed professional qualification requirements,navy,training,,,leadership
,combat qualified,certified for combat/field operations,general,training,,,leadership
,detached from,departed/transferred from,navy,admin,,,admin
,pathfinder qualified,completed advanced navigation and coordination training,army,Training,,,leadership
,achieved Battle E,achieved top operational excellence award,navy,performance,,,operations
,ergonomic assessment,workplace ergonomic evaluation,general,Safety,,,operations
,temporary additional duty,temporary assignment / short-term project assignment,general,admin,,,admin
,morning brief,daily standup meeting,general,Communication,,,operations
,hand-carried the issue,personally escalated and resolved the issue,general,Leadership,,,leadership
,served as company commander,served as operations director,army,leadership,,,leadership
,CSMP,current ship maintenance backlog,navy,Safety,,,operations
,served as squad leader,served as team supervisor,general,leadership,,,leadership
,officer of the deck,shift supervisor with full operational authority,navy,Leadership,,,leadership
,#1 of all E-5s,ranked #1 among all front-line supervisors,navy,performance,,,operations
,early promote,recommended for accelerated promotion,general,Performance,,,operations
,maintained common operating picture,maintained real-time operational dashboard / situational awareness,general,operations,,,operations
,flight operations,aviation operations management,general,Operations,,,operations
,base camp construction,temporary facility construction / field site development,general,engineering,,,operations
,outperformed the competition,outpaced comparable organizations,general,Performance,,,operations
,a proven warrior,a proven performer in high-stress environments,general,performance,,,operations
,command climate survey,employee engagement and culture survey,general,Communication,,,operations
,supply chain management,end-to-end supply chain management,general,logistics,,,logistics
,NSN,national stock number for cataloged items,general,Equipment,,,operations
,delivered under fire,performed effectively under extreme pressure,general,Performance,,,operations
,took charge of,assumed leadership of,general,leadership,,,leadership
,saved the day,resolved critical issue under time pressure,general,Performance,,,operations
,AFSC trained,completed specialty career field training,usaf,Training,,,leadership
,principal staff officer,senior department head / chief advisor,general,leadership,,,leadership
,bridged the gap between officers and enlisted,facilitated communication between leadership and staff,general,Leadership,,,leadership
,MDMP,structured decision-making process,army,Operations,,,operations
,hot work,welding and cutting permit-required work,general,Safety,,,operations
,near miss,near-miss incident report,general,Safety,,,operations
,jump qualified,earned airborne operations certification,army,Training,,,leadership
,minefield operations,hazardous area management / restricted zone operations,general,engineering,,,operations
,obligation authority,spending authorization / budget commitment authority,general,financial,,,finance
,cyber threat intelligence,cybersecurity threat analysis / threat intelligence,general,cyber,,,cyber
,basic training graduate,completed foundational workforce training,general,Training,,,leadership
,submitted requisitions,submitted procurement/purchase requests,general,logistics,,,logistics
,IG complaint,formal grievance through oversight channel,general,Communication,,,operations
,ensured mission accomplishment,ensured all objectives were met,general,Leadership,,,leadership
,BLUF,executive summary placed first,general,Communication,,,operations
,the embodiment of Navy core values,exemplifies organizational core values,navy,performance,,,operations
,kept the momentum,sustained progress toward objectives,general,Performance,,,operations
,GPC,government purchase card or corporate procurement card,general,Equipment,,,operations
,exceeded unit standards,surpassed departmental benchmarks,general,performance,,,operations
,collection management,data collection strategy and oversight,general,intel,,,operations
,request mast,formal request to meet with senior leadership,usmc,Communication,,,operations
,awarded Air Force Achievement Medal,received organizational achievement award,usaf,admin,,,admin
,EAWS qualified,earned enlisted aviation warfare specialist certification,navy,Training,,,leadership
,stood down,decommissioned or closed,general,Operations,,,operations
,made the cut,met competitive selection criteria,general,Performance,,,operations
,combat ready,fully operational and certified,general,compliance,,,admin
,signal plan,communications plan / network architecture,general,comms,,,operations
,took ownership,accepted full accountability,general,Leadership,,,leadership
,strengthened the chain of command,improved organizational communication and accountability,general,Leadership,,,leadership
,change of command,leadership transition,general,Operations,,,operations
,transfer of authority,transfer of responsibility / handover of authority,general,admin,,,admin
,served as acting commander,served as interim director,general,Leadership,,,leadership
,a true deckplate leader,a hands-on leader who leads from the front,navy,leadership,,,leadership
,liberty,personal time off,navy,Admin,,,admin
,established a forward operating base,established a satellite office / remote operations center,general,operations,,,operations
,extra duty,additional assigned duties as corrective action,general,Admin,,,admin
,SDS,safety data sheet,general,Safety,,,operations
,CIAL,component identification and authorization list,navy,Equipment,,,operations
,end item,final assembled product or system,general,Equipment,,,operations
,combat casualty care,emergency trauma care / field emergency medicine,general,medical,,,medical
,warning order,advance notice of upcoming tasking,general,Operations,,,operations
,zero discrepancies,achieved 100% compliance,general,Performance,,,operations
,active shooter drill,active threat response training exercise,general,Safety,,,operations
,civil-military operations,public-private partnership operations,general,operations,,,operations
,maintained arms room,managed secure property storage facility,army,technical,,,operations
,post-deployment stand-down,post-assignment recovery period,general,Operations,,,operations
,JPME complete,completed joint professional military education,general,Training,,,leadership
,depot-level maintenance,major overhaul at specialized repair facility,general,Equipment,,,operations
,SARP,substance abuse rehabilitation program,general,Medical,,,medical
,keeper of the keys,custodian of critical resources,general,Leadership,,,leadership
,filled the gap,addressed critical staffing shortage,general,Leadership,,,leadership
,utilities infrastructure,facility utilities management / building systems,general,engineering,,,operations
