military_term,civilian_equivalent,context,category,example_military,example_civilian
PO3 (Petty Officer Third Class),Team Member / Technician,navy,rank,,
grounding,equipment removed from service / operational suspension,aviation,aviation,,
billets authorized,headcount / FTE positions,general,admin,,
flag officer,executive / C-suite,general,term,,
DLA,Defense Logistics Agency,general,acronym,,
purple team,integrated security assessment team,cyber,cyber,,
HUMINT,human intelligence / interpersonal information gathering,intelligence,intelligence,,
high speed,high performer / top talent,general,term,,
SMSgt,senior master sergeant / director,usaf,leadership,,
travel claim,expense report / travel reimbursement request,financial,financial,,
COB,close of business,general,acronym,,
trained,developed and instructed,general,leadership,,
EW systems,electronic warfare / signals systems,general,equipment,,
PO2 (Petty Officer Second Class),Senior Technician / Team Lead,navy,rank,,
separation,termination / end of employment,general,term,,
JTR,Joint Travel Regulations,general,acronym,,
boots on ground,on-site personnel / field staff,general,term,,
Amn (Airman),Junior Staff Member,usaf,rank,,
stovepipe,siloed / working independently without coordination,general,term,,
PFT,Physical Fitness Test,general,acronym,,
CSEL,Senior Enlisted Leader Program,navy,leadership,,
SOP,standard operating procedure,general,admin,,
FOD,foreign object debris / workplace debris hazard,aviation,aviation,,
broadening assignment,rotational assignment / developmental role,general,term,,
DUSTWUN,duty status whereabouts unknown,general,acronym,,
INSURV,Board of Inspection and Survey,general,acronym,,
sub-hand receipt,delegated property accountability,logistics,logistics,,
THA,traffic hazard analysis / workplace hazard assessment,safety,safety,,
walk-in,unsolicited source / volunteer informant,intelligence,intelligence,,
corps,"enterprise division of 20,000-45,000 employees",general,unit type,,
damage control equipment,emergency response equipment / fire suppression systems,general,equipment,,
NAVADMIN,organizational directive,navy,admin,,
target development,subject research and prioritization,intelligence,intelligence,,
GMT,mandatory compliance training,navy,training,,
space,room / area / workspace,general,term,,
line of duty,work-related determination / on-duty status finding,legal,legal,,
expendable,single-use / consumable,logistics,logistics,,
CAC,Common Access Card / security credential,general,acronym,,
JAG,Judge Advocate General / legal department,general,acronym,,
DCA,damage control assistant / safety manager,navy,leadership,,
permanent party,permanent staff,general,admin,,
Pvt (Private),Entry-Level Staff,usmc,rank,,
SCIF,Sensitive Compartmented Information Facility / secure facility,general,acronym,,
hatch,door,navy,general,,
component,division / branch / department,general,term,,
WIA,wounded in action,general,acronym,,
WO,Warrant Officer / technical expert,general,acronym,,
COMINT,communications intelligence / intercepted communications analysis,intelligence,intelligence,,
HAYSTACK,logistics information system / parts identification database,logistics,logistics,,
rack,bed / bunk,general,term,,
independent government estimate,internal cost projection,logistics,acquisition,,
TS/SCI,Top Secret/SCI security clearance,general,technical,,
threat hunting,proactive threat detection / advanced threat search,cyber,cyber,,
SERE,"survival, evasion, resistance, escape / captivity survival training",general,special operations,,
BRAC,Base Realignment and Closure,general,acronym,,
pre-brief,pre-event planning meeting,general,communication,,
quarters,housing / living space,general,term,,
muster report,attendance report,navy,admin,,
ROTC,Reserve Officers' Training Corps,general,acronym,,
SSgt (Staff Sergeant),Senior Supervisor,usmc,rank,,
red team,offensive security testing team,cyber,cyber,,
CBRN equipment,hazardous materials handling equipment,general,equipment,,
gear adrift,unsecured/disorganized equipment,navy,operations,,
tradecraft,operational techniques / professional methodology,intelligence,intelligence,,
COP,combat outpost / remote site,army,operations,,
SEAL,"Sea, Air, and Land operator / Navy special operator",general,special operations,,
ASL,authorized stockage list / approved inventory catalog,logistics,logistics,,
PV2 (Private Second Class),Junior Staff Member,army,rank,,
S6,Communications section / IT department,general,acronym,,
intrusion detection,unauthorized access monitoring,cyber,cyber,,
TPOC,technical point of contact / subject matter liaison,logistics,acquisition,,
personnel recovery,search and rescue / missing person recovery,general,special operations,,
proficiency,skill level / competency,general,term,,
fit for duty,medically cleared for work,medical,medical,,
field fortification,defensive structure construction,engineering,engineering,,
SFC (Sergeant First Class),Manager / Operations Supervisor,army,rank,,
SOCOM,Special Operations Command / elite forces headquarters,general,special operations,,
flight chief,section manager,usaf,leadership,,
duty,shift / on-call responsibility,general,term,,
forensics,digital investigation / evidence analysis,cyber,cyber,,
TECHINT,technical intelligence / technology assessment,intelligence,intelligence,,
JTAC,joint terminal attack controller / air strike director,general,special operations,,
information operations,information warfare / influence campaign management,general,special operations,,
theater,region / operational area,general,term,,
JQR,Job Qualification Requirements,general,acronym,,
shelf life,expiration period / usable lifespan,logistics,logistics,,
PCS,organizational transfer,general,operations,,
MIA,missing in action,general,acronym,,
XO,Executive Officer / deputy director / second-in-command,general,acronym,,
LCPO,Lead Chief Petty Officer / department supervisor,general,acronym,,
medical hold,extended medical observation / medical administrative hold,medical,medical,,
SCPO (Senior Chief Petty Officer),Senior Manager,uscg,rank,,
FITREP,fitness report / officer performance review,general,acronym,,
high-speed,high performer / exceptional employee,general,term,,
FID,foreign internal defense / partner nation military advising,general,special operations,,
tech school,technical training school,usaf,training,,
shore duty,office-based assignment / non-deployable role,general,term,,
AT,annual training,general,acronym,,
MARSOC,Marine Forces Special Operations Command,general,special operations,,
MCO,Marine Corps Order / policy directive,general,acronym,,
starboard,right side,navy,general,,
inport,at home location,navy,operations,,
power of attorney,legal authorization document,legal,legal,,
AFI,policy instruction,usaf,admin,,
bolter,missed approach / failed landing attempt,aviation,aviation,,
force protection,facility security / workplace safety,general,term,,
branch manager,career assignment officer,army,admin,,
tracking,understood / following along,general,term,,
material condition,equipment status / asset readiness,general,term,,
CMEO,equal opportunity program manager,navy,admin,,
3M,Maintenance Management Program,navy,technical,Managed 3M program for 200+ equipment items,Managed preventive maintenance program for 200+ equipment items valued at $5M
strike group,combined operations task force,general,unit type,,
PQS,Personnel Qualification Standards / certification requirements,general,acronym,,
workup,preparation / training cycle,general,term,,
TTPs,tactics techniques and procedures / best practices,general,operations,,
non-expendable,accountable property / tracked assets,logistics,logistics,,
NAF,Non-Appropriated Fund,general,acronym,,
ashore,land-based / office environment,general,term,,
endstate,desired outcome / final objective,general,term,,
taps,end of day / lights out,general,term,,
moored,docked / stationary,navy,operations,,
GCSS,Global Combat Support System,general,acronym,,
post,position / station / assignment,general,term,,
SIQ,Sick in Quarters / medical leave,general,acronym,,
rifle range,training facility / shooting range,general,term,,
JIOC,joint intelligence operations center / combined analysis facility,intelligence,intelligence,,
SOY,Employee of the Year,navy,awards,,
port call,scheduled stop / client visit,general,term,,
debrief,post-event review / lessons learned,general,communication,,
cover down,take responsibility for / fill the gap,general,term,,
MCPO (Master Chief Petty Officer),Director / Senior Director,navy,rank,,
surge,temporary increase in effort / rapid scale-up,general,term,,
retrograde,return shipment / reverse logistics,logistics,logistics,,
DCAS,Defense Contract Audit Services,general,acronym,,
SME,subject matter expert,general,acronym,,
NCOER,NCO Evaluation Report / performance review,general,acronym,,
gapped billet,vacant position,general,admin,,
sand table,tabletop exercise / scenario walkthrough,general,term,,
task order,project-specific work authorization,logistics,acquisition,,
terminal guidance,precision targeting direction,general,special operations,,
EVAL,performance evaluation / annual review,general,acronym,,
statutory board,legally mandated review panel,personnel,personnel,,
SSE,sensitive site exploitation / evidence collection at target site,general,special operations,,
sentencing,penalty determination / punishment assignment,legal,legal,,
2ndLt (Second Lieutenant),Junior Manager,usmc,rank,,
award fee,performance incentive payment,logistics,acquisition,,
squad,team of 8-13 employees,general,unit type,,
OOD,Officer of the Deck / watch supervisor,general,acronym,,
requisition,procurement request,general,logistics,,
litter bearer,patient stretcher carrier / patient transport assistant,medical,medical,,
CHENG,chief engineer / director of engineering,navy,leadership,,
mid-watch,overnight shift / graveyard shift,general,term,,
DD254,security classification specification,logistics,acquisition,,
tour,assignment period / rotation,general,term,,
PTA,practical training assessment,general,acronym,,
TRICARE,military healthcare system,general,acronym,,
cross-domain solution,secure data transfer between networks,cyber,cyber,,
cross-rate,career change / job reclassification,general,term,,
route clearance,road hazard removal / path clearing operations,engineering,engineering,,
supervised,managed,general,leadership,,
kinetic,direct action / hands-on,general,term,,
work order,maintenance request / service ticket,engineering,engineering,,
COMMS,communications officer / IT director,navy,leadership,,
knock it off,stop immediately / cease activity,general,term,,
chop,transfer of authority / reassignment,general,term,,
S3,Operations section / operations department,general,acronym,,
DC,emergency response,navy,technical,,
HHG,household goods / personal property,general,acronym,,
roger,understood / acknowledged,general,communication,,
TSP,Thrift Savings Plan / retirement plan,general,acronym,,
SL,skill level,general,acronym,,
NIPRNET,unclassified government network,cyber,cyber,,
chain of command,organizational hierarchy / reporting structure,general,term,,
APS,army prepositioned stocks / strategic forward inventory,logistics,logistics,,
inspection,audit / compliance review,general,term,,
logistics,supply chain / operations support,general,term,,
OCO,offensive cyber operations / proactive cyber engagement,cyber,cyber,,
copy,received and understood,general,communication,,
cybersecurity service provider,managed security services,cyber,cyber,,
deck plate,frontline / shop floor / ground level,general,term,,
passageway,hallway,navy,general,,
rate,job specialty,navy,admin,,
QA,Quality Assurance,general,acronym,,
commissary,grocery store / employee store,general,term,,
SAPR,Sexual Assault Prevention and Response,general,acronym,,
training command,learning & development / training department,general,term,,
DRB,Disciplinary Review Board,navy,administration,,
combat stress,occupational stress / critical incident stress,medical,medical,,
trigger,decision point / activation criteria,general,term,,
CPO (Chief Petty Officer),Department Supervisor / Manager,navy,rank,,
IDC,independent duty corpsman / autonomous healthcare provider,medical,medical,,
weapons qual,certification / proficiency test,general,term,,
topside,external/outdoor areas,navy,operations,,
TO,technical order,usaf,technical,,
letter of instruction,written directive / formal guidance memo,personnel,personnel,,
TOC,Tactical Operations Center / operations center,general,acronym,,
RPO,Recruit Petty Officer,general,acronym,,
sailor,Navy employee / naval staff,general,term,,
joint,multi-organizational / cross-functional,general,term,,
1st Lt (First Lieutenant),Manager,usaf,rank,,
facilities management,building and infrastructure operations,engineering,engineering,,
independent duty,solo practitioner / autonomous medical provider,medical,medical,,
AB (Airman Basic),Entry-Level Staff,usaf,rank,,
TIG,Time in Grade / time at current level,general,acronym,,
T&M,time and materials / hourly-rate contract,logistics,acquisition,,
turn-in,return to supply / equipment return,logistics,logistics,,
stockage objective,target inventory level,logistics,logistics,,
SEABEE,Naval Construction Battalion / military construction worker,engineering,engineering,,
TSCM,technical surveillance countermeasures / electronic sweep,intelligence,intelligence,,
liberty,scheduled time off,navy,admin,,
serviceable,operational / in working condition,logistics,logistics,,
hard deck,absolute deadline / non-negotiable limit,general,term,,
manifest,roster / inventory list,general,term,,
network monitoring,IT infrastructure surveillance,cyber,cyber,,
sea and anchor detail,departure/arrival team,navy,operations,,
arrested landing,cable-assisted stop / controlled deceleration landing,aviation,aviation,,
PMCS,preventive maintenance checks,army,technical,,
BN,battalion / large organizational unit,general,acronym,,
BCT,Basic Combat Training / initial training program,general,acronym,,
WEPS,weapons officer / tactical systems director,navy,leadership,,
muster,attendance/accountability check,navy,admin,,
IMINT,imagery intelligence / satellite and aerial image analysis,intelligence,intelligence,,
OPTEMPO,operational pace,general,operations,,
vessel,ship / facility,general,term,,
Raider,Marine special operator,general,special operations,,
direct report,subordinate / team member,general,term,,
yellow deck,limited operations / caution conditions,aviation,aviation,,
target package,mission briefing documents / operation plan,general,special operations,,
colors,flag ceremony / opening/closing procedures,general,term,,
sick call,walk-in clinic / daily medical appointment,medical,medical,,
led,directed,general,leadership,,
PTAD,permissive temporary additional duty,general,acronym,,
delayed,stable but requiring eventual treatment,medical,medical,,
port,left side / destination,general,term,,
Role 2,advanced trauma care / emergency stabilization,medical,medical,,
immediate,requiring urgent surgical intervention,medical,medical,,
deliverable,required output / contractual product,logistics,acquisition,,
FSA,Family Separation Allowance,general,acronym,,
readiness,preparedness / operational capability,general,term,,
DA,Department of the Army,general,acronym,,
threat assessment,risk evaluation / threat analysis,intelligence,intelligence,,
EFMP,Exceptional Family Member Program,general,acronym,,
POM,program objective memorandum / multi-year budget proposal,financial,financial,,
TYCOM,Fleet Regional Command,navy,organization,,
collection management,intelligence requirements coordination / data collection planning,intelligence,intelligence,,
SITREP,situation report / status update,general,acronym,,
SELRES,Selected Reserve,general,acronym,,
appellate,appeals process / higher court review,legal,legal,,
non-kinetic,indirect / influence-based / diplomatic,general,term,,
minimal,minor injuries / walking wounded,medical,medical,,
RMF,risk management framework / cybersecurity compliance framework,cyber,cyber,,
1SG,first sergeant / senior operations manager,army,leadership,,
hip pocket training,informal on-the-spot training,general,term,,
defense counsel,defense attorney / legal representative,legal,legal,,
lockdown,facility security restriction,general,operations,,
rotation,assignment cycle / tour schedule,general,term,,
relief,replacement / successor,general,term,,
OER,Officer Evaluation Report / performance review,general,acronym,,
combat zone tax exclusion,tax-free income for deployed personnel,financial,financial,,
allotment,automatic payroll deduction / directed payment,financial,financial,,
TM,technical manual,army,technical,,
S4,Logistics section / supply chain department,general,acronym,,
CSG,Carrier Strike Group,navy,organization,,
OTS,Officer Training School,general,acronym,,
contingency plan,backup plan / business continuity plan,general,planning,,
echelon,organizational level / tier,general,term,,
