id,branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description,created_at
08c293e5-ce07-4882-9435-55aa02cfe553,usmc,4612,Combat Correspondent,"[""Journalist"",""Reporter"",""Public Affairs Specialist""]",,"[""Media"",""News"",""Communications""]",[],,2026-02-16 22:55:20.512186+00
09433338-bc97-432b-85b9-435e9e4fa425,uscg,ELC,Electronics,"[""Electronics Manager"",""Communications Director"",""Technical Manager"",""Systems Manager""]",,"[""Electronics"",""Telecommunications"",""Technology""]",[],,2026-02-16 22:55:20.512186+00
09454e48-f226-4bd2-9365-ec704e07e6dc,usmc,6154,Helicopter Power Plants Mechanic CH-53,"[""Jet Engine Mechanic"",""Powerplant Technician"",""Turbine Mechanic""]",,"[""Aviation"",""Aerospace""]",[],,2026-02-16 22:55:20.512186+00
09c3e85f-663b-4ca5-afd5-043768307b9b,uscg,AMT,Aviation Maintenance Technician,"[""Aircraft Mechanic"",""A&P Mechanic"",""Aviation Maintenance Technician"",""Helicopter Mechanic""]",,"[""Aviation"",""Aerospace"",""Emergency Services""]",[],,2026-02-16 22:55:20.512186+00
09fd31d2-2ff6-48f6-b65d-9cbccc4df6f0,uscg,AST,Aviation Survival Technician,"[""Search and Rescue Technician"",""Paramedic"",""Flight Medic"",""Emergency Medical Technician"",""SAR Swimmer""]",,"[""Emergency Services"",""Aviation"",""Healthcare"",""Oil & Gas""]",[],,2026-02-16 22:55:20.512186+00
0a7a2e53-dd1d-4769-97aa-6e9ce70ae460,army,68S,Preventive Medicine Specialist,"[""Public Health Technician"",""Environmental Health Technician"",""Health Inspector"",""Epidemiology Technician""]",,"[""Public Health"",""Government"",""Healthcare""]",[],,2026-02-16 22:55:20.512186+00
0a878e5a-a719-4109-a3f3-e666e22bd1af,navy,CTM,Cryptologic Technician Maintenance,"[""Electronics Technician"",""Communications Technician"",""Network Technician"",""Systems Technician""]",,"[""Telecommunications"",""Technology"",""Defense"",""Government""]",[],,2026-02-16 22:55:20.512186+00
0ad7ff5c-39c7-48e3-baec-78046452995d,usaf,2M0X2,Missile and Space Systems Maintenance,"[""Missile Technician"",""Aerospace Technician"",""Mechanical Systems Technician""]",,"[""Defense"",""Aerospace""]",[],,2026-02-16 22:55:20.512186+00
0af48e93-6f46-481a-bc53-b9cee94018e3,ussf,1C6X2,Space Surveillance and Control,"[""Space Surveillance Analyst"",""Orbital Analyst"",""Space Tracking Specialist"",""Space Domain Awareness Operator"",""Conjunction Assessment Analyst""]",,"[""Aerospace"",""Defense"",""Government"",""Space""]",[],,2026-02-16 22:55:20.512186+00
0b4944e9-8a9d-483e-b167-fdfde8132255,navy,SW,Steelworker,"[""Structural Ironworker"",""Welder"",""Reinforcing Iron Worker"",""Steel Fabricator"",""Construction Supervisor""]",,"[""Construction"",""Manufacturing"",""Infrastructure""]",[],,2026-02-16 22:55:20.512186+00
0cbef24b-c5b2-4c81-b58e-947abf724306,army,25P,Microwave Systems Operator-Maintainer,"[""Microwave Technician"",""RF Technician"",""Communications Technician"",""Tower Technician""]",,"[""Telecommunications"",""Broadcasting"",""Technology""]",[],,2026-02-16 22:55:20.512186+00
0ced4d4a-c7ee-470b-808a-24631a35aa1c,navy,SB,Special Warfare Boat Operator,"[""Maritime Security Specialist"",""Security Operations Manager"",""Tactical Operations Coordinator"",""Defense Consultant""]","[""33-9032.00""]","[""Security"",""Defense"",""Government""]","[""Special Operations"",""Maritime Security"",""Small Boat Operations"",""Tactical Planning"",""Physical Security""]",Operates special warfare craft in support of NSW operations,2026-02-15 17:47:32.616746+00
0d3bd9bf-0807-4444-bd2e-f8145e6e4a96,usaf,3F5X1,Administration,"[""Administrative Assistant"",""Executive Assistant"",""Office Manager"",""Administrative Coordinator""]",,"[""Any Industry""]",[],,2026-02-16 22:55:20.512186+00
0dd51f82-3816-45ed-8ff3-ed0841c8ba7a,army,92L,Petroleum Laboratory Specialist,"[""Laboratory Technician"",""Quality Control Technician"",""Chemical Technician"",""Petroleum Analyst""]",,"[""Oil & Gas"",""Chemical"",""Laboratory""]",[],,2026-02-16 22:55:20.512186+00
0e49c925-db0e-43c2-82c2-a99adec110f3,army,13J,Fire Control Specialist,"[""Radar Technician"",""Electronics Technician"",""Systems Technician"",""Fire Control Technician""]",,"[""Defense"",""Aerospace"",""Electronics""]",[],,2026-02-16 22:55:20.512186+00
0e56d08d-e0c1-4d77-8117-7cdb44ac1ab6,usmc,1341,Heavy Equipment Mechanic,"[""Heavy Equipment Mechanic"",""Diesel Mechanic""]",,"[""Construction"",""Mining"",""Transportation""]",[],,2026-02-16 22:55:20.512186+00
0e5dcadd-2db6-41c9-a153-ddcb6ed8b5b1,navy,AM,Aviation Structural Mechanic,"[""Aircraft Structural Mechanic"",""Composite Repair Technician"",""Sheet Metal Mechanic"",""Aviation Maintenance Technician""]","[""49-3011.00""]","[""Aviation"",""Aerospace"",""Manufacturing""]","[""Sheet Metal"",""Composite Repair"",""Corrosion Control"",""NDI"",""Structural Repair""]",Maintains aircraft structural and hydraulic systems,2026-02-15 17:47:32.616746+00
0f1a4d9d-14bb-4a76-a495-f857e57ff883,army,12W,Carpentry and Masonry Specialist,"[""Carpenter"",""Mason"",""Construction Supervisor"",""General Contractor""]",,"[""Construction"",""Facilities"",""Government""]",[],,2026-02-16 22:55:20.512186+00
119f8bd2-2b8a-4db7-8dbd-acccac987bec,navy,EOD,Explosive Ordnance Disposal,"[""EOD Technician"",""Bomb Squad Technician"",""IED Disposal Specialist"",""Hazardous Devices Technician"",""Safety Director""]","[""33-2011.00"",""33-9099.00""]","[""Law Enforcement"",""Defense"",""Government"",""Security""]","[""Explosive Ordnance Disposal"",""IED Defeat"",""HAZMAT"",""Risk Assessment"",""Diving"",""Robotics""]",Renders safe explosive ordnance and IEDs,2026-02-15 17:47:32.616746+00
1261c5b6-0f26-4349-b8fc-8cfd0a38d6af,uscg,CS,Culinary Specialist,"[""Chef"",""Kitchen Manager"",""Food Service Director"",""Executive Chef"",""Catering Manager""]",,"[""Food Service"",""Hospitality"",""Healthcare"",""Corporate""]",[],,2026-02-16 22:55:20.512186+00
12de40b3-ca59-43bc-9957-8c551a09a40c,usaf,4Y0X2,Dental Laboratory,"[""Dental Laboratory Technician"",""Dental Technician"",""Prosthodontic Technician""]",,"[""Dental"",""Healthcare"",""Manufacturing""]",[],,2026-02-16 22:55:20.512186+00
149aca21-20be-4954-815d-4a9de19ba51f,usmc,1316,Metal Worker,"[""Welder"",""Sheet Metal Worker"",""Metal Fabricator""]",,"[""Manufacturing"",""Construction""]",[],,2026-02-16 22:55:20.512186+00
15006cec-97ab-4544-8046-58bb6f16f487,uscg,SK,Storekeeper,"[""Supply Chain Specialist"",""Inventory Manager"",""Purchasing Agent"",""Logistics Coordinator"",""Warehouse Manager""]",,"[""Logistics"",""Retail"",""Manufacturing"",""Government""]",[],,2026-02-16 22:55:20.512186+00
1520bfed-4f8a-4899-a20d-5b9fb4d92ef3,army,18C,Special Forces Engineer Sergeant,"[""Construction Manager"",""Security Specialist"",""Project Manager"",""Operations Manager""]",,"[""Construction"",""Security"",""Consulting""]",[],,2026-02-16 22:55:20.512186+00
15297f69-fa80-4fb2-a750-e1c405594d36,usaf,2R0X1,Maintenance Management Analysis,"[""Maintenance Analyst"",""Data Analyst"",""Operations Analyst"",""Maintenance Planner""]",,"[""Aviation"",""Manufacturing"",""Logistics""]",[],,2026-02-16 22:55:20.512186+00
15ff89c7-7780-4ae5-8dea-3b57ba40e97c,army,92M,Mortuary Affairs Specialist,"[""Funeral Director"",""Mortician"",""Mortuary Technician"",""Embalmer""]",,"[""Funeral Services"",""Healthcare""]",[],,2026-02-16 22:55:20.512186+00
15ffc10f-4960-41d4-acdb-6d1fa3dea11f,navy,SW,Steelworker,"[""Structural Welder"",""Ironworker"",""Steel Fabricator"",""Construction Foreman"",""Structural Steel Installer""]","[""47-2221.00"",""47-2152.00""]","[""Construction"",""Manufacturing""]","[""Structural Steel"",""Welding"",""Rigging"",""Blueprint Reading"",""Concrete"",""Masonry""]","Fabricates, erects, and repairs steel structures",2026-02-15 17:47:32.616746+00
166f38f6-a5d9-459c-90d3-0e4711d8c232,army,68P,Radiology Specialist,"[""Radiologic Technologist"",""X-Ray Technician"",""MRI Technologist"",""CT Technologist""]",,"[""Healthcare"",""Hospitals"",""Imaging Centers""]",[],,2026-02-16 22:55:20.512186+00
16f69794-3aa9-4c03-9168-e7e4bbed3cb7,navy,SO,Special Warfare Operator (SEAL),"[""Security Consultant"",""Executive Protection Specialist"",""Security Contractor"",""Tactical Trainer"",""Operations Manager""]",,"[""Security"",""Consulting"",""Defense"",""Executive Protection""]",[],,2026-02-16 22:55:20.512186+00
173a3906-9962-4670-a55a-b7c06ca600f6,usmc,0631,Network Administrator,"[""Network Administrator"",""Systems Administrator"",""Network Engineer""]",,"[""Technology"",""Any Industry""]",[],,2026-02-16 22:55:20.512186+00
17974d2c-4d1e-4f8c-a3f8-31cf55c914cd,navy,MC,Mass Communication Specialist,"[""Public Affairs Specialist"",""Journalist"",""Photographer"",""Videographer"",""Social Media Manager"",""Communications Specialist""]",,"[""Media"",""Marketing"",""Government"",""Corporate Communications""]",[],,2026-02-16 22:55:20.512186+00
18b7a2cd-e3cb-48d0-ba40-f810719ebc84,navy,ET,Electronics Technician,"[""Electronics Technician"",""Field Service Engineer"",""Calibration Technician"",""Radar Technician"",""Avionics Technician"",""Telecommunications Technician""]","[""17-3023.00"",""49-2094.00""]","[""Defense"",""Telecommunications"",""Aerospace"",""Manufacturing""]","[""Electronics Repair"",""Radar Systems"",""Calibration"",""Soldering"",""Circuit Analysis"",""Troubleshooting"",""Oscilloscopes""]",Maintains and repairs electronic equipment and systems,2026-02-15 17:46:34.592483+00
190b0b14-1784-405d-9fd3-8be29e08eb60,ussf,1C6X1,Space Systems Operations,"[""Satellite Operator"",""Space Systems Analyst"",""Mission Operations Specialist"",""Spacecraft Controller"",""Satellite Systems Engineer"",""Ground Systems Operator""]",,"[""Aerospace"",""Space"",""Defense"",""Telecommunications"",""Government""]",[],,2026-02-16 22:55:20.512186+00
1981a5f7-8ceb-470b-b904-57519057bfec,usmc,3521,Automotive Organizational Mechanic,"[""Automotive Technician"",""Fleet Mechanic"",""Diesel Mechanic""]","[""49-3023.00""]","[""Automotive"",""Transportation""]","[""Vehicle Maintenance"",""Diesel Repair"",""Diagnostics"",""Brake Systems"",""Electrical Systems""]",Maintains tactical and non-tactical vehicles,2026-02-15 17:47:32.616746+00
1983f703-710e-4c70-9a3d-03f5205b98fc,ussf,SF-SCO,Satellite Constellation Operator,"[""Constellation Manager"",""Fleet Operations Specialist"",""Satellite Network Controller""]",,"[""SpaceX"",""OneWeb"",""Amazon Kuiper"",""Telecommunications""]",[],,2026-02-16 22:55:20.512186+00
19caaf89-de83-4e88-babf-f46ebb18973d,army,91E,Allied Trades Specialist,"[""Welder"",""Machinist"",""Metal Fabricator"",""Maintenance Mechanic""]",,"[""Manufacturing"",""Construction"",""Automotive""]",[],,2026-02-16 22:55:20.512186+00
19dd7336-a339-4c9f-abcc-83fdd57d03df,usaf,2G0X1,Logistics Plans,"[""Logistics Planner"",""Supply Chain Analyst"",""Operations Planner"",""Logistics Manager""]",,"[""Logistics"",""Transportation"",""Manufacturing""]",[],,2026-02-16 22:55:20.512186+00
19e4694e-88d3-4116-8c29-0029718720ba,usmc,0317,Scout Sniper,"[""Security Specialist"",""Tactical Instructor"",""Law Enforcement Specialist""]",,"[""Security"",""Law Enforcement"",""Training""]",[],,2026-02-16 22:55:20.512186+00
1a8a630a-3f40-423e-8436-4f418070c977,usmc,0231,Intelligence Specialist,"[""Intelligence Analyst"",""Research Analyst"",""Threat Analyst""]",,"[""Intelligence"",""Defense"",""Finance"",""Consulting""]",[],,2026-02-16 22:55:20.512186+00
1ae17ce8-6590-4f3c-b739-b186d0f602e0,navy,RP,Religious Program Specialist,"[""Program Coordinator"",""Administrative Assistant"",""Events Coordinator"",""Community Outreach Specialist""]",,"[""Non-Profit"",""Religious Organizations"",""Education"",""Government""]",[],,2026-02-16 22:55:20.512186+00
1b0196da-a8db-44a2-bc85-43e1fabf6208,usmc,6062,Aircraft Intermediate Level Electrical Mechanic,"[""Aircraft Electrician"",""Avionics Technician""]",,"[""Aviation"",""Aerospace""]",[],,2026-02-16 22:55:20.512186+00
1b461b70-a839-4337-b7ff-758243ab7f25,army,68W,Combat Medic Specialist,"[""EMT"",""Paramedic"",""Emergency Medical Technician"",""Medical Assistant"",""ER Technician""]",,"[""Healthcare"",""Emergency Services"",""Hospitals""]",[],,2026-02-16 22:55:20.512186+00
1ca79b65-0d7e-4eac-979c-082e671cb529,usaf,3D0X1,Knowledge Operations Management,"[""Records Manager"",""Information Manager"",""Knowledge Manager"",""Document Control Specialist""]",,"[""Technology"",""Government"",""Any Industry""]",[],,2026-02-16 22:55:20.512186+00
1cb95759-3487-4b4e-943b-0e4ef5c7d3df,usmc,4421,Legal Services Specialist,"[""Paralegal"",""Legal Assistant"",""Legal Secretary""]",,"[""Legal"",""Government""]",[],,2026-02-16 22:55:20.512186+00
1ce0f3de-349c-4bb0-ad53-de3b5f6b9366,navy,IS,Intelligence Specialist,"[""Intelligence Analyst"",""Research Analyst"",""Threat Analyst"",""Security Analyst"",""Business Intelligence Analyst""]",,"[""Intelligence"",""Defense"",""Government"",""Consulting"",""Finance""]",[],,2026-02-16 22:55:20.512186+00
1d0e2e49-a414-4811-9734-7422d256956e,usaf,2W0X1,Munitions Systems,"[""Munitions Specialist"",""Ordnance Handler"",""Warehouse Specialist"",""Inventory Specialist""]",,"[""Defense"",""Security"",""Warehousing""]",[],,2026-02-16 22:55:20.512186+00
1e38a8f2-444b-4da8-b79a-9251345ad456,ussf,SF-STM,Space Traffic Management,"[""Space Traffic Coordinator"",""Orbital Safety Analyst"",""Conjunction Assessment Specialist""]",,"[""FAA"",""Space Companies"",""Defense Contractors""]",[],,2026-02-16 22:55:20.512186+00
20600cea-3554-44d2-8f24-a225ca715ab0,usaf,4T0X1,Medical Laboratory,"[""Medical Laboratory Technician"",""Clinical Laboratory Technician"",""Lab Technician""]",,"[""Healthcare"",""Laboratories"",""Hospitals""]",[],,2026-02-16 22:55:20.512186+00
2097b604-03e0-4566-9e54-9765694911de,usmc,7314,Unmanned Aerial Vehicle Commander,"[""UAV Program Manager"",""Drone Operations Manager"",""UAS Director""]",,"[""Aviation"",""Technology"",""Defense""]",[],,2026-02-16 22:55:20.512186+00
209e39a9-2e2f-47df-930b-9eaabbeb403a,navy,AE,Aviation Electrician's Mate,"[""Avionics Technician"",""Aircraft Electrician"",""Electronics Technician"",""Electrical Systems Specialist""]",,"[""Aviation"",""Aerospace"",""Electronics"",""Defense""]",[],,2026-02-16 22:55:20.512186+00
210f3d55-aaf3-4df1-8213-115c7b4b9613,army,92W,Water Treatment Specialist,"[""Water Treatment Operator"",""Wastewater Technician"",""Water Quality Technician"",""Utilities Operator""]",,"[""Utilities"",""Municipal"",""Environmental""]",[],,2026-02-16 22:55:20.512186+00
215a8ee9-aeaa-4bc9-ae9c-9d9b0693925a,ussf,5C0X1,Command and Control Battle Management Operations,"[""Operations Center Manager"",""Command Center Operator"",""Battle Management Specialist"",""Space Operations Controller"",""Mission Director""]",,"[""Defense"",""Aerospace"",""Government"",""Emergency Management""]",[],,2026-02-16 22:55:20.512186+00
2270f2be-6cf3-4bcb-91e7-d232f40d7b56,usmc,6156,Tiltrotor Power Plants Mechanic MV-22,"[""Powerplant Mechanic"",""Turbine Mechanic""]",,"[""Aviation"",""Aerospace""]",[],,2026-02-16 22:55:20.512186+00
237dd914-09ba-4975-9e93-eb0a734a9d6f,army,17C,Cyber Operations Specialist,"[""Cyber Operations Analyst"",""Penetration Tester"",""Red Team Operator"",""Cybersecurity Engineer"",""SOC Analyst""]","[""15-1212.00""]","[""Cybersecurity"",""Defense"",""Technology"",""Finance""]","[""Offensive Cyber Operations"",""Penetration Testing"",""Network Defense"",""Malware Analysis"",""Python"",""Linux"",""SIEM""]",Conducts offensive and defensive cyberspace operations,2026-02-15 17:47:32.616746+00
24006e2f-8cb1-4108-8258-816659a506d0,usmc,7212,Low Altitude Air Defense Gunner,"[""Air Defense Operator"",""Radar Operator"",""Security Specialist""]",,"[""Defense"",""Security""]",[],,2026-02-16 22:55:20.512186+00
240fe7e7-d7be-4c80-b63e-5ced588d8d3c,usmc,6483,Aircraft Firefighting and Rescue Specialist,"[""Aircraft Rescue Firefighter"",""ARFF Specialist"",""Airport Firefighter""]",,"[""Fire Service"",""Aviation""]",[],,2026-02-16 22:55:20.512186+00
2421d4d2-a90a-4122-b984-82c30711cd45,usmc,0861,Fire Support Marine,"[""Operations Coordinator"",""Communications Specialist""]",,"[""Defense"",""Security""]",[],,2026-02-16 22:55:20.512186+00
2493bcfb-0d08-44a1-9117-7936b09d1c5a,usaf,3E0X2,Electrical Power Production,"[""Power Plant Operator"",""Generator Technician"",""Electrical Power Specialist""]",,"[""Utilities"",""Energy"",""Facilities""]",[],,2026-02-16 22:55:20.512186+00
24acd57c-eca5-4618-9901-1c8c05ee7b6a,usaf,2A5X2,Helicopter/Tiltrotor Aircraft Maintenance,"[""Helicopter Mechanic"",""Rotor Wing Technician"",""Aircraft Mechanic""]",,"[""Aviation"",""Emergency Services"",""Oil & Gas""]",[],,2026-02-16 22:55:20.512186+00
24db2d1d-a9ce-4df3-90f2-30079baa250c,usmc,2673,Asian Pacific Cryptologic Linguist,"[""Chinese/Korean Linguist"",""Translator"",""Intelligence Analyst""]",,"[""Intelligence"",""Government"",""Translation""]",[],,2026-02-16 22:55:20.512186+00
24fa814a-b93b-49cb-ab04-1d8deb0fb7f7,usmc,6046,Aircraft Maintenance Administration,"[""Aviation Maintenance Administrator"",""Maintenance Planner"",""Records Manager"",""QA Administrator""]","[""43-6014.00"",""49-3011.00""]","[""Aviation"",""Aerospace""]","[""Maintenance Records"",""NALCOMIS"",""Aviation Compliance"",""QA"",""Configuration Management""]",Manages aircraft maintenance records and administration,2026-02-15 17:47:32.616746+00
255f8f81-b0de-47a1-8ef8-69bbf3886f7a,usaf,3E6X1,Operations Management,"[""Operations Manager"",""Facilities Manager"",""Project Manager"",""Operations Coordinator""]",,"[""Facilities"",""Construction"",""Government""]",[],,2026-02-16 22:55:20.512186+00
257aaf8e-2b1b-4436-8336-a6ba8e0f654b,army,25N,Nodal Network Systems Operator-Maintainer,"[""Network Administrator"",""Systems Administrator"",""Network Engineer"",""IT Specialist""]",,"[""Technology"",""Telecommunications""]",[],,2026-02-16 22:55:20.512186+00
25b04a7a-1132-4521-aae4-81ae445c5a22,navy,CTI,Cryptologic Technician (Interpretive),"[""Linguist"",""Intelligence Analyst"",""Foreign Language Analyst"",""Translator"",""Cultural Advisor""]","[""27-3091.00"",""13-1161.00""]","[""Intelligence"",""Government"",""Defense"",""Consulting""]","[""Foreign Language"",""Intelligence Analysis"",""Translation"",""SIGINT"",""Cultural Analysis"",""Report Writing""]",Conducts language analysis and intelligence operations,2026-02-15 17:47:32.616746+00
26a78a98-c92c-45b8-91ea-2119b4822fa5,navy,GM,Gunner's Mate,"[""Weapons Specialist"",""Armorer"",""Security Specialist"",""Firearms Instructor"",""Ordnance Handler""]",,"[""Security"",""Law Enforcement"",""Defense"",""Manufacturing""]",[],,2026-02-16 22:55:20.512186+00
273db257-a88d-4054-824d-e363a1645cec,army,88M,Motor Transport Operator,"[""Transportation Manager"",""Fleet Manager"",""Logistics Coordinator"",""CDL Driver"",""Dispatch Supervisor""]","[""53-3032.00"",""11-3071.00"",""53-1047.00""]","[""Transportation"",""Logistics"",""Supply Chain""]","[""CDL"",""Fleet Management"",""Route Planning"",""Vehicle Maintenance"",""HAZMAT Transport"",""Convoy Operations""]",Operates military vehicles for personnel and cargo transport,2026-02-15 17:46:34.592483+00
276bfa05-fc1e-40f8-b638-3b89850e1983,usaf,1N2X1,Signals Intelligence Analyst,"[""SIGINT Analyst"",""Signals Analyst"",""Communications Analyst"",""Intelligence Specialist""]",,"[""Intelligence"",""Defense"",""Technology""]",[],,2026-02-16 22:55:20.512186+00
2770b3f2-8ef8-48b1-a2ab-034b914a020f,army,92A,Automated Logistical Specialist,"[""Inventory Specialist"",""Supply Chain Specialist"",""Warehouse Manager"",""Logistics Coordinator""]",,"[""Logistics"",""Warehousing"",""Retail"",""Manufacturing""]",[],,2026-02-16 22:55:20.512186+00
27bdf987-150b-40ae-84ba-4adfaacd8592,uscg,ME,Maritime Enforcement Specialist,"[""Law Enforcement Officer"",""Federal Agent"",""Security Specialist"",""Customs Inspector""]","[""33-3051.00"",""33-3021.00""]","[""Law Enforcement"",""Government"",""Security""]","[""Maritime Law Enforcement"",""Boarding Operations"",""Port Security"",""Investigations"",""Use of Force""]",Conducts maritime law enforcement and port security,2026-02-15 17:47:32.616746+00
27da0b3e-a533-4daf-90c9-3f4f3aeebb10,ussf,1N7X1,Space Intelligence Specialist,"[""Space Intelligence Analyst"",""Threat Analyst"",""ISR Analyst"",""Defense Analyst"",""Space Domain Awareness Analyst""]",,"[""Intelligence"",""Aerospace"",""Defense"",""Government""]",[],,2026-02-16 22:55:20.512186+00
285b0dda-9840-4e00-9d7c-98a088224c92,army,91S,Stryker Systems Maintainer,"[""Vehicle Systems Technician"",""Automotive Technician"",""Electronics Technician""]",,"[""Automotive"",""Defense"",""Transportation""]",[],,2026-02-16 22:55:20.512186+00
28759f3e-3884-41f7-84b9-53a14b1fa64e,army,91P,Artillery Mechanic,"[""Heavy Equipment Mechanic"",""Hydraulic Technician"",""Weapons Systems Technician""]",,"[""Defense"",""Manufacturing"",""Heavy Equipment""]",[],,2026-02-16 22:55:20.512186+00
