id,branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description,created_at
,navy,YN,Yeoman,"[""Administrative Assistant"",""Executive Assistant"",""Office Manager"",""Records Manager"",""Administrative Coordinator""]",,"[""Any Industry"",""Government"",""Legal"",""Healthcare""]",[],,
,uscg,IST,Intelligence Systems Technician,"[""Intelligence Systems Manager"",""IT Security Manager"",""Systems Administrator""]",,"[""Intelligence"",""Technology"",""Government""]",[],,
,navy,HM,Hospital Corpsman,"[""Medical Assistant"",""EMT/Paramedic"",""LPN/LVN"",""Phlebotomist"",""Medical Technician"",""Healthcare Administrator""]",,"[""Healthcare"",""Emergency Services"",""Government"",""Pharmaceutical""]",[],,
,ussf,5S0X1,Space Systems Operations,"[""Satellite Operations Specialist"",""Space Systems Operator"",""Mission Control Specialist"",""Ground Station Operator"",""Spacecraft Operations Engineer""]",,"[""Aerospace"",""Space"",""Telecommunications"",""Defense""]",[],,
,usaf,3D0X2,Cyber Systems Operations,"[""Systems Administrator"",""Network Engineer"",""Cloud Engineer"",""DevOps Engineer"",""IT Manager""]","[""15-1244.00"",""15-1231.00""]","[""Technology"",""Government"",""Defense"",""Cloud""]","[""Windows Server"",""Linux"",""Active Directory"",""VMware"",""Network Security"",""Cloud Computing"",""Scripting""]","Designs, installs, and supports cyber systems",
,army,89B,Ammunition Specialist,"[""Ammunition Handler"",""Ordnance Specialist"",""Inventory Specialist"",""Warehouse Specialist""]",,"[""Defense"",""Security"",""Warehousing""]",[],,
,usmc,3112,Distribution Management Specialist,"[""Distribution Manager"",""Logistics Coordinator"",""Inventory Manager""]",,"[""Logistics"",""Distribution"",""Retail""]",[],,
,army,15Q,Air Traffic Control Operator,"[""Air Traffic Controller"",""Flight Operations Specialist"",""Aviation Operations Manager""]",,"[""Aviation"",""Transportation"",""Government""]",[],,
,usmc,4612,Combat Correspondent,"[""Journalist"",""Reporter"",""Public Affairs Specialist""]",,"[""Media"",""News"",""Communications""]",[],,
,uscg,ELC,Electronics,"[""Electronics Manager"",""Communications Director"",""Technical Manager"",""Systems Manager""]",,"[""Electronics"",""Telecommunications"",""Technology""]",[],,
,usmc,6154,Helicopter Power Plants Mechanic CH-53,"[""Jet Engine Mechanic"",""Powerplant Technician"",""Turbine Mechanic""]",,"[""Aviation"",""Aerospace""]",[],,
,uscg,AMT,Aviation Maintenance Technician,"[""Aircraft Mechanic"",""A&P Mechanic"",""Aviation Maintenance Technician"",""Helicopter Mechanic""]",,"[""Aviation"",""Aerospace"",""Emergency Services""]",[],,
,uscg,AST,Aviation Survival Technician,"[""Search and Rescue Technician"",""Paramedic"",""Flight Medic"",""Emergency Medical Technician"",""SAR Swimmer""]",,"[""Emergency Services"",""Aviation"",""Healthcare"",""Oil & Gas""]",[],,
,army,68S,Preventive Medicine Specialist,"[""Public Health Technician"",""Environmental Health Technician"",""Health Inspector"",""Epidemiology Technician""]",,"[""Public Health"",""Government"",""Healthcare""]",[],,
,navy,CTM,Cryptologic Technician Maintenance,"[""Electronics Technician"",""Communications Technician"",""Network Technician"",""Systems Technician""]",,"[""Telecommunications"",""Technology"",""Defense"",""Government""]",[],,
,usaf,2M0X2,Missile and Space Systems Maintenance,"[""Missile Technician"",""Aerospace Technician"",""Mechanical Systems Technician""]",,"[""Defense"",""Aerospace""]",[],,
,ussf,1C6X2,Space Surveillance and Control,"[""Space Surveillance Analyst"",""Orbital Analyst"",""Space Tracking Specialist"",""Space Domain Awareness Operator"",""Conjunction Assessment Analyst""]",,"[""Aerospace"",""Defense"",""Government"",""Space""]",[],,
,navy,SW,Steelworker,"[""Structural Ironworker"",""Welder"",""Reinforcing Iron Worker"",""Steel Fabricator"",""Construction Supervisor""]",,"[""Construction"",""Manufacturing"",""Infrastructure""]",[],,
,army,25P,Microwave Systems Operator-Maintainer,"[""Microwave Technician"",""RF Technician"",""Communications Technician"",""Tower Technician""]",,"[""Telecommunications"",""Broadcasting"",""Technology""]",[],,
,navy,SB,Special Warfare Boat Operator,"[""Maritime Security Specialist"",""Security Operations Manager"",""Tactical Operations Coordinator"",""Defense Consultant""]","[""33-9032.00""]","[""Security"",""Defense"",""Government""]","[""Special Operations"",""Maritime Security"",""Small Boat Operations"",""Tactical Planning"",""Physical Security""]",Operates special warfare craft in support of NSW operations,
,usaf,3F5X1,Administration,"[""Administrative Assistant"",""Executive Assistant"",""Office Manager"",""Administrative Coordinator""]",,"[""Any Industry""]",[],,
,army,92L,Petroleum Laboratory Specialist,"[""Laboratory Technician"",""Quality Control Technician"",""Chemical Technician"",""Petroleum Analyst""]",,"[""Oil & Gas"",""Chemical"",""Laboratory""]",[],,
,army,13J,Fire Control Specialist,"[""Radar Technician"",""Electronics Technician"",""Systems Technician"",""Fire Control Technician""]",,"[""Defense"",""Aerospace"",""Electronics""]",[],,
,usmc,1341,Heavy Equipment Mechanic,"[""Heavy Equipment Mechanic"",""Diesel Mechanic""]",,"[""Construction"",""Mining"",""Transportation""]",[],,
,navy,AM,Aviation Structural Mechanic,"[""Aircraft Structural Mechanic"",""Composite Repair Technician"",""Sheet Metal Mechanic"",""Aviation Maintenance Technician""]","[""49-3011.00""]","[""Aviation"",""Aerospace"",""Manufacturing""]","[""Sheet Metal"",""Composite Repair"",""Corrosion Control"",""NDI"",""Structural Repair""]",Maintains aircraft structural and hydraulic systems,
,army,12W,Carpentry and Masonry Specialist,"[""Carpenter"",""Mason"",""Construction Supervisor"",""General Contractor""]",,"[""Construction"",""Facilities"",""Government""]",[],,
,navy,EOD,Explosive Ordnance Disposal,"[""EOD Technician"",""Bomb Squad Technician"",""IED Disposal Specialist"",""Hazardous Devices Technician"",""Safety Director""]","[""33-2011.00"",""33-9099.00""]","[""Law Enforcement"",""Defense"",""Government"",""Security""]","[""Explosive Ordnance Disposal"",""IED Defeat"",""HAZMAT"",""Risk Assessment"",""Diving"",""Robotics""]",Renders safe explosive ordnance and IEDs,
,uscg,CS,Culinary Specialist,"[""Chef"",""Kitchen Manager"",""Food Service Director"",""Executive Chef"",""Catering Manager""]",,"[""Food Service"",""Hospitality"",""Healthcare"",""Corporate""]",[],,
,usaf,4Y0X2,Dental Laboratory,"[""Dental Laboratory Technician"",""Dental Technician"",""Prosthodontic Technician""]",,"[""Dental"",""Healthcare"",""Manufacturing""]",[],,
,usmc,1316,Metal Worker,"[""Welder"",""Sheet Metal Worker"",""Metal Fabricator""]",,"[""Manufacturing"",""Construction""]",[],,
,uscg,SK,Storekeeper,"[""Supply Chain Specialist"",""Inventory Manager"",""Purchasing Agent"",""Logistics Coordinator"",""Warehouse Manager""]",,"[""Logistics"",""Retail"",""Manufacturing"",""Government""]",[],,
,army,18C,Special Forces Engineer Sergeant,"[""Construction Manager"",""Security Specialist"",""Project Manager"",""Operations Manager""]",,"[""Construction"",""Security"",""Consulting""]",[],,
,usaf,2R0X1,Maintenance Management Analysis,"[""Maintenance Analyst"",""Data Analyst"",""Operations Analyst"",""Maintenance Planner""]",,"[""Aviation"",""Manufacturing"",""Logistics""]",[],,
,army,92M,Mortuary Affairs Specialist,"[""Funeral Director"",""Mortician"",""Mortuary Technician"",""Embalmer""]",,"[""Funeral Services"",""Healthcare""]",[],,
,army,68P,Radiology Specialist,"[""Radiologic Technologist"",""X-Ray Technician"",""MRI Technologist"",""CT Technologist""]",,"[""Healthcare"",""Hospitals"",""Imaging Centers""]",[],,
,navy,SO,Special Warfare Operator (SEAL),"[""Security Consultant"",""Executive Protection Specialist"",""Security Contractor"",""Tactical Trainer"",""Operations Manager""]",,"[""Security"",""Consulting"",""Defense"",""Executive Protection""]",[],,
,usmc,0631,Network Administrator,"[""Network Administrator"",""Systems Administrator"",""Network Engineer""]",,"[""Technology"",""Any Industry""]",[],,
,navy,MC,Mass Communication Specialist,"[""Public Affairs Specialist"",""Journalist"",""Photographer"",""Videographer"",""Social Media Manager"",""Communications Specialist""]",,"[""Media"",""Marketing"",""Government"",""Corporate Communications""]",[],,
,navy,ET,Electronics Technician,"[""Electronics Technician"",""Field Service Engineer"",""Calibration Technician"",""Radar Technician"",""Avionics Technician"",""Telecommunications Technician""]","[""17-3023.00"",""49-2094.00""]","[""Defense"",""Telecommunications"",""Aerospace"",""Manufacturing""]","[""Electronics Repair"",""Radar Systems"",""Calibration"",""Soldering"",""Circuit Analysis"",""Troubleshooting"",""Oscilloscopes""]",Maintains and repairs electronic equipment and systems,
,ussf,1C6X1,Space Systems Operations,"[""Satellite Operator"",""Space Systems Analyst"",""Mission Operations Specialist"",""Spacecraft Controller"",""Satellite Systems Engineer"",""Ground Systems Operator""]",,"[""Aerospace"",""Space"",""Defense"",""Telecommunications"",""Government""]",[],,
,usmc,3521,Automotive Organizational Mechanic,"[""Automotive Technician"",""Fleet Mechanic"",""Diesel Mechanic""]","[""49-3023.00""]","[""Automotive"",""Transportation""]","[""Vehicle Maintenance"",""Diesel Repair"",""Diagnostics"",""Brake Systems"",""Electrical Systems""]",Maintains tactical and non-tactical vehicles,
,ussf,SF-SCO,Satellite Constellation Operator,"[""Constellation Manager"",""Fleet Operations Specialist"",""Satellite Network Controller""]",,"[""SpaceX"",""OneWeb"",""Amazon Kuiper"",""Telecommunications""]",[],,
,army,91E,Allied Trades Specialist,"[""Welder"",""Machinist"",""Metal Fabricator"",""Maintenance Mechanic""]",,"[""Manufacturing"",""Construction"",""Automotive""]",[],,
,usaf,2G0X1,Logistics Plans,"[""Logistics Planner"",""Supply Chain Analyst"",""Operations Planner"",""Logistics Manager""]",,"[""Logistics"",""Transportation"",""Manufacturing""]",[],,
,usmc,0317,Scout Sniper,"[""Security Specialist"",""Tactical Instructor"",""Law Enforcement Specialist""]",,"[""Security"",""Law Enforcement"",""Training""]",[],,
,usmc,0231,Intelligence Specialist,"[""Intelligence Analyst"",""Research Analyst"",""Threat Analyst""]",,"[""Intelligence"",""Defense"",""Finance"",""Consulting""]",[],,
,navy,RP,Religious Program Specialist,"[""Program Coordinator"",""Administrative Assistant"",""Events Coordinator"",""Community Outreach Specialist""]",,"[""Non-Profit"",""Religious Organizations"",""Education"",""Government""]",[],,
,usmc,6062,Aircraft Intermediate Level Electrical Mechanic,"[""Aircraft Electrician"",""Avionics Technician""]",,"[""Aviation"",""Aerospace""]",[],,
,army,68W,Combat Medic Specialist,"[""EMT"",""Paramedic"",""Emergency Medical Technician"",""Medical Assistant"",""ER Technician""]",,"[""Healthcare"",""Emergency Services"",""Hospitals""]",[],,
,usaf,3D0X1,Knowledge Operations Management,"[""Records Manager"",""Information Manager"",""Knowledge Manager"",""Document Control Specialist""]",,"[""Technology"",""Government"",""Any Industry""]",[],,
,usmc,4421,Legal Services Specialist,"[""Paralegal"",""Legal Assistant"",""Legal Secretary""]",,"[""Legal"",""Government""]",[],,
,navy,IS,Intelligence Specialist,"[""Intelligence Analyst"",""Research Analyst"",""Threat Analyst"",""Security Analyst"",""Business Intelligence Analyst""]",,"[""Intelligence"",""Defense"",""Government"",""Consulting"",""Finance""]",[],,
,usaf,2W0X1,Munitions Systems,"[""Munitions Specialist"",""Ordnance Handler"",""Warehouse Specialist"",""Inventory Specialist""]",,"[""Defense"",""Security"",""Warehousing""]",[],,
,ussf,SF-STM,Space Traffic Management,"[""Space Traffic Coordinator"",""Orbital Safety Analyst"",""Conjunction Assessment Specialist""]",,"[""FAA"",""Space Companies"",""Defense Contractors""]",[],,
,usaf,4T0X1,Medical Laboratory,"[""Medical Laboratory Technician"",""Clinical Laboratory Technician"",""Lab Technician""]",,"[""Healthcare"",""Laboratories"",""Hospitals""]",[],,
,usmc,7314,Unmanned Aerial Vehicle Commander,"[""UAV Program Manager"",""Drone Operations Manager"",""UAS Director""]",,"[""Aviation"",""Technology"",""Defense""]",[],,
,navy,AE,Aviation Electrician's Mate,"[""Avionics Technician"",""Aircraft Electrician"",""Electronics Technician"",""Electrical Systems Specialist""]",,"[""Aviation"",""Aerospace"",""Electronics"",""Defense""]",[],,
,army,92W,Water Treatment Specialist,"[""Water Treatment Operator"",""Wastewater Technician"",""Water Quality Technician"",""Utilities Operator""]",,"[""Utilities"",""Municipal"",""Environmental""]",[],,
,ussf,5C0X1,Command and Control Battle Management Operations,"[""Operations Center Manager"",""Command Center Operator"",""Battle Management Specialist"",""Space Operations Controller"",""Mission Director""]",,"[""Defense"",""Aerospace"",""Government"",""Emergency Management""]",[],,
,usmc,6156,Tiltrotor Power Plants Mechanic MV-22,"[""Powerplant Mechanic"",""Turbine Mechanic""]",,"[""Aviation"",""Aerospace""]",[],,
,army,17C,Cyber Operations Specialist,"[""Cyber Operations Analyst"",""Penetration Tester"",""Red Team Operator"",""Cybersecurity Engineer"",""SOC Analyst""]","[""15-1212.00""]","[""Cybersecurity"",""Defense"",""Technology"",""Finance""]","[""Offensive Cyber Operations"",""Penetration Testing"",""Network Defense"",""Malware Analysis"",""Python"",""Linux"",""SIEM""]",Conducts offensive and defensive cyberspace operations,
,usmc,7212,Low Altitude Air Defense Gunner,"[""Air Defense Operator"",""Radar Operator"",""Security Specialist""]",,"[""Defense"",""Security""]",[],,
,usmc,6483,Aircraft Firefighting and Rescue Specialist,"[""Aircraft Rescue Firefighter"",""ARFF Specialist"",""Airport Firefighter""]",,"[""Fire Service"",""Aviation""]",[],,
,usmc,0861,Fire Support Marine,"[""Operations Coordinator"",""Communications Specialist""]",,"[""Defense"",""Security""]",[],,
,usaf,3E0X2,Electrical Power Production,"[""Power Plant Operator"",""Generator Technician"",""Electrical Power Specialist""]",,"[""Utilities"",""Energy"",""Facilities""]",[],,
,usaf,2A5X2,Helicopter/Tiltrotor Aircraft Maintenance,"[""Helicopter Mechanic"",""Rotor Wing Technician"",""Aircraft Mechanic""]",,"[""Aviation"",""Emergency Services"",""Oil & Gas""]",[],,
,usmc,2673,Asian Pacific Cryptologic Linguist,"[""Chinese/Korean Linguist"",""Translator"",""Intelligence Analyst""]",,"[""Intelligence"",""Government"",""Translation""]",[],,
,usmc,6046,Aircraft Maintenance Administration,"[""Aviation Maintenance Administrator"",""Maintenance Planner"",""Records Manager"",""QA Administrator""]","[""43-6014.00"",""49-3011.00""]","[""Aviation"",""Aerospace""]","[""Maintenance Records"",""NALCOMIS"",""Aviation Compliance"",""QA"",""Configuration Management""]",Manages aircraft maintenance records and administration,
,usaf,3E6X1,Operations Management,"[""Operations Manager"",""Facilities Manager"",""Project Manager"",""Operations Coordinator""]",,"[""Facilities"",""Construction"",""Government""]",[],,
,army,25N,Nodal Network Systems Operator-Maintainer,"[""Network Administrator"",""Systems Administrator"",""Network Engineer"",""IT Specialist""]",,"[""Technology"",""Telecommunications""]",[],,
,navy,CTI,Cryptologic Technician (Interpretive),"[""Linguist"",""Intelligence Analyst"",""Foreign Language Analyst"",""Translator"",""Cultural Advisor""]","[""27-3091.00"",""13-1161.00""]","[""Intelligence"",""Government"",""Defense"",""Consulting""]","[""Foreign Language"",""Intelligence Analysis"",""Translation"",""SIGINT"",""Cultural Analysis"",""Report Writing""]",Conducts language analysis and intelligence operations,
,navy,GM,Gunner's Mate,"[""Weapons Specialist"",""Armorer"",""Security Specialist"",""Firearms Instructor"",""Ordnance Handler""]",,"[""Security"",""Law Enforcement"",""Defense"",""Manufacturing""]",[],,
,army,88M,Motor Transport Operator,"[""Transportation Manager"",""Fleet Manager"",""Logistics Coordinator"",""CDL Driver"",""Dispatch Supervisor""]","[""53-3032.00"",""11-3071.00"",""53-1047.00""]","[""Transportation"",""Logistics"",""Supply Chain""]","[""CDL"",""Fleet Management"",""Route Planning"",""Vehicle Maintenance"",""HAZMAT Transport"",""Convoy Operations""]",Operates military vehicles for personnel and cargo transport,
,usaf,1N2X1,Signals Intelligence Analyst,"[""SIGINT Analyst"",""Signals Analyst"",""Communications Analyst"",""Intelligence Specialist""]",,"[""Intelligence"",""Defense"",""Technology""]",[],,
,army,92A,Automated Logistical Specialist,"[""Inventory Specialist"",""Supply Chain Specialist"",""Warehouse Manager"",""Logistics Coordinator""]",,"[""Logistics"",""Warehousing"",""Retail"",""Manufacturing""]",[],,
,uscg,ME,Maritime Enforcement Specialist,"[""Law Enforcement Officer"",""Federal Agent"",""Security Specialist"",""Customs Inspector""]","[""33-3051.00"",""33-3021.00""]","[""Law Enforcement"",""Government"",""Security""]","[""Maritime Law Enforcement"",""Boarding Operations"",""Port Security"",""Investigations"",""Use of Force""]",Conducts maritime law enforcement and port security,
,ussf,1N7X1,Space Intelligence Specialist,"[""Space Intelligence Analyst"",""Threat Analyst"",""ISR Analyst"",""Defense Analyst"",""Space Domain Awareness Analyst""]",,"[""Intelligence"",""Aerospace"",""Defense"",""Government""]",[],,
,army,91S,Stryker Systems Maintainer,"[""Vehicle Systems Technician"",""Automotive Technician"",""Electronics Technician""]",,"[""Automotive"",""Defense"",""Transportation""]",[],,
,army,91P,Artillery Mechanic,"[""Heavy Equipment Mechanic"",""Hydraulic Technician"",""Weapons Systems Technician""]",,"[""Defense"",""Manufacturing"",""Heavy Equipment""]",[],,
,army,91B,Wheeled Vehicle Mechanic,"[""Automotive Mechanic"",""Fleet Mechanic"",""Diesel Technician"",""Service Technician""]",,"[""Automotive"",""Transportation"",""Fleet Management""]",[],,
,army,15G,Aircraft Structural Repairer,"[""Aircraft Structural Mechanic"",""Sheet Metal Mechanic"",""Composite Technician""]",,"[""Aviation"",""Aerospace"",""Manufacturing""]",[],,
,usmc,0689,Cyber Security Technician,"[""Cybersecurity Analyst"",""Security Technician"",""SOC Analyst""]",,"[""Cybersecurity"",""Technology"",""Finance""]",[],,
,army,31B,Military Police,"[""Police Officer"",""Security Officer"",""Corrections Officer"",""Loss Prevention Specialist"",""Federal Agent""]",,"[""Law Enforcement"",""Security"",""Government"",""Corporate Security""]",[],,
,navy,FCA,Fire Controlman (AEGIS),"[""AEGIS Systems Technician"",""Combat Systems Engineer"",""Weapons Systems Analyst"",""Defense Systems Integration Specialist""]","[""17-2199.00""]","[""Defense"",""Aerospace"",""Technology""]","[""AEGIS Combat System"",""Missile Systems"",""Radar"",""System Integration"",""Troubleshooting"",""C4I""]",Operates and maintains AEGIS weapons systems,
,usmc,0627,Satellite Communications Operator,"[""SATCOM Technician"",""Satellite Communications Operator"",""RF Technician""]",,"[""Telecommunications"",""Aerospace"",""Defense""]",[],,
,usaf,1C1X1,Air Traffic Control,"[""Air Traffic Controller"",""ATC Specialist"",""Flight Operations Manager""]",,"[""Aviation"",""Transportation"",""Government""]",[],,
,navy,ABF,Aviation Boatswains Mate (Fuels),"[""Fuel Systems Technician"",""Petroleum Distribution Manager"",""HAZMAT Coordinator"",""Fuel Quality Inspector""]","[""53-7072.00""]","[""Energy"",""Aviation"",""Oil & Gas""]","[""Fuel Systems"",""HAZMAT"",""Quality Control"",""Pipeline Operations"",""EPA Compliance""]",Operates aviation fuel systems and handles hazardous materials,
,usmc,3451,Financial Management Resource Analyst,"[""Budget Analyst"",""Financial Analyst"",""Accountant""]",,"[""Finance"",""Government"",""Corporate""]",[],,
,army,18E,Special Forces Communications Sergeant,"[""Network Engineer"",""Communications Specialist"",""IT Manager"",""Systems Administrator""]",,"[""Technology"",""Telecommunications"",""Defense""]",[],,
,usmc,7252,Approach Controller,"[""Air Traffic Controller"",""Approach Controller"",""TRACON Controller""]",,"[""Aviation"",""Government""]",[],,
,navy,CTN,Cryptologic Technician Networks,"[""Cybersecurity Analyst"",""Network Security Engineer"",""Information Security Specialist"",""SOC Analyst"",""Penetration Tester""]",,"[""Cybersecurity"",""Technology"",""Defense"",""Finance"",""Government""]",[],,
,navy,STS,Sonar Technician Submarine,"[""Sonar Technician"",""Acoustic Analyst"",""Submarine Electronics Technician""]",,"[""Defense"",""Marine Research"",""Oceanography""]",[],,
,usaf,3N0X2,Broadcast Journalist,"[""Broadcast Journalist"",""Reporter"",""News Producer"",""Multimedia Journalist""]",,"[""Media"",""Broadcasting"",""News""]",[],,
,usmc,0842,Field Artillery Radar Operator,"[""Radar Technician"",""Electronics Technician"",""Surveillance Operator""]",,"[""Defense"",""Aviation""]",[],,
,navy,MR,Machinery Repairman,"[""Machinist"",""CNC Operator"",""Maintenance Machinist"",""Tool and Die Maker"",""Machine Shop Supervisor""]",,"[""Manufacturing"",""Aerospace"",""Automotive"",""Defense""]",[],,
,navy,DC,Damage Controlman,"[""Firefighter"",""Fire Inspector"",""Emergency Response Specialist"",""HAZMAT Technician"",""Safety Manager"",""Industrial Firefighter"",""Fire Protection Engineer"",""Loss Prevention Specialist""]",,"[""Fire Service"",""Industrial Safety"",""Oil & Gas"",""Chemical"",""Manufacturing"",""Facilities Management""]",[],,
,army,19K,M1 Armor Crewman,"[""Heavy Equipment Operator"",""Security Specialist"",""Equipment Operator"",""Training Instructor""]",,"[""Security"",""Construction"",""Mining""]",[],,
,uscg,AVIA,Aviation,"[""Pilot"",""Aviation Manager"",""Flight Operations Director"",""Chief Pilot""]",,"[""Aviation"",""Corporate"",""Government""]",[],,
,usaf,1C0X2,Aviation Resource Management,"[""Aviation Scheduler"",""Operations Coordinator"",""Resource Manager"",""Flight Operations Specialist""]",,"[""Aviation"",""Transportation"",""Logistics""]",[],,
,army,12G,Quarrying Specialist,"[""Mining Equipment Operator"",""Quarry Worker"",""Blaster"",""Mining Supervisor""]",,"[""Mining"",""Construction"",""Aggregates""]",[],,
,usaf,1A8X1,Airborne Cryptologic Language Analyst,"[""Linguist"",""Intelligence Analyst"",""Language Specialist"",""Cryptologic Linguist""]",,"[""Intelligence"",""Government"",""Defense"",""Translation Services""]",[],,
,usaf,2A6X1,Aerospace Propulsion,"[""Jet Engine Mechanic"",""Turbine Technician"",""A&P Mechanic"",""Power Plant Technician""]","[""49-3011.00""]","[""Aviation"",""Aerospace"",""Energy""]","[""Jet Engine Maintenance"",""Turbine Repair"",""Test Cell Operations"",""Borescope Inspection"",""NDI""]","Inspects, repairs, and overhauls jet engines and related systems",
,army,74D,Chemical Biological Radiological and Nuclear Specialist,"[""HAZMAT Specialist"",""Environmental Health Specialist"",""CBRN Defense Specialist"",""Safety Manager"",""Emergency Manager""]","[""19-4099.00"",""33-2021.00""]","[""Defense"",""Government"",""Energy"",""Manufacturing""]","[""CBRN Defense"",""HAZMAT"",""Decontamination"",""Environmental Compliance"",""Risk Assessment"",""Emergency Response""]",Conducts CBRN defense operations and contamination management,
,usaf,1N3X1,Cryptologic Language Analyst,"[""Linguist"",""Translator"",""Language Analyst"",""Foreign Language Specialist""]",,"[""Intelligence"",""Government"",""Translation"",""International Business""]",[],,
,usmc,0111,Administrative Specialist,"[""Administrative Assistant"",""Office Manager"",""Executive Assistant""]",,"[""Any Industry""]",[],,
,army,94E,Radio and Communications Security Repairer,"[""Radio Technician"",""Communications Technician"",""Electronics Repair Technician""]",,"[""Telecommunications"",""Electronics"",""Defense""]",[],,
,uscg,AET,Aviation Electrical Technician,"[""Avionics Technician"",""Aircraft Electrician"",""Aviation Electronics Technician"",""A&P Mechanic""]",,"[""Aviation"",""Aerospace"",""Defense""]",[],,
,usaf,5J0X1,Paralegal,"[""Paralegal"",""Legal Assistant"",""Legal Secretary"",""Litigation Support Specialist""]",,"[""Legal"",""Government"",""Corporate""]",[],,
,usmc,3052,Packaging Specialist,"[""Packaging Specialist"",""Shipping Specialist""]",,"[""Logistics"",""Manufacturing"",""Warehousing""]",[],,
,navy,PR,Aircrew Survival Equipmentman,"[""Survival Equipment Technician"",""Parachute Rigger"",""Life Support Technician"",""Safety Equipment Specialist""]",,"[""Aviation"",""Aerospace"",""Defense"",""Skydiving""]",[],,
,army,35S,Signals Collector/Analyst,"[""Signals Analyst"",""SIGINT Specialist"",""Electronic Warfare Analyst""]",,"[""Intelligence"",""Defense"",""Aerospace""]",[],,
,usmc,7011,Expeditionary Airfield Systems Technician,"[""Airfield Lighting Technician"",""Electrical Technician""]",,"[""Aviation"",""Utilities""]",[],,
,usaf,4P0X1,Pharmacy,"[""Pharmacy Technician"",""Pharmaceutical Technician"",""Pharmacy Assistant""]",,"[""Healthcare"",""Pharmacy"",""Retail Pharmacy""]",[],,
,usaf,4R0X1,Diagnostic Imaging,"[""Radiologic Technologist"",""X-Ray Technician"",""MRI Technologist"",""CT Technologist""]",,"[""Healthcare"",""Hospitals"",""Imaging Centers""]",[],,
,navy,CTR,Cryptologic Technician Collection,"[""Intelligence Analyst"",""SIGINT Analyst"",""Collection Manager"",""Signals Analyst"",""Threat Analyst""]",,"[""Intelligence"",""Defense"",""Government"",""Consulting""]",[],,
,navy,GSE,Gas Turbine Systems Technician Electrical,"[""Gas Turbine Technician"",""Power Plant Technician"",""Turbine Mechanic"",""Plant Electrician"",""Generator Technician""]",,"[""Energy"",""Utilities"",""Oil & Gas"",""Manufacturing""]",[],,
,army,94H,"Test, Measurement, and Diagnostic Equipment Maintenance Support Specialist","[""Calibration Technician"",""TMDE Specialist"",""Metrology Technician"",""Quality Technician""]",,"[""Manufacturing"",""Aerospace"",""Defense"",""Quality Control""]",[],,
