id,industry,role_type,keywords,weight,created_at
,Finance/Banking,Insurance Underwriter,"[""Commercial Lines"",""Personal Lines"",""Reinsurance"",""Claims Analysis"",""Coverage Determination""]",high,
,Technology,Site Reliability Engineer,"[""Chaos Engineering"",""Load Testing"",""Capacity Planning"",""Automation"",""Python"",""Go""]",medium,
,Retail/Hospitality,Restaurant Manager,"[""Food Service Operations"",""Health Code Compliance"",""Staff Scheduling"",""Inventory Control"",""Cost Control""]",critical,
,Manufacturing,Quality Engineer,"[""Inspection"",""CMM"",""Metrology"",""First Article"",""PPAP"",""APQP"",""Control Plans""]",high,
,Manufacturing,Plant Manager,"[""Strategic Planning"",""KPI Management"",""Continuous Improvement"",""Environmental Compliance""]",medium,
,Technology,QA Engineer,"[""Quality Metrics"",""Process Improvement"",""Root Cause Analysis"",""UAT Coordination""]",low,
,Defense/Aerospace,Weapons Systems Specialist,"[""Configuration Management"",""Reliability Analysis"",""FMECA"",""Hazard Analysis""]",medium,
,Telecommunications,RF Engineer,"[""RF Design"",""Propagation"",""Antenna"",""LTE"",""5G"",""Drive Testing"",""Optimization"",""Coverage"",""Capacity"",""Interference"",""Spectrum"",""Modulation"",""Link Budget"",""Site Survey"",""Network Planning""]",critical,
,Retail/Hospitality,Store Manager,"[""Store Operations"",""Sales Management"",""P&L"",""Inventory Management"",""Visual Merchandising"",""Customer Service""]",critical,
,Retail/Hospitality,Operations Manager (Retail),"[""Operations Management"",""Process Improvement"",""Supply Chain"",""Distribution"",""Warehouse"",""Fulfillment""]",critical,
,Technology,Technical Writer,"[""Git"",""Static Site Generators"",""Swagger"",""OpenAPI"",""Developer Portals""]",medium,
,Telecommunications,Telecom Project Manager,"[""MS Project"",""Budget Management"",""Vendor Management"",""Permitting"",""Regulatory Compliance""]",high,
,Construction,Estimator,"[""Subcontractor Pricing"",""Vendor Quotes"",""Value Engineering"",""Scope Review""]",medium,
,Consulting,IT Consultant,"[""ERP"",""SAP"",""Oracle"",""Salesforce"",""Implementation"",""Requirements Gathering"",""Business Process"",""Data Migration"",""Testing"",""Training"",""Change Management"",""Configuration"",""Integration"",""SDLC"",""Agile""]",critical,
,Retail/Hospitality,Operations Manager (Retail),"[""WMS"",""OMS"",""ERP"",""Workforce Management"",""Labor Optimization"",""Scheduling""]",high,
,Marketing/Communications,PR Specialist,"[""Cision"",""Meltwater"",""Muck Rack"",""Event Planning"",""Press Conferences"",""Media Kit""]",high,
,Manufacturing,Production Manager,"[""Continuous Improvement"",""Root Cause Analysis"",""8D"",""Corrective Action"",""Preventive Action""]",medium,
,Healthcare,Health IT,"[""HIPAA Security"",""Meaningful Use"",""MIPS"",""Cybersecurity"",""Disaster Recovery""]",medium,
,Defense/Aerospace,Logistics Analyst,"[""Depot Maintenance"",""Field Support"",""Spare Parts"",""Warranty Management""]",low,
,Technology,Product Manager,"[""Agile"",""Scrum"",""Product Strategy"",""Roadmap"",""User Research"",""A/B Testing"",""Data Analytics"",""Stakeholder Management"",""Go-to-Market"",""PRD"",""JIRA"",""Prioritization"",""KPIs"",""User Stories"",""Cross-functional""]",critical,
,Technology,Product Manager,"[""SQL"",""Data Analysis"",""Wireframing"",""Prototyping"",""User Research"",""Usability Testing""]",medium,
,Government/Federal,Policy Analyst,"[""Cost-Benefit Analysis"",""Impact Assessment"",""Stakeholder Analysis"",""White Papers"",""Briefing Memos""]",high,
,Technology,Systems Administrator,"[""Windows Server"",""Linux"",""Active Directory"",""VMware"",""PowerShell"",""Bash"",""Backup"",""Monitoring"",""Patching"",""DNS"",""DHCP"",""Group Policy"",""Storage"",""Virtualization"",""Automation""]",critical,
,Consulting,HR Consultant,"[""HR Strategy"",""Organizational Design"",""Talent Management"",""Compensation"",""Benefits"",""HR Compliance""]",critical,
,Marketing/Communications,PR Specialist,"[""Thought Leadership"",""Ghostwriting"",""Internal Communications"",""Social Media""]",medium,
,Government/Federal,Policy Analyst,"[""Congressional Affairs"",""Public Comment"",""Interagency Coordination"",""FOIA""]",medium,
,Construction,Heavy Equipment Operator,"[""Excavator"",""Bulldozer"",""Loader"",""Grader"",""Crane"",""Backhoe"",""Forklift""]",critical,
,Technology,Systems Administrator,"[""Capacity Planning"",""Vendor Management"",""Budget Planning"",""Documentation""]",low,
,Human Resources,Compensation Analyst,"[""Compensation"",""Benchmarking"",""Market Data"",""Salary Survey"",""Job Evaluation"",""Pay Structure"",""Equity Analysis"",""FLSA"",""Total Rewards"",""Incentive Plans"",""Excel"",""HRIS"",""Budget"",""Compliance"",""Pay Bands""]",critical,
,Cybersecurity,AppSec Engineer,"[""Application Security"",""SAST"",""DAST"",""OWASP"",""Code Review"",""Vulnerability Management"",""DevSecOps"",""CI/CD"",""Threat Modeling"",""Secure Coding"",""Penetration Testing"",""Bug Bounty"",""Remediation"",""Training"",""Compliance""]",important,
,Marketing/Communications,Social Media Manager,"[""Social Media Strategy"",""Content Creation"",""Community Management"",""Social Media Analytics"",""Paid Social""]",critical,
,Logistics/Supply Chain,Logistics Manager,"[""Logistics Management"",""Supply Chain"",""Distribution"",""Warehousing"",""Transportation"",""Inventory Management"",""3PL""]",critical,
,Government,Emergency Manager,"[""Emergency Management"",""FEMA"",""ICS"",""NIMS"",""Disaster Recovery"",""Business Continuity"",""COOP"",""Exercise Planning"",""HSEEP"",""Hazard Mitigation"",""EOC"",""Public Warning"",""Evacuation"",""Shelter"",""After Action Report""]",critical,
,Logistics/Supply Chain,Customs Broker,"[""Customs Brokerage"",""Import/Export"",""HTS Classification"",""Customs Compliance"",""CBP"",""Trade Compliance""]",critical,
,Technology,Data Engineer,"[""Python"",""SQL"",""Spark"",""Airflow"",""Kafka"",""ETL"",""Data Pipeline"",""Snowflake"",""Databricks"",""Data Warehouse"",""Data Lake"",""dbt"",""Redshift"",""BigQuery"",""Schema Design""]",critical,
,Non-Profit,Volunteer Coordinator,"[""Event Planning"",""Community Outreach"",""Social Media"",""Partnerships""]",medium,
,Telecommunications,NOC Analyst,"[""Network Operations"",""Monitoring"",""Incident Management"",""Ticketing"",""Escalation"",""SNMP"",""Syslog""]",critical,
,Finance/Banking,Financial Planner,"[""Financial Planning"",""Retirement Planning"",""Investment Management"",""Tax Planning"",""Estate Planning"",""CFP""]",critical,
,Marketing/Communications,Social Media Manager,"[""Facebook"",""Instagram"",""LinkedIn"",""Twitter/X"",""TikTok"",""YouTube"",""Hootsuite"",""Sprout Social""]",high,
,Logistics,Inventory Analyst,"[""Inventory Management"",""Cycle Counting"",""ABC Analysis"",""Safety Stock"",""Reorder Point"",""ERP"",""SAP"",""WMS"",""Forecasting"",""Shrink"",""Obsolescence"",""Variance Analysis"",""SKU Rationalization"",""Fill Rate"",""Days on Hand""]",critical,
,Finance/Banking,Financial Analyst,"[""Bloomberg"",""Capital IQ"",""FactSet"",""PowerPoint"",""Presentation Skills"",""Data Visualization""]",high,
,Government/Federal,Project Manager (Federal),"[""Project Management"",""PMP"",""Earned Value Management"",""Schedule Management"",""Risk Management"",""Federal IT""]",critical,
,Telecommunications,RF Engineer,"[""ATOLL"",""Planet"",""MapInfo"",""Actix"",""TEMS"",""Cell Planning"",""Coverage Analysis""]",high,
,Manufacturing,Plant Manager,"[""ERP"",""Budget Management"",""Capital Expenditure"",""Workforce Planning"",""Union Relations""]",high,
,Healthcare,Pharmacist,"[""Pharmacy Information Systems"",""Inventory Management"",""Quality Assurance"",""Medication Safety""]",medium,
,Government/Federal,Policy Analyst,"[""Policy Analysis"",""Research"",""Regulatory Analysis"",""Legislation"",""Federal Register"",""Rulemaking""]",critical,
,Manufacturing,Lean Manufacturing Specialist,"[""Lean"",""Kaizen"",""5S"",""Value Stream Mapping"",""Kanban"",""Standard Work"",""TPM"",""Waste Reduction""]",critical,
,Consulting,Management Consultant,"[""Strategy"",""Business Analysis"",""Change Management"",""Stakeholder Management"",""Process Improvement""]",critical,
,Logistics/Supply Chain,Transportation Manager,"[""Sustainability"",""Carbon Footprint"",""Last-Mile Delivery"",""Reverse Logistics""]",low,
,Healthcare,Health Information Manager,"[""Medical Coding"",""ICD-10"",""CPT"",""HIPAA"",""EHR"",""Epic"",""Health Information Exchange"",""Data Analytics"",""Compliance"",""Revenue Cycle"",""Clinical Documentation"",""Privacy"",""Audit"",""Healthcare Analytics"",""Interoperability""]",critical,
,Hospitality,Hotel Manager,"[""Hotel Operations"",""Revenue Management"",""Guest Satisfaction"",""Front Office"",""Housekeeping"",""Food and Beverage"",""PMS"",""Opera"",""Budgeting"",""Staff Management"",""AAA"",""Quality Assurance"",""Group Sales"",""OTA"",""Loyalty""]",critical,
,Retail/Hospitality,Restaurant Manager,"[""POS Systems"",""Food Safety"",""ServSafe"",""Menu Development"",""Vendor Management""]",high,
,Logistics/Supply Chain,Procurement Specialist,"[""SAP Ariba"",""Coupa"",""Oracle Procurement"",""Category Management"",""Supplier Development""]",high,
,Consulting,Operations Consultant,"[""Value Stream Mapping"",""Kaizen"",""Process Mining"",""Data Analytics"",""KPI Development""]",high,
,Finance/Banking,Bank Manager,"[""Market Analysis"",""Budgeting"",""Facility Management"",""Vendor Relations""]",low,
,Manufacturing,Production Manager,"[""Budget Management"",""Capital Projects"",""Union Relations"",""Change Management""]",low,
,Technology,Technical Writer,"[""Information Architecture"",""Content Strategy"",""User-Centered Writing"",""Localization""]",high,
,Government/Federal,Security Specialist,"[""Physical Security"",""Personnel Security"",""Industrial Security"",""SCIF Management"",""Access Control""]",high,
,Technology,Site Reliability Engineer,"[""Documentation"",""Runbooks"",""On-call Rotation"",""Blameless Culture""]",low,
,Finance/Banking,Investment Banker,"[""Pitch Books"",""Deal Structuring"",""Leveraged Finance"",""Syndication"",""Bloomberg"",""Capital IQ""]",high,
,Defense/Aerospace,Logistics Analyst,"[""Logistics Support Analysis"",""ILS"",""Reliability"",""Maintainability"",""Supportability"",""Supply Chain""]",critical,
,Retail/Hospitality,Merchandiser,"[""Space Planning"",""Category Management"",""Vendor Relations"",""Promotional Displays"",""Seasonal Planning""]",high,
,Environmental,Safety Specialist,"[""EHS"",""OSHA"",""Safety Program"",""Risk Assessment"",""Incident Investigation"",""Training"",""PPE"",""Industrial Hygiene"",""Emergency Response"",""Compliance"",""Audit"",""Behavior-Based Safety"",""Workers Compensation"",""Ergonomics"",""JSA""]",critical,
,Education,Curriculum Developer,"[""Professional Development"",""Teacher Training"",""Research"",""Data Analysis""]",low,
,Education,School Administrator,"[""Grant Writing"",""Fundraising"",""Facility Management"",""Crisis Management""]",low,
,Technology,UI/UX Designer,"[""Figma"",""Sketch"",""Adobe XD"",""Wireframing"",""Prototyping"",""User Research"",""Usability Testing"",""Design Systems"",""Accessibility""]",medium,
,Construction,Safety Manager,"[""OSHA"",""Safety Program"",""Incident Investigation"",""Safety Training"",""PPE"",""HAZCOM"",""Fall Protection"",""Confined Space"",""Lockout/Tagout"",""Safety Audit"",""Workers Compensation"",""Risk Assessment"",""Safety Culture"",""Compliance"",""Emergency Response""]",critical,
,Construction,HVAC Technician,"[""HVAC"",""Refrigeration"",""Air Conditioning"",""Heating"",""Ventilation"",""EPA 608"",""System Commissioning""]",critical,
,Defense/Aerospace,Satellite Operations,"[""Anomaly Resolution"",""Contingency Planning"",""On-Orbit Testing"",""Maneuver Planning""]",medium,
,Finance/Banking,Insurance Underwriter,"[""Risk Assessment"",""Underwriting Guidelines"",""Policy Analysis"",""Loss Ratio"",""Premium Calculation"",""Actuarial Data""]",critical,
,Marketing/Communications,Content Creator,"[""Project Management"",""Freelancer Management"",""Editorial Guidelines"",""Style Guides""]",low,
,Consulting,Management Consultant,"[""PowerPoint"",""Excel"",""Data Analysis"",""Market Research"",""Financial Analysis"",""Benchmarking""]",high,
,Healthcare,Clinical Research,"[""Clinical Trials"",""CRF"",""EDC Systems"",""Regulatory Submissions"",""FDA"",""Study Coordination""]",high,
,Energy,Power Plant Operator,"[""Power Generation"",""Turbines"",""Boilers"",""Control Room"",""NERC"",""Safety"",""Environmental Compliance"",""Preventive Maintenance"",""DCS"",""SCADA"",""Heat Rate"",""Efficiency"",""Emergency Procedures"",""Water Treatment"",""Electrical Systems""]",critical,
,Government/Federal,IT Specialist (GS),"[""NIST"",""FISMA"",""FedRAMP"",""RMF"",""ATO"",""Security Controls"",""System Administration""]",critical,
,Transportation,CDL Driver,"[""CDL"",""Pre-Trip"",""DOT"",""HOS"",""ELD"",""Hazmat"",""Tanker"",""Doubles/Triples"",""Defensive Driving"",""Load Securement"",""Bill of Lading"",""Customer Service"",""Navigation"",""Safety"",""Maintenance""]",critical,
,Real Estate,Building Engineer,"[""Building Systems"",""HVAC"",""Electrical"",""Plumbing"",""Fire Protection"",""BAS"",""Energy Management"",""Preventive Maintenance"",""Work Orders"",""Vendor Management"",""Compliance"",""Inspections"",""Emergency Response"",""Budget"",""Safety""]",critical,
,Government/Federal,Grants Management Specialist,"[""Grants Management"",""Federal Grants"",""OMB Uniform Guidance"",""Single Audit"",""Grants.gov"",""Compliance""]",critical,
,Energy/Utilities,Safety Manager (Energy),"[""Auditing"",""Training"",""PPE Programs"",""Contractor Safety"",""DOT Compliance""]",medium,
,Defense/Aerospace,Intelligence Officer,"[""Briefing"",""Report Writing"",""Critical Thinking"",""Foreign Language""]",low,
,Finance/Banking,Compliance Officer,"[""Board Reporting"",""Vendor Due Diligence"",""Ethics Program"",""Whistleblower""]",low,
,Technology,Business Analyst,"[""Requirements Gathering"",""Use Cases"",""User Stories"",""Process Mapping"",""Wireframes"",""UAT"",""JIRA"",""Confluence"",""SQL"",""Data Analysis"",""Stakeholder Management"",""Gap Analysis"",""BRD"",""Visio"",""Agile""]",important,
,Government/Federal,Contract Specialist,"[""FPDS"",""SAM.gov"",""CPARS"",""Contract Types"",""IDIQ"",""BPA"",""Task Orders"",""Modifications""]",high,
,Retail/Hospitality,Restaurant Manager,"[""Customer Satisfaction"",""Upselling"",""Labor Cost"",""Training"",""Catering""]",medium,
,Logistics,Transportation Manager,"[""Fleet Management"",""DOT Compliance"",""Route Optimization"",""Freight"",""TMS"",""Carrier Management"",""Cost per Mile"",""Last Mile Delivery"",""Cross-Docking"",""Load Planning"",""CDL"",""HOS"",""Dispatch"",""Fuel Management"",""Vehicle Maintenance""]",critical,
,Technology,Product Manager,"[""OKRs"",""Executive Communication"",""Cross-functional Leadership"",""Prioritization Frameworks""]",low,
,Finance/Banking,Insurance Underwriter,"[""Broker Relations"",""Portfolio Management"",""Market Analysis"",""Training""]",low,
,Non-Profit,Case Manager,"[""Database Management"",""Outcome Tracking"",""Progress Notes"",""Referrals"",""Follow-Up""]",medium,
,Energy/Utilities,Safety Manager (Energy),"[""OSHA"",""Safety Management"",""Incident Investigation"",""Root Cause Analysis"",""BBS"",""Safety Culture""]",critical,
,Manufacturing,Safety Manager,"[""OSHA"",""Safety Programs"",""Incident Investigation"",""Risk Assessment"",""JSA"",""PPE"",""Safety Training""]",critical,
,Manufacturing,Safety Manager,"[""OSHA 30"",""OSHA 300 Log"",""Workers Compensation"",""Ergonomics"",""Industrial Hygiene""]",high,
,Logistics/Supply Chain,Procurement Specialist,"[""Market Intelligence"",""Risk Management"",""Sustainability"",""Diversity Sourcing""]",low,
,Cybersecurity,Security Architect,"[""Zero Trust"",""Cloud Security"",""Network Architecture"",""Identity Management"",""PKI"",""Encryption"",""NIST"",""SOC 2"",""ISO 27001"",""Risk Framework"",""Threat Modeling"",""Security Design"",""IAM"",""SASE"",""Micro-segmentation""]",critical,
,Technology,Technical Project Manager,"[""Project Management"",""Agile"",""Scrum"",""JIRA"",""Stakeholder Management"",""Budget"",""Timeline"",""Risk"",""Requirements"",""Sprint Planning"",""Release Management"",""Cross-functional"",""Vendor Management"",""Roadmap"",""Documentation""]",critical,
,Construction,Estimator,"[""Bluebeam"",""PlanSwift"",""On-Screen Takeoff"",""Excel"",""Timberline"",""Sage""]",high,
,Technology,Software Engineer,"[""Technical Documentation"",""Mentoring"",""Pair Programming"",""Open Source"",""Continuous Learning""]",low,
,Construction,Superintendent,"[""Blueprint Reading"",""OSHA 30"",""Subcontractor Coordination"",""Daily Logs"",""Punch List Management""]",high,
,Healthcare,Medical Assistant,"[""Patient Intake"",""Vital Signs"",""Phlebotomy"",""EHR"",""Scheduling"",""Insurance Verification"",""Injections"",""Lab Tests"",""HIPAA"",""Patient Education"",""Clinical Documentation"",""CPR"",""BLS"",""Infection Control"",""Medical Terminology""]",critical,
,Technology,Systems Administrator,"[""Linux"",""Windows Server"",""VMware"",""Active Directory"",""Group Policy"",""Scripting"",""Bash"",""PowerShell"",""Monitoring""]",medium,
,Healthcare,Medical Technologist,"[""Laboratory"",""Hematology"",""Microbiology"",""Chemistry"",""Blood Bank"",""Quality Control"",""CLIA"",""CAP"",""Specimen Processing"",""Urinalysis"",""Phlebotomy"",""Lab Information Systems"",""GMP"",""FDA Compliance"",""Instrumentation""]",critical,
,Energy/Utilities,Grid Operations,"[""Grid Operations"",""Energy Management System"",""NERC"",""Bulk Electric System"",""System Operator Certification""]",critical,
,Marketing/Communications,Brand Manager,"[""Product Marketing"",""Packaging"",""Go-to-Market"",""P&L Management"",""Agency Management""]",high,
,Construction,Project Manager,"[""Construction Management"",""Scheduling"",""Budgeting"",""Subcontractor Management"",""Blueprint Reading"",""OSHA"",""Safety"",""Permitting"",""Quality Control"",""Estimating"",""P6"",""MS Project"",""RFI"",""Change Orders"",""Closeout""]",critical,
,Government/Federal,Contract Specialist,"[""FAR"",""DFAR"",""Federal Acquisition"",""Contract Administration"",""Source Selection"",""Cost Analysis"",""Negotiation""]",critical,
,Education,Special Education Teacher,"[""IEP Development"",""Special Education Law"",""IDEA"",""Behavior Intervention Plans"",""Accommodations"",""Modifications""]",critical,
,Technology,UI/UX Designer,"[""HTML"",""CSS"",""Responsive Design"",""Mobile-First Design"",""Design Thinking""]",critical,
,Real Estate,PropTech Specialist,"[""Property Technology"",""Smart Building"",""IoT"",""Building Automation"",""Energy Management"",""Occupancy Sensors"",""Access Control"",""Tenant Experience"",""Data Analytics"",""Integration"",""Sustainability"",""Innovation"",""Vendor Management"",""ROI"",""Implementation""]",important,
,Logistics/Supply Chain,Transportation Manager,"[""Rate Negotiation"",""Claims Management"",""Performance Metrics"",""Compliance""]",medium,
,Construction,Project Manager (Construction),"[""Project Management"",""PMP"",""Construction Management"",""Scheduling"",""Budget Management"",""Subcontractor Management""]",critical,
,Healthcare,Clinical Research,"[""SAS"",""SPSS"",""Statistical Analysis"",""Literature Review"",""Manuscript Preparation""]",medium,
,Marketing/Communications,Marketing Manager,"[""Marketing Strategy"",""Brand Management"",""Campaign Management"",""Budget Management"",""Marketing Analytics"",""ROI""]",critical,
,Government,Budget Analyst,"[""Federal Budgeting"",""PPBE"",""POM"",""Appropriations"",""Obligation"",""Execution"",""Congressional Budget"",""OMB"",""Financial Management"",""Forecasting"",""Variance Analysis"",""Fiscal Law"",""Continuing Resolution"",""Reprogramming"",""Budget Justification""]",important,
,Finance/Banking,Auditor,"[""GAAS"",""PCAOB"",""Internal Controls"",""Risk Assessment"",""Substantive Testing"",""Sampling"",""CPA""]",critical,
,Finance/Banking,Financial Analyst,"[""Financial Modeling"",""Excel"",""Valuation"",""DCF"",""Financial Statements"",""Budgeting"",""Forecasting"",""Variance Analysis""]",critical,
,Healthcare,Physician Assistant,"[""Patient Assessment"",""Diagnosis"",""Treatment Plans"",""Prescribing"",""Procedures"",""BLS"",""ACLS"",""PALS"",""History and Physical""]",critical,
,Technology,IT Support,"[""Customer Service"",""SLA Management"",""Escalation"",""Knowledge Base"",""Documentation""]",low,
,Consulting,Data Consultant,"[""Data Strategy"",""Data Governance"",""Data Quality"",""Master Data"",""Analytics"",""BI"",""ETL"",""Cloud"",""Databricks"",""Snowflake"",""Power BI"",""Tableau"",""SQL"",""Python"",""Stakeholder Management""]",critical,
,Energy/Utilities,Electrical Engineer,"[""AutoCAD"",""ETAP"",""SKM"",""PSCAD"",""MATLAB"",""NEC"",""NESC"",""IEEE Standards""]",high,
,Healthcare,Physician Assistant,"[""EMR"",""Epic"",""Cerner"",""Referral Management"",""Lab Interpretation"",""Imaging Orders"",""Differential Diagnosis""]",high,
,Telecommunications,Network Engineer,"[""Networking"",""TCP/IP"",""BGP"",""OSPF"",""MPLS"",""Cisco"",""Juniper"",""Routing"",""Switching""]",critical,
,Non-Profit,Grant Writer,"[""Grant Writing"",""Proposal Development"",""Research"",""Budget Narrative"",""LOI"",""Federal Grants"",""Foundation Grants""]",critical,
,Construction,Project Manager (Construction),"[""Contract Administration"",""Risk Management"",""Quality Control"",""Safety"",""OSHA 30""]",medium,
,Manufacturing,Lean Manufacturing Specialist,"[""Change Management"",""Training"",""Visual Management"",""Poka-Yoke"",""SMED""]",medium,
,Healthcare,Health IT,"[""Epic"",""Cerner"",""EHR Implementation"",""HL7"",""FHIR"",""Interoperability"",""Clinical Informatics""]",critical,
,Construction,Electrician,"[""Blueprint Reading"",""Troubleshooting"",""PLC"",""VFD"",""Fire Alarm"",""Low Voltage""]",high,
,Technology,Database Administrator,"[""High Availability"",""Clustering"",""Sharding"",""Partitioning"",""Index Optimization"",""Query Optimization""]",medium,
,Education,Educational Technology Specialist,"[""EdTech"",""LMS"",""Canvas"",""Blackboard"",""Google Classroom"",""Integration"",""Accessibility"",""Digital Literacy"",""Professional Development"",""Support"",""Troubleshooting"",""Assessment"",""Analytics"",""Multimedia"",""Innovation""]",important,
,Energy,Renewable Energy Specialist,"[""Solar"",""Wind"",""Energy Storage"",""Grid Integration"",""Permitting"",""Environmental Impact"",""Project Development"",""PPA"",""Interconnection"",""Net Metering"",""FERC"",""State Incentives"",""ROI Analysis"",""Sustainability"",""Carbon Reduction""]",critical,
,Construction,BIM Coordinator,"[""BIM"",""Revit"",""Navisworks"",""Clash Detection"",""3D Modeling"",""Coordination"",""LOD"",""Standards"",""Workflows"",""Templates"",""Training"",""Quality Control"",""Documentation"",""Autodesk"",""Construction""]",important,
,Government/Federal,Security Specialist,"[""FOCI"",""Foreign Travel Briefings"",""Security Incident Reports"",""Visitor Control""]",low,
,Construction,Safety Manager (Construction),"[""OSHA 30"",""Safety Programs"",""Incident Investigation"",""Safety Training"",""JSA"",""PPE"",""Fall Protection""]",critical,
,Manufacturing,Industrial Engineer,"[""Time Studies"",""Work Measurement"",""Facility Layout"",""Ergonomics"",""Simulation"",""Lean"",""Six Sigma""]",critical,
,Non-Profit,Grant Writer,"[""Grants.gov"",""Foundation Directory"",""Prospect Research"",""Funder Relations"",""Reporting""]",high,
,Energy/Utilities,Environmental Specialist,"[""Environmental Impact Assessment"",""Remediation"",""Air Quality"",""Water Quality"",""Waste Management""]",high,
,Non-Profit,Program Manager (Non-Profit),"[""Program Management"",""Grant Management"",""Outcomes Measurement"",""Logic Models"",""Theory of Change"",""Stakeholder Engagement""]",critical,
,Logistics/Supply Chain,Inventory Control Specialist,"[""Variance Analysis"",""Shrinkage Reduction"",""Obsolescence Management"",""Demand Planning""]",medium,
,Technology,UI/UX Designer,"[""Information Architecture"",""Interaction Design"",""Visual Design"",""Typography"",""Color Theory""]",high,
,Manufacturing,Supply Chain Manager,"[""Contract Negotiation"",""Supplier Development"",""Cost Reduction"",""Spend Analysis""]",medium,
,Healthcare,Occupational Therapist,"[""Documentation"",""Insurance Authorization"",""Outcome Measures"",""Evidence-Based Practice""]",medium,
,Marketing/Communications,Digital Marketing Manager,"[""Digital Marketing"",""PPC"",""Display Advertising"",""Email Marketing"",""Marketing Automation"",""Conversion Rate Optimization""]",critical,
,Manufacturing,Industrial Engineer,"[""Project Management"",""Presentations"",""Cross-functional Collaboration"",""Training""]",low,
,Construction,Electrician,"[""Electrical"",""Wiring"",""Conduit"",""Panel"",""Circuit Breaker"",""NEC"",""Blueprint Reading"",""Troubleshooting"",""Motor Control"",""PLC"",""Lighting"",""Fire Alarm"",""Low Voltage"",""Grounding"",""Safety""]",critical,
