id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at
064622e8-c1c8-4e5c-a7bd-daed1b32a0e8,Lt Col (Lieutenant Colonel),Senior Director,usaf,Rank,,,2026-02-16 22:55:28.448755+00
064c10ce-952d-4e36-b6e5-b38a763201b2,squadron,operational unit of 100-300 employees,general,Unit Type,,,2026-02-16 22:55:39.300706+00
068bb23a-87e5-4b2c-8ad2-ca9f8ba21bd1,TBS,The Basic School / officer training,general,Acronym,,,2026-02-16 22:55:28.448755+00
06a94b64-1619-4a3c-ad81-0b1652bcf27f,SA (Seaman Apprentice),Junior Staff Member,uscg,Rank,,,2026-02-16 22:55:28.448755+00
06b7000f-0d45-4af4-a171-59e98c5f6689,voucher,payment authorization / reimbursement document,financial,Financial,,,2026-02-18 14:03:12.64537+00
06c2c50a-330c-41a1-bc76-b57387528821,PPBE,"planning, programming, budgeting, and execution / budget lifecycle process",financial,Financial,,,2026-02-18 14:03:12.64537+00
06d438b1-8183-4ad4-98f2-0cfa36fc79b7,overseas,international / foreign location,general,Term,,,2026-02-16 22:55:28.448755+00
06e4f89c-d238-4a76-88ad-cae8b6075c94,DANTES,Defense Activity for Non-Traditional Education Support,general,Acronym,,,2026-02-16 22:55:39.300706+00
06e84349-8969-4ce6-94d2-da711801e25a,division,department / team / work group,general,Term,,,2026-02-16 22:55:28.448755+00
06e88c3a-134e-4d82-8a29-d92e6f83083d,SDO,Staff Duty Officer / on-call manager,general,Acronym,,,2026-02-16 22:55:39.300706+00
070d425f-a6b3-4e60-ba61-c2ec0c3f0482,PACE plan,primary alternate contingency emergency communication plan,general,planning,,,2026-02-15 17:47:32.616746+00
073ec32e-337b-480f-9133-d17619ce2b34,counseled,provided performance guidance to,general,leadership,,,2026-02-15 17:46:34.592483+00
0796f73f-bd2b-4c2c-9a95-3256a432b75a,ETS,Expiration Term of Service / end of contract,general,Acronym,,,2026-02-16 22:55:28.448755+00
07a33abd-c4a7-497d-9d69-9a3571eca70c,recall,emergency callback / urgent summons,general,Term,,,2026-02-16 22:55:28.448755+00
07ada0ed-bc52-44b1-8f58-97aacdecdacd,SA (Seaman Apprentice),Junior Staff Member,uscg,Rank,,,2026-02-16 22:55:39.300706+00
07b68180-5b34-4e81-bfd5-0f26a8e2050a,PWS,performance work statement / deliverables specification,logistics,Acquisition,,,2026-02-18 14:03:12.64537+00
07c2e647-8263-4287-8a4c-5db57290b867,NCOIC,Non-Commissioned Officer in Charge / shift supervisor,general,Acronym,,,2026-02-16 22:55:28.448755+00
07dbbb8b-ce3f-4291-bbd0-c7cfe5c625e8,PMO,Provost Marshal Office / military police HQ,general,Acronym,,,2026-02-16 22:55:39.300706+00
07e21bc6-faf1-4159-8bb6-b2cf9ca2b323,UIC,Unit Identification Code,general,Acronym,,,2026-02-16 22:55:28.448755+00
07e2b401-5654-4d68-8521-42aa940fe5f2,discharge review,employment separation appeal,legal,Legal,,,2026-02-18 14:03:12.64537+00
0817757c-ede7-490e-ab95-dc563facf536,1LT (First Lieutenant),Manager,army,Rank,,,2026-02-16 22:55:28.448755+00
08663ca5-b602-4d0b-aedd-953b07f2b698,NMC,not mission capable / non-operational / down for maintenance,aviation,Aviation,,,2026-02-18 14:03:12.64537+00
086bf498-2902-48f0-9569-0ca1da2a3b6a,LCDR (Lieutenant Commander),Director / Senior Department Head,navy,Rank,,,2026-02-16 22:55:28.448755+00
087b773a-f523-4db1-b0dc-f2cae115ff8b,LPO,team lead,navy,leadership,Served as LPO for 15 personnel,Served as team lead for 15 personnel,2026-02-15 17:46:34.592483+00
0880c0b4-4235-49df-bddc-f620299683af,EP,Top Performer / Early Promote,navy,evaluation,,,2026-02-17 04:35:18.795826+00
08c57c55-8b9e-4c60-8147-8ef00bc6bf82,dental readiness,dental fitness status / oral health compliance,medical,Medical,,,2026-02-18 14:03:12.64537+00
08f3e49c-6fc9-4083-8ecc-b7b12e484a30,in the fleet,in field operations / working,general,Term,,,2026-02-16 22:55:28.448755+00
09238cac-6eba-4f3b-b0bd-fc62f753bc2b,A school,initial technical training,navy,training,,,2026-02-15 17:47:32.616746+00
092be564-4cb1-4634-a88b-ccb670dcc110,orders,assignment notification / transfer paperwork,general,Term,,,2026-02-16 22:55:39.300706+00
09575e02-6bc7-4f5b-8160-c47b430fac8b,NKO,Navy Knowledge Online / e-learning platform,general,Acronym,,,2026-02-16 22:55:28.448755+00
0980a061-0fa6-4405-8ca7-3e3dee6b7324,page 2,emergency contact and dependency record,personnel,Personnel,,,2026-02-18 14:03:12.64537+00
09e473c4-e1d6-4c60-bd56-40e0e384d068,combat medic,emergency medical technician / field paramedic,medical,Medical,,,2026-02-18 14:03:12.64537+00
09ff4652-efa4-40c5-83eb-f4f8dbfedec0,FOC,full operating capability / fully operational status,cyber,Cyber,,,2026-02-18 14:03:12.64537+00
0a47b2b8-29fb-4739-900b-ed59f43d5907,administrative remarks,official personnel notes / employee file entries,personnel,Personnel,,,2026-02-18 14:03:12.64537+00
0a5ae356-971a-4d46-95e7-5f6e1f61ef69,kit,equipment / tools / supplies,general,Term,,,2026-02-16 22:55:28.448755+00
0a5ff6ee-7f3f-4d8c-8064-ce701cd8588a,stand down,pause operations / rest period,general,Term,,,2026-02-16 22:55:39.300706+00
0a60c773-f926-4ec3-9f7a-9bd51a456c52,VA,Veterans Affairs / veterans services,general,Acronym,,,2026-02-16 22:55:39.300706+00
0a75b75c-c9b4-4e20-95c2-a63fb01593ce,USERRA,Uniformed Services Employment and Reemployment Rights Act,general,Acronym,,,2026-02-16 22:55:28.448755+00
0a8c5180-efaa-4d07-9c57-bc45bfcdfc43,SN (Seaman),Staff Member,uscg,Rank,,,2026-02-16 22:55:39.300706+00
0a8e4f5a-2494-45d0-8fb3-80c2ea6d1f4c,2d Lt (Second Lieutenant),Junior Manager,usaf,Rank,,,2026-02-16 22:55:39.300706+00
0ac51355-09f7-47f5-a826-14f33776efaa,assigned strength,current headcount / actual staffing,personnel,Personnel,,,2026-02-18 14:03:12.64537+00
0ade3a95-e425-4b74-8cab-86b50b3920fb,combat ready,fully operational,general,operations,,,2026-02-15 17:46:34.592483+00
0b058815-9d7c-4356-94cd-29ce548f000c,sick bay,medical clinic / health services,general,Term,,,2026-02-16 22:55:39.300706+00
0b49a080-123e-403e-857d-fb15059c6d04,MISO,military information support operations / strategic messaging,general,Special Operations,,,2026-02-18 14:03:12.64537+00
0b5053a7-76ad-4fe7-95a9-a471689a927a,deployment health,occupational health screening / fitness-for-duty assessment,medical,Medical,,,2026-02-18 14:03:12.64537+00
0b594156-ad7d-4721-8aa0-3587ed3fddb9,detailing,assignment management / personnel placement,personnel,Personnel,,,2026-02-18 14:03:12.64537+00
0b5ee06a-43b3-4dd9-8d30-1aa29c53ffa2,CINC,Commander in Chief,general,Acronym,,,2026-02-16 22:55:28.448755+00
0b927a83-7b89-4d56-97ad-735c3919aca7,ship,vessel / facility / organization,general,Term,,,2026-02-16 22:55:28.448755+00
0bb7de72-38c3-4a38-9434-fd9dbfa56da4,promotion,advancement / career progression,general,Term,,,2026-02-16 22:55:28.448755+00
0bd21f18-16cb-497e-93e5-c311b5290e1e,detail,temporary assignment / special project,general,Term,,,2026-02-16 22:55:28.448755+00
0c04dc6a-ec36-44b5-a730-5a0ef940fc6f,IRR,Individual Ready Reserve,general,Acronym,,,2026-02-16 22:55:39.300706+00
0c2ae802-bc27-4d66-84fa-6c34f3345268,CONUS,domestic operations,general,operations,,,2026-02-15 17:46:34.592483+00
0c84a55b-4781-4414-897c-635a9c94ae5a,RDC,Recruit Division Commander / drill instructor,general,Acronym,,,2026-02-16 22:55:39.300706+00
0cae9fc5-2212-4655-b564-56b38c8b71d3,FRG,Family Readiness Group,general,Acronym,,,2026-02-16 22:55:28.448755+00
0cde78fc-ce24-41fe-9053-87772bf12e0e,UW,unconventional warfare / irregular warfare,general,Special Operations,,,2026-02-18 14:03:12.64537+00
0cdf7aaf-e756-4ca5-a1c2-a457f41f3066,forward deployed,on-site at client location / field office,general,Term,,,2026-02-16 22:55:28.448755+00
0d124f15-3061-428f-9ad7-b6ebf4bb7354,galley,dining facility / cafeteria,navy,general,,,2026-02-15 17:47:32.616746+00
0d2ed984-f800-4466-b23b-a6d745e8140d,PMO,Provost Marshal Office / military police HQ,general,Acronym,,,2026-02-16 22:55:28.448755+00
0d3fe132-e6bc-4a7b-a64e-57bfc3db576e,BAH,Basic Allowance for Housing / housing stipend,general,Acronym,,,2026-02-16 22:55:28.448755+00
0d7f133b-ba04-4262-9f24-7925f32bf40a,COR,Contracting Officer Representative,general,Acronym,,,2026-02-16 22:55:39.300706+00
0d9c3c92-7191-4648-b8b8-64f6708d60d0,dead drop,concealed exchange point,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
0da2049d-308f-4e66-8125-b44780564431,CMR,Consolidated Memorandum Receipt / inventory document,general,Acronym,,,2026-02-16 22:55:39.300706+00
0e1ac14a-9453-4c28-ade6-5c1250a4f692,open source,publicly available information,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
0ed01f91-70a8-43e2-a392-7036c36ac795,command climate,organizational culture / work environment,general,Term,,,2026-02-16 22:55:28.448755+00
0f3baa12-acce-4b84-910c-b9179491d8d2,hot wash,immediate after-action discussion / quick debrief,general,Term,,,2026-02-18 01:13:54.18454+00
0f7fd75a-30ce-429b-b9b7-545a24cad425,secure,finish / complete / lock up,general,Term,,,2026-02-16 22:55:39.300706+00
0fc1b5ea-8016-4cd4-8dc9-d4ae30ce2ab7,division,"organization of 10,000-15,000 employees",general,Unit Type,,,2026-02-16 22:55:28.448755+00
0fe640fa-4b2d-433c-b993-757db0d7d550,S1,Personnel/Admin section / HR department,general,Acronym,,,2026-02-16 22:55:28.448755+00
0ffd2054-0384-4fb8-a8e1-37460b924e3f,FORSCOM,Forces Command,general,Acronym,,,2026-02-16 22:55:28.448755+00
1025cd0a-ecc9-45c1-bfb8-431ecae7f7b6,MSgt (Master Sergeant),Manager,usaf,Rank,,,2026-02-16 22:55:39.300706+00
1046ad50-0219-420d-a11e-58cbfcd2139d,Role 1,first responder care / point-of-injury treatment,medical,Medical,,,2026-02-18 14:03:12.64537+00
1065f486-14ae-47a3-a1be-d3e2ca6b02c9,JPAS,Joint Personnel Adjudication System,general,Acronym,,,2026-02-16 22:55:28.448755+00
10b22a33-f7c6-49ab-8f96-96614af1fc7c,AIT,Advanced Individual Training / technical certification program,general,Acronym,,,2026-02-16 22:55:39.300706+00
10bc1c20-a4c5-4f38-b74d-0cbf77cbee1e,SECDEF,Secretary of Defense,general,Acronym,,,2026-02-16 22:55:28.448755+00
110bc975-94d8-4089-aa84-c019c89ae918,MAJ (Major),Director,army,Rank,,,2026-02-16 22:55:39.300706+00
1114b99d-559a-473e-877b-a9de60789b1b,NATO,North Atlantic Treaty Organization,general,Acronym,,,2026-02-16 22:55:28.448755+00
111af95d-8314-4efb-a8f8-92f6120105ef,DTS,travel management system,general,logistics,,,2026-02-15 17:46:34.592483+00
117999f8-8309-4f03-b3c8-cd77804a5984,inspector general,internal auditor / compliance officer,general,Term,,,2026-02-16 22:55:28.448755+00
1190b9f2-409f-4556-8ece-4a746aeeb0e8,shipmate,colleague / coworker,navy,general,,,2026-02-15 17:47:32.616746+00
11a6938f-e50b-40d3-8b83-8485a5a75eed,overhead,ceiling,navy,general,,,2026-02-15 17:47:32.616746+00
11bc6ae9-e0cf-4b2c-a821-9ac91f8967e7,galley,cafeteria / break room,general,Term,,,2026-02-16 22:55:39.300706+00
122a9afb-35f3-4c96-b46b-69cdda44c791,vulnerability assessment,security testing / penetration testing,cyber,Cyber,,,2026-02-18 14:03:12.64537+00
1239de57-5308-4895-bc95-c9d07d3cb3e8,SNCO,Staff Non-Commissioned Officer / senior supervisor,general,Acronym,,,2026-02-16 22:55:28.448755+00
125c1144-3de6-4b6f-8217-474ec556fd18,relieved,removed from position / terminated,general,Term,,,2026-02-16 22:55:28.448755+00
1260155c-67e6-495e-8576-b2cba7fbddd9,advancement,promotion,general,Term,,,2026-02-16 22:55:28.448755+00
128258a6-3837-4f5f-9ea9-1334e7ac5bdf,rating,job specialty / technical field,general,Term,,,2026-02-16 22:55:28.448755+00
12ab0fe2-6c4f-4557-8ae3-9586dada5afc,TDY,Temporary Duty / business travel,general,Acronym,,,2026-02-16 22:55:28.448755+00
12f1ea1d-2d71-4f89-962e-608e1228ceea,smoking lamp,break time / authorized break,general,Term,,,2026-02-16 22:55:39.300706+00
1314c0e4-bd0c-4ce9-93db-a7996fa4e190,PO1 (Petty Officer First Class),Supervisor / Senior Team Lead,navy,Rank,,,2026-02-16 22:55:28.448755+00
136bf5de-3383-44ac-91bc-001de625b3aa,GSA,General Services Administration,general,Acronym,,,2026-02-16 22:55:28.448755+00
13827bbc-c5d9-4c86-873e-851071d39e84,HF/UHF/VHF radio,radio communications systems,general,Equipment,,,2026-02-16 22:55:39.300706+00
138410a1-0783-436a-bd1c-c6ee3845c137,cadre,training staff / leadership team,general,Term,,,2026-02-16 22:55:28.448755+00
13a0f897-d1f1-40d9-b0e3-90992bd58004,fund cite,budget account number / appropriation reference,financial,Financial,,,2026-02-18 14:03:12.64537+00
13b9370c-a30e-41d3-aee2-9a32a5d102e4,staff,support personnel / administrative team,general,Term,,,2026-02-16 22:55:39.300706+00
13c4984b-ac5b-4cd4-beb3-f590177e17a2,SECNAV,Secretary of the Navy,general,Acronym,,,2026-02-16 22:55:28.448755+00
13db53ed-ffe0-447d-b05b-2cc886f24eb2,medic,emergency medical technician / field healthcare provider,medical,Medical,,,2026-02-18 14:03:12.64537+00
142201cc-4edc-4227-8167-b6d86a786e82,SgtMaj (Sergeant Major),Senior Director,usmc,Rank,,,2026-02-16 22:55:28.448755+00
147cf49b-ad76-4226-8f42-777d41ba809b,obstacle construction,barrier installation,engineering,Engineering,,,2026-02-18 14:03:12.64537+00
148031c3-62e7-4920-9f3d-964fc55f3dd6,CINC,Commander in Chief,general,Acronym,,,2026-02-16 22:55:39.300706+00
14d25e04-9240-47cd-b7b5-7054442f1f68,station,assigned location / work position,general,Term,,,2026-02-16 22:55:39.300706+00
14d9c391-e23d-4330-8d47-78c536c130f4,cost center,budget unit / organizational spending account,financial,Financial,,,2026-02-18 14:03:12.64537+00
14ec77a2-9c9e-493f-a57a-18ddc23f02df,S2,Intelligence section / analysis department,general,Acronym,,,2026-02-16 22:55:39.300706+00
14f3a866-6fcd-46e4-a4f9-89373d9f5d3c,veteran,former military employee,general,Term,,,2026-02-16 22:55:39.300706+00
15184016-afc9-4b8a-8598-3ad83ca7b6aa,CSM (Command Sergeant Major),Senior Director,army,Rank,,,2026-02-16 22:55:39.300706+00
15869cc0-e5c1-4f18-9f4a-2dec5b23a24a,platoon,team of 30-50 / large work group,general,Term,,,2026-02-16 22:55:39.300706+00
1598225c-e655-4bf4-8587-ea0857a8933b,POA&M,Plan of Action and Milestones / project timeline,general,Acronym,,,2026-02-16 22:55:28.448755+00
15a60a04-60ea-4976-9690-d5ff2bc09680,sweepers,routine cleaning,navy,operations,,,2026-02-15 17:47:32.616746+00
15b759fe-489f-4979-a099-b31ced55f459,DRMO,surplus property disposal,general,technical,,,2026-02-15 17:46:34.592483+00
15e748f0-ef65-4a87-b455-b99c2a0a26c4,sortie,mission,general,operations,,,2026-02-15 17:46:34.592483+00
15f82a4a-fdfc-487d-b9ce-baec5fc7621e,FTX,field training exercise / hands-on training event,general,Acronym,,,2026-02-16 22:55:39.300706+00
160d0d0a-0694-4e0f-9497-5588b0bf170c,NAVFAC,Naval Facilities Engineering Systems Command / Navy construction agency,engineering,Engineering,,,2026-02-18 14:03:12.64537+00
1610a8f8-f714-498b-a9cb-afb4e9b591b8,POC,point of contact,general,Acronym,,,2026-02-16 22:55:39.300706+00
162b40d4-5c29-43ad-b062-cf7ad29cf590,headquarters,corporate office / main office,general,Term,,,2026-02-16 22:55:28.448755+00
1653375b-466e-4ead-9344-70e9563fac75,LZ,landing zone,general,Acronym,,,2026-02-16 22:55:39.300706+00
1673ab88-a5f8-44c3-8837-f02b3cfe38c4,FOIA,Freedom of Information Act request / public records request,legal,Legal,,,2026-02-18 14:03:12.64537+00
1676f4c0-fcc8-480e-b69f-c7bcca9a9d61,bandwidth,capacity / available resources,general,Term,,,2026-02-18 01:13:54.18454+00
1681f387-98a1-49da-9399-9c6f44ac08c7,compartmented,restricted access / segmented information,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
16be19da-8465-439c-98a1-07e40abf080d,AOR,area of responsibility / managed territory,general,Acronym,,,2026-02-16 22:55:39.300706+00
16e988c5-78b2-490d-b04a-5eb38626564c,mission essential,critical function / required capability,general,Term,,,2026-02-16 22:55:28.448755+00
1716c501-00b4-439d-99a1-cbc731f7b3aa,TEMPEST,emissions security / electronic emanations protection,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
17420052-aed5-4cc8-a1e1-c82ed2a6b628,lifer,career employee / long-term staff,general,Term,,,2026-02-16 22:55:28.448755+00
1753aae5-a1d9-4f5c-97c3-37fd5c238c78,standing watch,on-call duty / shift coverage,general,Term,,,2026-02-16 22:55:39.300706+00
17b3c507-cf8a-4cba-9f4e-5670951c48d2,case officer,operations manager / field coordinator,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
17de2851-c5fd-44e7-9230-6b4ab05958e0,claims,damage or injury compensation requests,legal,Legal,,,2026-02-18 14:03:12.64537+00
17f92aca-4ca1-4192-931d-fa62a656eb8f,GySgt (Gunnery Sergeant),Manager,usmc,Rank,,,2026-02-16 22:55:28.448755+00
1845f15d-6441-4ff2-a9e8-3fcb2f9de7c7,NCO,Non-Commissioned Officer / supervisor,general,Acronym,,,2026-02-16 22:55:28.448755+00
185447c1-0266-4548-90ac-a1f006922ad3,NVG,night vision equipment / low-light optics,general,Equipment,,,2026-02-16 22:55:39.300706+00
18648d51-4b27-4483-84f6-89ec052d4f0c,at sea,deployed / offshore operations,general,Term,,,2026-02-16 22:55:28.448755+00
18713d28-2622-4127-9701-b9ae43572720,battle rhythm,recurring meeting schedule / operational cadence,general,operations,,,2026-02-15 17:47:32.616746+00
1876c3d9-d34c-4200-8472-1c27a3fa7fc5,NEC,specialty qualification,navy,admin,,,2026-02-15 17:46:34.592483+00
188cd7b7-db51-4f1d-8d09-018e42f377fa,BAS,Basic Allowance for Subsistence / meal allowance,general,Acronym,,,2026-02-16 22:55:39.300706+00
1891a137-6e6a-4857-889d-ebed49e47a52,good to go,ready / approved / cleared to proceed,general,Term,,,2026-02-18 01:13:54.18454+00
189805b5-846d-4e17-92de-40f57c62ac6c,surplus,excess property / items beyond requirements,logistics,Logistics,,,2026-02-18 14:03:12.64537+00
1913fb27-7819-4bbd-b74a-9fd056048c8c,ATO,authority to operate / security certification to deploy,cyber,Cyber,,,2026-02-18 14:03:12.64537+00
193cedf0-1cdc-49b8-9b0d-eabb80c780ab,TACP,tactical air control party / close air support coordinator,general,Special Operations,,,2026-02-18 14:03:12.64537+00
1956d88d-2335-43de-9f68-05256c131891,theater hospital,forward surgical hospital / field hospital,medical,Medical,,,2026-02-18 14:03:12.64537+00
1960bda4-6002-4134-a2fe-73c535108747,hot refuel,refueling with engines running,aviation,Aviation,,,2026-02-18 14:03:12.64537+00
19660bb5-759f-4b55-8616-5301fbacf89d,AFSC,Air Force Specialty Code / job classification,general,Acronym,,,2026-02-16 22:55:39.300706+00
19a8a2fd-2d74-4149-8de7-0f8336f34a4e,QUAL,qualification / certification,general,Acronym,,,2026-02-16 22:55:28.448755+00
1a2e53ae-9505-45f8-a928-3209dc21ae90,ISIC,Immediate Superior in Command,general,Acronym,,,2026-02-16 22:55:39.300706+00
1a3ce77a-3e91-464f-a738-b4f1d9ab8fb9,hazmat,hazardous materials / dangerous goods,safety,Engineering,,,2026-02-18 14:03:12.64537+00
1a5b2354-077e-47cb-ba50-2325c619ce01,GySgt (Gunnery Sergeant),Manager,usmc,Rank,,,2026-02-16 22:55:39.300706+00
1aa1d4bd-efdf-407d-95c6-02a2bd81a81b,HVAC,"heating, ventilation, and air conditioning",engineering,Engineering,,,2026-02-18 14:03:12.64537+00
1ace67a4-d22f-46d3-b26c-b59671487f9f,bench stock,consumable supplies / expendable items on hand,logistics,Logistics,,,2026-02-18 14:03:12.64537+00
1ade753e-02c2-4500-8ef5-3265b6ca5c86,hangar queen,chronically non-operational equipment,aviation,Aviation,,,2026-02-18 14:03:12.64537+00
1ae0ac5c-ef2e-41d0-af99-831124ce9c99,non-rate,entry-level / undesignated,general,Term,,,2026-02-16 22:55:39.300706+00
1b0915d6-cabe-4968-b3ad-52b5c9de329e,hump,march / endurance exercise,general,Term,,,2026-02-16 22:55:28.448755+00
1b27720e-7e2d-4a2d-8b28-a34d8b2c7d15,HQ,headquarters / corporate office,general,Acronym,,,2026-02-16 22:55:28.448755+00
1b4dae5f-ec73-408d-8207-64524b837e00,IPR,in-progress review / status update meeting,general,Acronym,,,2026-02-16 22:55:39.300706+00
1b4f8e5f-9512-43f0-bd1f-c3fdf8487d35,APFT,Army Physical Fitness Test / physical readiness assessment,general,Acronym,,,2026-02-16 22:55:28.448755+00
1b67f792-5e8d-4347-a55f-1ae1853f4e12,ADCON,administrative control,general,Acronym,,,2026-02-16 22:55:28.448755+00
1bf073fd-f1ad-4851-88fd-e6481712a910,duty station,work location / assigned office,general,Term,,,2026-02-16 22:55:39.300706+00
1c00624c-23fa-4f3b-b31a-3235db8fb042,FORSCOM,Forces Command,general,Acronym,,,2026-02-16 22:55:39.300706+00
1c0325e2-1b00-42d0-b1ee-67d812bff34e,SAP,special access program / restricted-access initiative,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
1c3947ff-f4a8-4612-8a25-3cf2d1c50931,C school,advanced technical training,navy,training,,,2026-02-15 17:47:32.616746+00
1c91a407-735d-4dae-8f00-856605d4fe1f,NSW,Naval Special Warfare / Navy special operations,general,Special Operations,,,2026-02-18 14:03:12.64537+00
1cd58d7e-1479-43d8-ad0b-cb9af7bca8cb,plan of the day,daily schedule / agenda,general,Term,,,2026-02-16 22:55:28.448755+00
1ce567ea-3a42-4517-932b-63c4c138ded6,reserve,part-time / on-call,general,Term,,,2026-02-16 22:55:28.448755+00
1d3034e4-95d6-4dbe-97ca-1af984621129,MOU,Memorandum of Understanding / formal agreement,general,Acronym,,,2026-02-16 22:55:39.300706+00
1d33dc01-919e-4a94-97d7-2f3ad205ca4f,patrol,monitoring / surveillance / rounds,general,Term,,,2026-02-16 22:55:39.300706+00
1db21d09-0d3d-481b-8618-e575aaf7eff5,SRB,Selective Reenlistment Bonus,general,Acronym,,,2026-02-16 22:55:28.448755+00
